gene	clus	fdr	logFC	bjm_annot	bjm_misc_notes
LEPR	X13	0.002434881	1.660202497	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
TGFB1	X13	2.66e-05	1.656469587	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
COL12A1	X13	0.002519319	1.617750405	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
NRP1	X13	0.000725516	1.595695017	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
THSD4	X13	0.001653655	1.584968762	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
CDK1	X13	0.008137483	1.551845606	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
SSTR2	X13	0.000363817	1.54707912	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
EFHD1	X13	1.33e-06	1.489259691	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
MAN1A1	X13	0.000221038	1.487354619	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
DDR2	X13	7.92e-05	1.486647235	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
IL7R	X13	0.066392411	1.436571052	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
NPY1R	X13	0.001715023	1.425809877	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
CD14	X13	0.008072686	1.39244956	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
NKG7	X13	0.054849308	1.382110223	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
PSEN2	X13	4.88e-06	1.361814047	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
MT2A	X13	0.018982363	1.319652463	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
CD52	X13	0.054456102	1.254899899	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
UNC5B	X13	6.7e-07	1.249915148	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
CD68	X13	0.023339865	1.229166365	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
SLC26A4	X13	0.020835603	1.203410684	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
HLA-DMB	X13	0.06660394	1.184077852	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
FCER1G	X13	0.052552859	1.157420554	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
EGFR	X13	0.008137483	1.153217473	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
MS4A6A	X13	0.056469307	1.126269289	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
TP53	X13	8.03e-05	1.114230914	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
CTSS	X13	0.037784657	1.078658213	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
MYZAP	X13	0.064742894	1.04019194	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
ANO3	X13	0.040087732	1.021178387	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
LRRK2	X13	0.002476589	0.999398741	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
STAT3	X13	1.54e-05	0.919919071	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
POSTN	X13	0.087876052	0.905842261	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
C1orf162	X13	0.045706225	0.875358165	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
SDK1	X13	0.027268254	0.854707487	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
LHX6	X13	0.088751149	0.790631801	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
RGS16	X13	0.087124586	0.7902673	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
SHANK3	X13	0.018982363	0.584174237	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
SNTB2	X13	0.024296796	0.564537764	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
PCNA	X13	0.065886431	0.31639512	Vascular_uncertain	Best guess: endothelium. Vascular nature evidenced by both markers eg FLT1 but also hyper dense local areas of cell type.
FCGR1A	X14	3.61e-19	4.702432614	Microglia_2_(reactive)	
GPR183	X14	6.93e-15	4.657138479	Microglia_2_(reactive)	
PTPRC	X14	5.53e-15	4.6473524	Microglia_2_(reactive)	
TREM2	X14	8.13e-16	4.575290546	Microglia_2_(reactive)	
HLA-DQA1	X14	5.25e-16	4.426805794	Microglia_2_(reactive)	
FCGR3A	X14	4.57e-20	4.41982186	Microglia_2_(reactive)	
GPR34	X14	4.2e-19	4.360334495	Microglia_2_(reactive)	
ITGAX	X14	4.98e-22	4.359154626	Microglia_2_(reactive)	
ITGB2	X14	1.81e-15	4.305993584	Microglia_2_(reactive)	
P2RY12	X14	1.44e-21	4.262687772	Microglia_2_(reactive)	
CX3CR1	X14	1.32e-21	4.176288973	Microglia_2_(reactive)	
P2RY13	X14	1.65e-20	4.16412047	Microglia_2_(reactive)	
LY86	X14	1.03e-14	4.154968247	Microglia_2_(reactive)	
RGS10	X14	5.04e-15	4.090684202	Microglia_2_(reactive)	
CD86	X14	2.56e-16	4.046173424	Microglia_2_(reactive)	
ITGAM	X14	3.59e-21	3.986206611	Microglia_2_(reactive)	
HLA-DMB	X14	7.82e-14	3.938144464	Microglia_2_(reactive)	
LRRK1	X14	1.07e-13	3.843145028	Microglia_2_(reactive)	
CD4	X14	1.63e-13	3.691969721	Microglia_2_(reactive)	
CD68	X14	9.53e-16	3.650723375	Microglia_2_(reactive)	
TMIGD3	X14	5.64e-21	3.648617901	Microglia_2_(reactive)	
FCER1G	X14	1.34e-13	3.598816486	Microglia_2_(reactive)	
CYTIP	X14	8.62e-09	3.50988298	Microglia_2_(reactive)	
AIF1	X14	8.64e-21	3.457666932	Microglia_2_(reactive)	
MS4A6A	X14	3.14e-12	3.377587516	Microglia_2_(reactive)	
CTSS	X14	2.39e-14	3.268614557	Microglia_2_(reactive)	
CD14	X14	4.89e-12	3.16129658	Microglia_2_(reactive)	
RNASET2	X14	2.06e-24	3.12863565	Microglia_2_(reactive)	
STXBP2	X14	1.4e-12	2.924483093	Microglia_2_(reactive)	
CXCR4	X14	1.59e-06	2.644860437	Microglia_2_(reactive)	
CCL4	X14	0.000538703	2.528746238	Microglia_2_(reactive)	
CORO1A	X14	4.5e-09	2.490400103	Microglia_2_(reactive)	
CD163	X14	0.000198225	2.486967715	Microglia_2_(reactive)	
TGFBI	X14	7.86e-05	2.357995996	Microglia_2_(reactive)	
SPI1	X14	1.32e-21	2.344659983	Microglia_2_(reactive)	
C1orf162	X14	4.52e-10	2.289870174	Microglia_2_(reactive)	
TGFB1	X14	1.7e-09	2.267365426	Microglia_2_(reactive)	
PECAM1	X14	0.001180084	2.215448245	Microglia_2_(reactive)	
ARHGAP24	X14	5.56e-08	2.160572168	Microglia_2_(reactive)	
CTSH	X14	1.4e-07	2.08035038	Microglia_2_(reactive)	
SERPINA3	X14	6.7e-05	2.065471123	Microglia_2_(reactive)	
ANXA1	X14	0.016695731	1.948813449	Microglia_2_(reactive)	
SFRP2	X14	0.000457165	1.945643763	Microglia_2_(reactive)	
GNLY	X14	0.00077503	1.759044441	Microglia_2_(reactive)	
CAPG	X14	1.78e-11	1.676579551	Microglia_2_(reactive)	
GPNMB	X14	0.006368043	1.673747269	Microglia_2_(reactive)	
CCL5	X14	0.039466947	1.638550008	Microglia_2_(reactive)	
AVP	X14	0.083968912	1.601420296	Microglia_2_(reactive)	
NR4A2	X14	0.012154624	1.594345458	Microglia_2_(reactive)	
DDR2	X14	7.28e-05	1.500015132	Microglia_2_(reactive)	
GAS2L3	X14	0.010353246	1.461286267	Microglia_2_(reactive)	
GZMA	X14	0.033410041	1.459093501	Microglia_2_(reactive)	
KRT8	X14	1.52e-08	1.375929031	Microglia_2_(reactive)	
LYVE1	X14	0.018088692	1.357218158	Microglia_2_(reactive)	
RNF144B	X14	0.016647855	1.340422975	Microglia_2_(reactive)	
TOP2A	X14	0.028965734	1.324865077	Microglia_2_(reactive)	
FOS	X14	0.007257784	1.319562424	Microglia_2_(reactive)	
IL18R1	X14	0.080120356	1.242962945	Microglia_2_(reactive)	
NKG7	X14	0.083968912	1.233680982	Microglia_2_(reactive)	
LRRK2	X14	0.000121561	1.2313678	Microglia_2_(reactive)	
CENPF	X14	0.014038933	1.193115095	Microglia_2_(reactive)	
FASLG	X14	0.085796635	1.130860336	Microglia_2_(reactive)	
SLC6A3	X14	0.043883552	1.130532361	Microglia_2_(reactive)	
IGFBP5	X14	0.005117388	1.126777593	Microglia_2_(reactive)	
LINC01615	X14	0.040990271	1.122817487	Microglia_2_(reactive)	
CD48	X14	0.019211503	1.114113001	Microglia_2_(reactive)	
CYP26A1	X14	0.046302343	1.022737539	Microglia_2_(reactive)	
NES	X14	0.029237361	1.008336169	Microglia_2_(reactive)	
CD83	X14	0.00648229	0.959146835	Microglia_2_(reactive)	
RGS16	X14	0.031502373	0.950997891	Microglia_2_(reactive)	
PROKR1	X14	0.003974039	0.940481522	Microglia_2_(reactive)	
MAN1A1	X14	0.046302343	0.873748514	Microglia_2_(reactive)	
TP53	X14	0.003483187	0.870320995	Microglia_2_(reactive)	
MOBP	X14	0.071433105	0.860135303	Microglia_2_(reactive)	
CTNNA3	X14	0.098477072	0.844955134	Microglia_2_(reactive)	
SDK1	X14	0.03909639	0.799029753	Microglia_2_(reactive)	
ANGPT1	X14	0.083968912	0.787046928	Microglia_2_(reactive)	
HILPDA	X14	0.083968912	0.697612152	Microglia_2_(reactive)	
PTCHD4	X14	0.063625607	0.695970962	Microglia_2_(reactive)	
S100A4	X14	0.053356544	0.658484811	Microglia_2_(reactive)	
AQP4	X14	0.063625607	0.597968567	Microglia_2_(reactive)	
CELF2	X14	2.41e-06	0.591183501	Microglia_2_(reactive)	
AGRP	X15	1.09e-15	5.093494672	ARC_1	
GABRE	X15	7.29e-18	5.007924288	ARC_1	
POMC	X15	3.26e-18	4.785645849	ARC_1	
GABRQ	X15	7.49e-15	3.921095345	ARC_1	
NPY2R	X15	7.73e-11	3.641836866	ARC_1	
RXFP1	X15	1.44e-09	3.397557968	ARC_1	
ECEL1	X15	2.65e-09	3.299270502	ARC_1	
GSX1	X15	2.41e-05	3.100179461	ARC_1	
TRPC6	X15	8.07e-06	3.026838659	ARC_1	
GLRA2	X15	2.78e-10	2.968798919	ARC_1	
NPY1R	X15	2.51e-12	2.925061941	ARC_1	
WIF1	X15	8.46e-06	2.922853623	ARC_1	
ACVR1C	X15	4.53e-15	2.900330318	ARC_1	
RSPO2	X15	4.08e-10	2.893641028	ARC_1	
CRH	X15	3.69e-07	2.857763689	ARC_1	
VGF	X15	1.13e-10	2.795391083	ARC_1	
GHRH	X15	0.000470677	2.788612793	ARC_1	
SHISAL2B	X15	2.01e-14	2.766230264	ARC_1	
MCTP2	X15	1.77e-08	2.693646852	ARC_1	
MC3R	X15	2.25e-08	2.687278456	ARC_1	
SSTR1	X15	2.12e-08	2.506235954	ARC_1	
ZCCHC12	X15	6.42e-09	2.443286129	ARC_1	
CD36	X15	0.000273829	2.413500462	ARC_1	
GAD1	X15	5.81e-07	2.404046569	ARC_1	
ESR1	X15	1.04e-07	2.39827655	ARC_1	
PLD5	X15	1.58e-10	2.364948609	ARC_1	
VWC2L	X15	5.47e-07	2.246475984	ARC_1	
LEPR	X15	2.25e-05	2.231005409	ARC_1	
CHGB	X15	4.71e-07	2.187538367	ARC_1	
GAL	X15	0.006685297	2.126501039	ARC_1	
CYP26A1	X15	5.83e-06	2.100213684	ARC_1	
TAC1	X15	5.51e-05	2.049440333	ARC_1	
SST	X15	4e-06	2.012328523	ARC_1	
RIT2	X15	2.41e-05	1.89833387	ARC_1	
GLRA3	X15	0.000602035	1.891623681	ARC_1	
ALK	X15	0.000332024	1.785183451	ARC_1	
PTPRN	X15	6.79e-05	1.764920511	ARC_1	
SORCS1	X15	7.21e-06	1.749349758	ARC_1	
ANKRD34B	X15	0.000160043	1.74615843	ARC_1	
NPNT	X15	0.001610336	1.69265077	ARC_1	
TRPC5	X15	0.000914826	1.68854336	ARC_1	
PCLO	X15	1.35e-06	1.68410821	ARC_1	
C2orf80	X15	3.57e-05	1.607753682	ARC_1	
PEG10	X15	8.14e-07	1.577413742	ARC_1	
PCDH7	X15	5.68e-07	1.559116973	ARC_1	
RXRG	X15	3.56e-08	1.548583417	ARC_1	
CYP26B1	X15	8.41e-06	1.543589753	ARC_1	
CCNA1	X15	0.005441924	1.533647753	ARC_1	
PDGFD	X15	3.18e-06	1.508600987	ARC_1	
BRINP3	X15	0.000107614	1.502617912	ARC_1	
SLC10A4	X15	0.000964977	1.496970489	ARC_1	
PROX1	X15	2.86e-05	1.487198292	ARC_1	
IGFBP3	X15	0.012355178	1.478217992	ARC_1	
HTR2C	X15	0.00302731	1.464562862	ARC_1	
CHODL	X15	0.001039193	1.447386807	ARC_1	
PCDH19	X15	0.004005882	1.442667953	ARC_1	
HRH1	X15	0.000130863	1.428815723	ARC_1	
CCNB2	X15	0.009120528	1.404650711	ARC_1	
NECAB2	X15	0.001053305	1.389413056	ARC_1	
TAC3	X15	0.042286138	1.38415255	ARC_1	
TENM1	X15	0.002419036	1.352315264	ARC_1	
RELN	X15	0.004005882	1.31204344	ARC_1	
SSTR2	X15	0.003381376	1.29467077	ARC_1	
ZBBX	X15	0.019089178	1.291824254	ARC_1	
ANO3	X15	0.007682076	1.230216659	ARC_1	
TPH2	X15	0.029524949	1.206529268	ARC_1	
SLC17A6	X15	0.051765008	1.192216528	ARC_1	
DLG4	X15	5.4e-05	1.188560084	ARC_1	
ALKAL2	X15	0.037603146	1.177328945	ARC_1	
GAD2	X15	0.034906733	1.167320453	ARC_1	
ZDHHC23	X15	0.017178799	1.162668993	ARC_1	
ENOX2	X15	0.000251068	1.158401521	ARC_1	
IL18R1	X15	0.083111828	1.14906046	ARC_1	
AR	X15	0.007909325	1.133398186	ARC_1	
CNTNAP3B	X15	0.006105569	1.112308259	ARC_1	
TMEM233	X15	0.039070637	1.109408786	ARC_1	
MC4R	X15	0.034705114	1.056136535	ARC_1	
HS3ST2	X15	0.077083342	1.032687463	ARC_1	
RGS16	X15	0.01377283	1.030072241	ARC_1	
DNER	X15	0.000358376	1.027384542	ARC_1	
NRP1	X15	0.032680207	1.026081327	ARC_1	
THSD7B	X15	0.039070637	1.023583811	ARC_1	
B4GALNT1	X15	0.004354665	1.005422208	ARC_1	
HS6ST2	X15	0.022058302	1.004597929	ARC_1	
TSHZ2	X15	0.00146053	0.997693868	ARC_1	
FSTL4	X15	0.025103142	0.991996897	ARC_1	
CDH12	X15	0.039070637	0.975688299	ARC_1	
RASGRP1	X15	0.04021433	0.969756724	ARC_1	
FABP6	X15	0.00508954	0.957648867	ARC_1	
STAT3	X15	1.42e-05	0.93130634	ARC_1	
C1QL3	X15	0.032680207	0.908977286	ARC_1	
MYT1L	X15	0.000171522	0.903738431	ARC_1	
HTR2A	X15	0.057072723	0.881564043	ARC_1	
DCC	X15	0.031158896	0.854621197	ARC_1	
SOX11	X15	7.1e-05	0.845103848	ARC_1	
PROKR1	X15	0.008875067	0.838431213	ARC_1	
GFOD1	X15	0.000967493	0.819752981	ARC_1	
RDH10	X15	0.067302227	0.803099131	ARC_1	
TMEM132C	X15	0.043154306	0.778362214	ARC_1	
MAN1A1	X15	0.095072324	0.701096626	ARC_1	
APP	X15	0.000393805	0.699471836	ARC_1	
RORB	X15	0.042286138	0.681192242	ARC_1	
RRAGB	X15	1.39e-06	0.678520063	ARC_1	
HRH3	X15	0.074728843	0.667030644	ARC_1	
SLC24A3	X15	0.008215861	0.639016827	ARC_1	
PSENEN	X15	0.018740749	0.565567559	ARC_1	
SOX4	X15	0.039556683	0.546701416	ARC_1	
TNRC6B	X15	9.27e-05	0.534447876	ARC_1	
NTRK3	X15	0.078864044	0.47973591	ARC_1	
PWP2	X15	0.076010248	0.28380751	ARC_1	
CD163	X16	3.51e-24	6.006647317	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
CEMIP	X16	1.33e-29	5.195738261	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
LYVE1	X16	1.78e-26	5.04743745	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
TGFBI	X16	6.44e-19	4.830348626	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
DCN	X16	8.44e-18	4.616858271	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
LAMA2	X16	2.79e-14	4.325947886	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
THBS1	X16	6.02e-16	4.196948906	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
IGFBP4	X16	1.41e-13	4.15066015	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
MS4A6A	X16	1.8e-16	3.960956998	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
FBLN1	X16	3.71e-20	3.936003241	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
PECAM1	X16	1.58e-09	3.785280767	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
GPNMB	X16	4.54e-12	3.770892155	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
CD14	X16	1.09e-16	3.767380616	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
COL12A1	X16	9.4e-15	3.711260075	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
ANXA1	X16	3.5e-07	3.695020853	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
GPR183	X16	2.24e-09	3.679908894	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
HLA-DQA1	X16	1.93e-10	3.578456857	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
HLA-DMB	X16	1.08e-10	3.481579568	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
FCER1G	X16	1.05e-11	3.362362467	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
KLF2	X16	9.26e-08	3.350784371	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
PTPRC	X16	7.63e-08	3.325731471	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
CD68	X16	7.22e-13	3.324282087	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
CD4	X16	1.08e-10	3.310081644	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
KLF4	X16	1.88e-08	3.26683199	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
PHLDB2	X16	2.5e-12	3.245468767	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
FLT1	X16	1.92e-09	3.189778385	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
CCL4	X16	5.56e-06	3.149861906	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
ITGB2	X16	2.11e-08	3.147730694	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
ADAMTS12	X16	1.36e-10	3.114332186	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
CCL5	X16	1.19e-05	3.079891246	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
GPR34	X16	1.73e-09	3.071254168	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
ITGAM	X16	7.86e-12	2.997552752	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
CYTIP	X16	7.58e-06	2.790834734	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
GAS2L3	X16	4.24e-08	2.789605775	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
CTSS	X16	2.7e-10	2.775812318	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
MAN1A1	X16	1.41e-13	2.747724681	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
IFITM3	X16	2.45e-10	2.71422556	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
FCGR1A	X16	1.55e-06	2.695115823	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
ITGA8	X16	1.28e-05	2.680346704	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
AVP	X16	0.001532698	2.634419905	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
CAV1	X16	5.56e-06	2.631615047	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
NR4A2	X16	5.35e-06	2.625413669	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
RNF144B	X16	1.63e-07	2.603030964	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
CD36	X16	7.02e-05	2.566215181	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
THSD4	X16	3.94e-08	2.550645866	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
LRRK1	X16	2.89e-06	2.541450438	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
LEPR	X16	1.04e-06	2.487668571	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
LY86	X16	1.2e-05	2.48444927	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
CD86	X16	1.9e-06	2.483948785	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
IL7R	X16	0.000283469	2.482062229	Macrophage	LYVE1 and CD163 were markers of brain macrophages in Sun, Victor..Kellis 23 Cell . Type is consistent with spatial enrichment in same areas as cluster 9 (vascular)
