gene_id	gene_name	V12D07-075_D1	V13M13-362_A1	V12D07-075_A1	V12Y31-080_A1	V12D05-348_D1	V12D05-350_D1	V13M13-362_D1	V12D05-348_C1	V12D05-350_C1	V13Y24-346_C1	meanrank	samples_signif
ENSG00000110075	PPP6R3					5271	5804			6544		5873	4
ENSG00000110076	NRXN2	1227	855	1299	693	2208	2901	1134	2420	1955	2991	1768.3	11
ENSG00000110090	CPT1A	3792							3374	4804		3990	4
ENSG00000110092	CCND1								2613	1110		1861.5	3
ENSG00000110107	PRPF19	1604	835	1362	2651	2181	2621	1359	1537	1372	1505	1702.7	11
ENSG00000110108	TMEM109				3077	2820	2632		2356	1353		2447.6	6
ENSG00000110171	TRIM3						5097					5097	2
ENSG00000110172	CHORDC1	3261		1323	2192	3167	4591	3962	3257	4043		3224.5	9
ENSG00000110195	FOLR1								341	272		306.5	3
ENSG00000110200	ANAPC15					5591		4980	4030	4958		4889.75	5
ENSG00000110237	ARHGEF17	1771	1814	2114	2295	2722	1853	1453	1914	2052	1774	1976.2	11
ENSG00000110315	RNF141	2326		1472	1439	5265	4113	2079	3548	5228	3082	3172.44444444444	10
ENSG00000110318	CEP126				3800					3751		3775.5	3
ENSG00000110321	EIF4G2	1044	517	871	420	670	1211	1030	1221	1281	1547	981.2	11
ENSG00000110328	GALNT18						4052					4052	2
ENSG00000110330	BIRC2			3086		3150	4779		5084	5739		4367.6	6
ENSG00000110344	UBE4A	3662	1737	3912	2652	4733	5696	3951	3570	3459		3708	10
ENSG00000110367	DDX6	3974	2457	2801	3648	4795	4762	3481	4839	3169		3769.55555555556	10
ENSG00000110395	CBL			3981			5930			6836		5582.33333333333	4
ENSG00000110400	NECTIN1						5971	4052				5011.5	3
ENSG00000110422	HIPK3		1400	3039	3763	3563	6122	3824	4152	3941	2908	3634.66666666667	10
ENSG00000110427	KIAA1549L	2677	1813	1406	1241	2090	1895	1669	1825	2613		1914.33333333333	10
ENSG00000110429	FBXO3	2465	2714		2443	3163	5411	1466	1911	2192	1859	2624.88888888889	10
ENSG00000110435	PDHX	3181		3842	3335	4470	4800		4877	5594		4299.85714285714	8
ENSG00000110436	SLC1A2	70	74	42	158	398	302	73	47	16	107	128.7	11
ENSG00000110442	COMMD9						5319	4738	5613	5681		5337.75	5
ENSG00000110492	MDK	523			174	271	325	2215	338	433	273	569	9
ENSG00000110514	MADD	1718	2628	3181	3153	2781	2139	1905	1970	2269	2436	2418	11
ENSG00000110536	PTPMT1	2222			1936	2894	4537	4086	2603	4174	1753	3025.625	9
ENSG00000110619	CARS	2410		3100		3471	3172	3996	4608	4143		3557.14285714286	8
ENSG00000110651	CD81	645	272	1341	934	612	463	1042	1271	1940	1021	954.1	11
ENSG00000110675	ELMOD1	1175	436	1106	2179	1101	892	660	424	621	1237	983.1	11
ENSG00000110696	C11orf58	1173	976	1377	586	1163	1446	2104	1321	1497	896	1253.9	11
ENSG00000110697	PITPNM1	2464	2482	3368	3183	3747	3510	1969	1833	1534		2676.66666666667	10
ENSG00000110700	RPS13	672	1052	901	1864	586	727	753	2362	2391	1347	1265.5	11
ENSG00000110711	AIP	3217				5537	5095	4833	4765	5684		4855.16666666667	7
ENSG00000110717	NDUFS8	1290	1666	1272	2057	1683	1688	1297	1249	1132	1074	1440.8	11
ENSG00000110721	CHKA								5494	6953		6223.5	3
ENSG00000110768	GTF2H1					3688	5527		4386	6922		5130.75	5
ENSG00000110786	PTPN5	998	125	1608	2744	1540	932	990	602	574	1655	1176.8	11
ENSG00000110799	VWF	1770		3035		375	583		1787	1102	415	1295.28571428571	8
ENSG00000110801	PSMD9						4895	4691	5068	4921		4893.75	5
ENSG00000110880	CORO1C	4160				5470	4539	4892	5266	5985		5052	7
ENSG00000110881	ASIC1		1858			3766	2093	4835		3840		3278.4	6
ENSG00000110888	CAPRIN2	64	318	811	3522	966	478	1353	154	252	772	869	11
ENSG00000110906	KCTD10	633	699	1700	409	1176	1669	2026	1102	1086	1293	1179.3	11
ENSG00000110911	SLC11A2	4572	3158			3363	5803		4898	6540		4722.33333333333	7
ENSG00000110917	MLEC	3823	3203	3055	3212	3147	3292	3693	2127	2791	3157	3150	11
ENSG00000110925	CSRNP2	3777	2499			2721	4169	3603	3083	3495		3335.28571428571	8
ENSG00000110955	ATP5F1B	513	805	358	1425	477	698	459	241	265	497	573.8	11
ENSG00000110958	PTGES3	1441	722	988	1160	1435	2122	1171	1727	1988	1234	1398.8	11
ENSG00000111011	RSRC2	3632	2375	3786		2975	4387	3498	3837	5876	2616	3664.66666666667	10
ENSG00000111057	KRT18				760		1214	790				921.333333333333	4
ENSG00000111077	TNS2									6721		6721	2
ENSG00000111110	PPM1H							3413				3413	2
ENSG00000111142	METAP2	2774		3377	2908	3124	4270	4306	4127	6048	2688	3735.77777777778	10
ENSG00000111144	LTA4H	4166	3110	3026		4466	4487	2958	3656	3559		3678.5	9
ENSG00000111229	ARPC3	715	1761	1372	544	1146	1724	1414	1681	1850	1840	1404.7	11
ENSG00000111237	VPS29	2042	2206	3273	2483	2401	3335	2109	2853	2171	2801	2567.4	11
ENSG00000111261	MANSC1						4463			3995		4229	3
ENSG00000111269	CREBL2	3182	2978	2062	3667	3249	3984	1873	3336	4214	2710	3125.5	11
ENSG00000111275	ALDH2	4013	2826	1125	2611	3285	4797	1039	1485	2804	3155	2714	11
ENSG00000111276	CDKN1B	2802	1842		2459	3675	4187	2500	5430	4132	3087	3346	10
ENSG00000111328	CDK2AP1	945	341	787	462	327	440	878	938	1298	780	719.6	11
ENSG00000111341	MGP			363		31	41		37	37	15	87.3333333333333	7
ENSG00000111344	RASAL1						2554					2554	2
ENSG00000111348	ARHGDIB								3387	4310		3848.5	3
ENSG00000111358	GTF2H3									6065		6065	2
ENSG00000111361	EIF2B1				3353	5822	4311		5454	6057		4999.4	6
ENSG00000111371	SLC38A1	3239	691	2197	1659	1571	1767	1074	2097	2532	3139	1996.6	11
ENSG00000111412	C12orf49	4101	2655	3341		5042	4879	3079	4383	4686	1929	3788.33333333333	10
ENSG00000111481	COPZ1	3115		3852	3208	3661	5466	3047	3399	2835		3572.875	9
ENSG00000111530	CAND1	1664	2074	1642	2103	1908	1848	1812	2027	1633	1193	1790.4	11
ENSG00000111540	RAB5B		2935		3880			4647	5027			4122.25	5
ENSG00000111554	MDM1									5916		5916	2
ENSG00000111596	CNOT2	4530		4023		5978	5186		4925	6143		5130.83333333333	7
ENSG00000111605	CPSF6	3724	2187		3656	2828	3070	4513	2996	3154	2806	3214.88888888889	10
ENSG00000111615	KRR1	4519				4908	6132	4041	3774	3815		4531.5	7
ENSG00000111639	MRPL51	1515	2371	3234	1443	1736	3236	3097	2443	2988	1975	2403.8	11
ENSG00000111640	GAPDH	172	364	403	621	1070	1039	387	811	1776	529	717.2	11
ENSG00000111642	CHD4	2705	1661	3720		4143	4570	4080	3367	5229	2483	3550.88888888889	10
ENSG00000111652	COPS7A	3277	2620	3893		4635	4615	2917	2164	3519	2224	3318.22222222222	10
ENSG00000111653	ING4	4135			2976	5097				6555		4690.75	5
ENSG00000111666	CHPT1		2713	3621		4631	5201	3784	4119	4595		4094.85714285714	8
ENSG00000111667	USP5	2925	2207	3190	2567	1796	2007	1326	1935	2020	1953	2192.6	11
ENSG00000111669	TPI1	526	890	429	1043	584	674	377	287	351	530	569.1	11
ENSG00000111670	GNPTAB					5355	4603	4633	4596	6740		5185.4	6
ENSG00000111674	ENO2	220	547	153	396	167	149	127	108	127	198	219.2	11
ENSG00000111676	ATN1	3519	2249	3011		4402	5670	3368	2327	2729	2910	3353.88888888889	10
ENSG00000111678	C12orf57	779	1574	1327	358	603	1347	1081	463	802	863	919.7	11
ENSG00000111696	NT5DC3	3249		674	500	888	805	233	1455	1667		1183.875	9
ENSG00000111707	SUDS3						4845			6941		5893	3
ENSG00000111711	GOLT1B	3892			2492	3677	3711	4869	4250	4614		3929.28571428571	8
ENSG00000111716	LDHB	1756	422	451	1530	1275	1928	621	966	680	814	1044.3	11
ENSG00000111726	CMAS	990	737	887	1256	678	1149	505	584	679	902	836.7	11
ENSG00000111731	C2CD5	3291				3487	2678	2066	3751	4051	2937	3180.14285714286	8
ENSG00000111737	RAB35							3842		6671		5256.5	3
ENSG00000111752	PHC1					3801	3213		3869	2388		3317.75	5
ENSG00000111775	COX6A1	935	2173	546	1246	1358	2237	1273	726	1009	793	1229.6	11
ENSG00000111783	RFX4			1873					5566	6542		4660.33333333333	4
ENSG00000111786	SRSF9	1472	1218	3020	1314	1961	2354	2397	1609	1007	1728	1808	11
ENSG00000111790	FGFR1OP2	3821		3079		3879	4623			5072	2676	3858.33333333333	7
ENSG00000111802	TDP2	3612	1746	4045		3077	4405	4739	2417	2937		3372.25	9
ENSG00000111832	RWDD1	3748		2547		4450		4065	5502	6804		4519.33333333333	7
ENSG00000111843	TMEM14C	2511	1426	2637	3033	2610	3531	3904	2914	3985	2505	2905.6	11
ENSG00000111850	SMIM8						4722					4722	2
ENSG00000111875	ASF1A					5861	5311	4939	5576	6006		5538.6	6
ENSG00000111879	FAM184A	3810					5520			4097		4475.66666666667	4
ENSG00000111880	RNGTT	3351				4833	5088	2996		4711		4195.8	6
ENSG00000111885	MAN1A1					1351	1553					1452	3
ENSG00000111897	SERINC1	1356	571	529	1035	429	802	606	724	748	469	726.9	11
ENSG00000111906	HDDC2	4251	2189	1760	3273	2306	3586	4378	1882	2481	3024	2913	11
ENSG00000111907	TPD52L1	1464	528	1240	594	618	432	2476	1137	917	1277	1068.3	11
ENSG00000111911	HINT3	4676			2566	2751	5156		4642	5210		4166.83333333333	7
ENSG00000111912	NCOA7	2227	1205	2350	1733	1484	1555	2409	2494	1785	2989	2023.1	11
ENSG00000111913	RIPOR2		2557				2555	2922	3286	2877		2839.4	6
ENSG00000111961	SASH1		2521		2978	4911	5574	4575		6775		4555.66666666667	7
ENSG00000111962	UST	1957		2863	1550	2550	1607	2994	4131	4349		2750.125	9
ENSG00000112031	MTRF1L				3512	5139				5292		4647.66666666667	4
ENSG00000112038	OPRM1	2439	1621	1566		1681	1545		1231	1123		1600.85714285714	8
ENSG00000112062	MAPK14	2878			2723	4013	3419		4245	3391		3444.83333333333	7
ENSG00000112078	KCTD20					5636		5050	5499	5937		5530.5	5
ENSG00000112081	SRSF3	2445	2055	2702	1850	2519	2772	3697	2291	2755	2276	2536.2	11
ENSG00000112096	SOD2	3955	3228	348		2114	3557	952	3112	2249	2199	2412.66666666667	10
ENSG00000112110	MRPL18	4156		1529	3119	4342		5075	4729	3999		3849.85714285714	8
ENSG00000112130	RNF8					5279	5898		4900	6513		5647.5	5
ENSG00000112137	PHACTR1	2142	101	2557	1166	3717	2825	1732	2683	3070	1370	2136.3	11
ENSG00000112146	FBXO9	2672	1319	1748	2232	2317	2768	1707	1836	1930	1543	2007.2	11
ENSG00000112149	CD83	2838	687	839	893	1448	1030	1511	1414	1225		1320.55555555556	10
ENSG00000112159	MDN1						5293	4857	3845	5592		4896.75	5
ENSG00000112164	GLP1R	895					1255					1075	3
ENSG00000112186	CAP2	1005	1597	514	1150	1332	1091	776	809	1337	874	1048.5	11
ENSG00000112200	ZNF451	4557		3758	3664	5098	6085	4359		6179		4814.28571428572	8
ENSG00000112232	KHDRBS2						3650					3650	2
ENSG00000112237	CCNC	2447			3850	2464	3571	3050	3358	3981		3245.85714285714	8
ENSG00000112246	SIM1	816							932	762		836.666666666667	4
ENSG00000112282	MED23						4001					4001	2
ENSG00000112290	WASF1	3520	296		3332	2135	2141	2939	4408	5367	2218	2928.44444444444	10
ENSG00000112294	ALDH5A1	2835		1807		2829	3348	2028	2925	2040	2525	2542.125	9
ENSG00000112304	ACOT13	3785		3299		5628		2762	3925	5034		4072.16666666667	7
ENSG00000112305	SMAP1	4571	2753	3304		5518	4738	2807	4071	5402		4145.5	9
ENSG00000112306	RPS12	328	1662	381	1565	475	288	287	1587	1206	721	850	11
ENSG00000112308	C6orf62			3596		2773	2769	3601	2474	1913	2229	2765	8
ENSG00000112309	B3GAT2	1487	647	960	327	1102	1031	1860	2701	2722		1426.33333333333	10
ENSG00000112312	GMNN								2150	2025		2087.5	3
ENSG00000112320	SOBP			2676	2936	4707	5268	4364	4542	3868		4051.57142857143	8
ENSG00000112335	SNX3	1731	1246	670	952	1277	1467	1118	1036	1321	1229	1204.7	11
ENSG00000112339	HBS1L	3693				5207		4649			3037	4146.5	5
ENSG00000112367	FIG4						4018		5615	5923		5185.33333333333	4
ENSG00000112378	PERP	2246			2637		5404		2851	3521		3331.8	6
ENSG00000112379	ARFGEF3	1699	2259	1458	2176	1483	1393	4909	1191	1476	1825	1986.9	11
ENSG00000112419	PHACTR2				1193					5195		3194	3
ENSG00000112473	SLC39A7	3595				5283	4414		3609	5691		4518.4	6
ENSG00000112511	PHF1	3515	1672	3045	2457	3144	2986	3746	2721	3095		2931.22222222222	10
ENSG00000112514	CUTA	1104	1674	2444	1091	1699	2357	2192	2030	2005	3110	1970.6	11
ENSG00000112530	PACRG					3412	3391		1580	1762		2536.25	5
ENSG00000112531	QKI	235	856	202	199	328	299	216	654	633	289	391.1	11
ENSG00000112541	PDE10A		160									160	2
ENSG00000112576	CCND3	1344		1648	1992	2474	3830	4146	1156	2068		2332.25	9
ENSG00000112584	FAM120B	3039	2147		2430	4614	6171	4307	5509	5352		4196.125	9
ENSG00000112640	PPP2R5D					4880	4611	3367		5469	2553	4176	6
ENSG00000112651	MRPL2	3207			3606	4462		3359	3657	3923		3702.33333333333	7
ENSG00000112655	PTK7									1876		1876	2
ENSG00000112667	DNPH1		3213	3198		4215	5217	3349	2165	3780		3591	8
ENSG00000112679	DUSP22							4197				4197	2
ENSG00000112685	EXOC2									6905		6905	2
ENSG00000112695	COX7A2	479	1168	711	355	500	915	678	576	544	573	649.9	11
ENSG00000112697	TMEM30A	1142	862	812	1294	1382	1461	1175	855	1003	1361	1134.7	11
ENSG00000112701	SENP6	4229	2840	3120	3022	3112	3225	4336	4341	5070	3167	3646.2	11
ENSG00000112715	VEGFA	809	991	2468			944		2342	1486	979	1431.28571428571	8
ENSG00000112739	PRPF4B	2778	2507	3696		4849	6070	4778		5590		4324	8
ENSG00000112759	SLC29A1						3818					3818	2
ENSG00000112763	BTN2A1	3840					3670	3943	3690	5994		4227.4	6
ENSG00000112769	LAMA4					573	292		3212	2004		1520.25	5
ENSG00000112773	TENT5A	459		1939	196	1539	1155		2405	2407		1442.85714285714	8
ENSG00000112782	CLIC5						1256					1256	2
ENSG00000112787	FBRSL1					5375	4575		4129	6003		5020.5	5
ENSG00000112796	ENPP5	4248				201	204	4089	1350	896		1831.33333333333	7
ENSG00000112851	ERBIN	383	2072	375	1707	2742	3694	1559	2031	2224	1425	1821.2	11
ENSG00000112893	MAN2A1							1165				1165	2
ENSG00000112902	SEMA5A	1006	1041	1226	735	1172	1168	2505	1338	2220		1379	10
ENSG00000112972	HMGCS1	1606	568	355	1891	1970	2243	626	1509	1308	813	1288.9	11
ENSG00000112977	DAP					3887	3535		3471	5340		4058.25	5
ENSG00000112981	NME5					4195	3750		3031	2990		3491.5	5
ENSG00000112983	BRD8	3787			3679	2166	3372	4846	3090	2853	2704	3312.125	9
ENSG00000112992	NNT	4276		2931		5406	5633	4050	4656	4244		4456.57142857143	8
ENSG00000112996	MRPS30									6027		6027	2
ENSG00000113013	HSPA9	1165	926	1692	517	1587	2169	1124	1178	1202	1555	1311.5	11
ENSG00000113048	MRPS27							4565	5655	6105		5441.66666666667	4
ENSG00000113068	PFDN1	3399	2603	3462	3453	2802	4620	4039	2736	3386	2680	3318	11
ENSG00000113070	HBEGF										229	229	2
ENSG00000113108	APBB3					5675	5677	3041		5106		4874.75	5
ENSG00000113140	SPARC	55	11	175	99	118	70	173	950	707	203	256.1	11
ENSG00000113141	IK	2654				3922	4030	3472	4863	4821	2842	3800.57142857143	8
ENSG00000113161	HMGCR	2158	2153	2186	1985	1954	1599	1046	1376	2280	866	1760.3	11
ENSG00000113163	CERT1			3738		3834	4964	2791	4230	3730		3881.16666666667	7
ENSG00000113194	FAF2					4571	5896		4052	6091		5152.5	5
ENSG00000113231	PDE8B	2399	767	1858	1404	1546	1656	1708	1773	2227	2404	1774.2	11
ENSG00000113269	RNF130	1716	3205	1359	3896	4411	4568	855	5070			3135	9
ENSG00000113282	CLINT1	4555				5917				6801		5757.66666666667	4
ENSG00000113296	THBS4					976	799	3110	2529	2188	1571	1862.16666666667	7
ENSG00000113312	TTC1	4327	2821	2541	2240	4021	4191	1913	2557	2826	2037	2947.4	11
ENSG00000113319	RASGRF2	2001			556	764	485		1505	1370		1113.5	7
ENSG00000113327	GABRG2	462	526	336	1157	330	284	218	179	250	416	415.8	11
ENSG00000113328	CCNG1						4415			5653		5034	3
ENSG00000113360	DROSHA						4669			5187		4928	3
ENSG00000113361	CDH6						1791					1791	2
ENSG00000113369	ARRDC3			2666	2845	3925	3740		4890	5257	2614	3705.28571428571	8
ENSG00000113384	GOLPH3	3772	2501	3547	1571	3359	5595	5067	3342	4872		3736.22222222222	10
ENSG00000113387	SUB1	601	903	522	866	278	573	465	700	545	454	590.7	11
ENSG00000113391	FAM172A					4365	4924		5528			4939	4
ENSG00000113396	SLC27A6					91	58			295		148	4
ENSG00000113407	TARS	4359		3324		5173	6021		4377	4148		4567	7
ENSG00000113441	LNPEP			3818		5161	4265	2489	3781	4765		4046.5	7
ENSG00000113456	RAD1					5974						5974	2
ENSG00000113460	BRIX1				3160					6049		4604.5	3
ENSG00000113494	PRLR	1072			503	412	351	427		1520		714.166666666667	7
ENSG00000113522	RAD50	4387		3759		5238		4870		5771		4805	6
ENSG00000113532	ST8SIA4	2233			1385	1902	1589		2153	1863		1854.16666666667	7
ENSG00000113552	GNPDA1	3483	3271		2872	3729	3488	3229	3987	5482		3692.625	9
ENSG00000113558	SKP1	636	769	720	585	1246	2124	602	1342	1429	637	1009	11
ENSG00000113575	PPP2CA	1941	1751	1229	1740	2019	1768	1659	1403	1554	1537	1660.1	11
ENSG00000113578	FGF1	444	1455	737	1378	1405	1197	846	1546	1702	752	1146.2	11
ENSG00000113580	NR3C1	3197		3130	1394	2635	2541	3718	2859	2753		2778.375	9
ENSG00000113583	C5orf15	2972		3832	2709	4698	3193	3621	5409	5581	2954	3885.44444444444	10
ENSG00000113594	LIFR	3882	2417	1619	2757	1945	2112	3406	3198	4824	1404	2756.4	11
ENSG00000113595	TRIM23	2864	3060	3248		2995	3073	4130	3513	4381	2916	3353.33333333333	10
ENSG00000113597	TRAPPC13				3010	5510	5649	3577	3632	5096		4412.33333333333	7
ENSG00000113621	TXNDC15	2865	3240	3350	2711	3268	3788	3906	2930	3514		3285.77777777778	10
ENSG00000113638	TTC33	4322	2815	2802	3555	3431	3732	3572	3025	3156		3378.88888888889	10
ENSG00000113643	RARS	3844		3077		4721	4688	2438	3010	3956		3676.28571428571	8
ENSG00000113645	WWC1							4822	4444	5074		4780	4
ENSG00000113648	H2AFY	1641	1570	1922	2287	2348	3124	2511	2088	1774	1457	2072.2	11
ENSG00000113649	TCERG1		3252	3464		3878	4490		5603	4515		4200.33333333333	7
ENSG00000113657	DPYSL3	2310	427	1202	3462	2934	3968	668	1745	1824	1971	2051.1	11
ENSG00000113658	SMAD5	4654				4799	6073		5729	5718		5394.6	6
ENSG00000113712	CSNK1A1	1599	1057	1607	1917	2757	3205	2578	2791	1936	1290	2073.7	11
ENSG00000113719	ERGIC1	4601				4810	4500		4551	3946		4481.6	6
ENSG00000113721	PDGFRB						3561		2953	2406		2973.33333333333	4
ENSG00000113732	ATP6V0E1	995	724	1782	247	471	451	2798	924	1097	657	1014.6	11
ENSG00000113742	CPEB4	4656	2529	3797		3307	3108	4942	4511	4659		3938.625	9
ENSG00000113758	DBN1	2130	2086	2835	1726	2215	1798	2778	1964	2094	2433	2205.9	11
ENSG00000113763	UNC5A					2887	1645					2266	3
ENSG00000113811	SELENOK	3283		2033	1515	2891	4337	3343	3265	4998	2174	3093.22222222222	10
ENSG00000113845	TIMMDC1	3727			1323	4511	4302		5395	4925	2819	3857.42857142857	8
ENSG00000113851	CRBN					3211		4297	5519	6229		4814	5
ENSG00000113916	BCL6	4042	2118	2588	2852	3748	6031	4462	4192	3607		3737.77777777778	10
ENSG00000113966	ARL6				3775		3388			3491		3551.33333333333	4
ENSG00000114019	AMOTL2							1845				1845	2
ENSG00000114021	NIT2	3055			3675	5775	5044	2618	3682	4084		3990.42857142857	8
ENSG00000114023	FAM162A	2881	2513	1983	2552	1985	3824	2238	2131	2946	2409	2546.2	11
ENSG00000114030	KPNA1	4407		4019	3084	5289	5303	5039	5523	5741		4800.625	9
ENSG00000114054	PCCB						6202		5174			5688	3
ENSG00000114062	UBE3A	3993	2838	3383		2587	3347	3393	2911	4013		3308.125	9
ENSG00000114098	ARMC8	3590		3362	3037	2833	3611	2810	3502	3525	2752	3224.66666666667	10
ENSG00000114107	CEP70							2676		6705		4690.5	3
ENSG00000114115	RBP1	3804	2265	2088	1029	157	190	3677	295	239	662	1440.6	11
ENSG00000114120	SLC25A36	2969	904	3104	2830	2312	3624	2796	2555	2764	2605	2646.3	11
ENSG00000114125	RNF7	1463	2301	2719	825	1423	2348	2730	1193	1752	2152	1890.6	11
ENSG00000114166	KAT2B			2740		1834	1022	4465	4591	3365		3002.83333333333	7
ENSG00000114209	PDCD10	4092	2862		1971	3506	5271		4921	6325		4135.42857142857	8
ENSG00000114270	COL7A1				957	1711	1332			1878	1548	1485.2	6
ENSG00000114279	FGF12	1242	1711	578	650	1013	860	556	730	844	821	900.5	11
ENSG00000114302	PRKAR2A	2689	3183	2654	2078	3695	4179	3417	4588	3473		3328.44444444444	10
ENSG00000114315	HES1	3915		2732			1794		1860	1590	1270	2193.5	7
ENSG00000114331	ACAP2						4543	4829	5183	6349		5226	5
ENSG00000114353	GNAI2	820	980	1538	1898	1446	2636	2282	1653	2505	1699	1745.7	11
ENSG00000114354	TFG	2640	2676	3021	1563	3293	3532	2965	2751	3494	2425	2836	11
ENSG00000114374	USP9Y	2758	2497		3708							2987.66666666667	4
ENSG00000114383	TUSC2	2327	3234	3454		3210	5014	1497	2813	2754	3021	3036	10
ENSG00000114388	NPRL2					5142	5417	3785				4781.33333333333	4
ENSG00000114391	RPL24	1125	604	397	444	686	1230	767	725	883	465	732.6	11
ENSG00000114405	C3orf14	3368		1870	2082	1980	1887	1110	1432	2209	2455	2043.66666666667	10
ENSG00000114416	FXR1	2534	1560	1898	2540	2907	5246	2873	3348	4539	2835	3028	11
ENSG00000114439	BBX	2059		1995	3289	2349	3009	3080	4061	4378		3027.5	9
ENSG00000114446	IFT57	3738	2670	3940	2996	4860	3315	4009	1309	1138	2862	3083.7	11
ENSG00000114473	IQCG								2305	1150		1727.5	3
ENSG00000114480	GBE1	1672				2953	3459		4739	4952		3555	6
ENSG00000114503	NCBP2	4000				3229	5737	3832	4177	6554		4588.16666666667	7
ENSG00000114520	SNX4	4103			1444	3281	2802	4831	5003	4883	2105	3556.5	9
ENSG00000114544	SLC41A3	3177	1564	1978	2680	2521	3323	1107	2313	1928	2744	2333.5	11
ENSG00000114554	PLXNA1				1928	2430	1754	2145		1985		2048.4	6
ENSG00000114573	ATP6V1A	386	454	385	980	310	455	261	203	247	419	410	11
ENSG00000114626	ABTB1					5491	4781		5480	5943		5423.75	5
ENSG00000114631	PODXL2	578	400	904	781	461	468	360	414	525	864	575.5	11
ENSG00000114646	CSPG5	942	951	1997	2053	1178	908	1437	1020	697	709	1189.2	11
ENSG00000114648	KLHL18						5465					5465	2
ENSG00000114650	SCAP	3743			2703	5482	5567	4224	4602	5497		4545.42857142857	8
ENSG00000114670	NEK11								1419	1710		1564.5	3
ENSG00000114686	MRPL3	2951				3809	3175	2997	1878	3622		3072	7
ENSG00000114698	PLSCR4		2229	3908			3466	3237	4025	4280		3524.16666666667	7
ENSG00000114742	WDR48	4001	2884			4498	5587	4285	4949	4330		4362	8
ENSG00000114745	GORASP1					5779	5342		5319	6541		5745.25	5
ENSG00000114757	PEX5L	2297		898	1403		3630	1286		4246		2293.33333333333	7
ENSG00000114770	ABCC5	1928	2239	1530	1704	1552	1562	2851	2076	3243	2094	2077.9	11
ENSG00000114784	EIF1B	517	716	1169	331	542	776	924	541	642	940	709.8	11
ENSG00000114790	ARHGEF26			2635			4827		5373	4835		4417.5	5
ENSG00000114796	KLHL24	4417				5902		5008		6545		5468	5
ENSG00000114850	SSR3			2859	3087	4259		3853	4933	5638		4104.83333333333	7
ENSG00000114853	ZBTB47								5683			5683	2
ENSG00000114857	NKTR	4059				3860	3495		5033	5239		4337.2	6
ENSG00000114861	FOXP1									4817		4817	2
ENSG00000114867	EIF4G1	2254	2677	2586	2529	3103	4553	2584	2411	2424	1459	2658	11
ENSG00000114902	SPCS1	1170	803	1024	663	757	1435	1652	1081	1222	906	1071.3	11
ENSG00000114904	NEK4									5156		5156	2
ENSG00000114923	SLC4A3	2229	2954	1929		2297	2073	1421	1576	2193	1959	2070.11111111111	10
ENSG00000114942	EEF1B2	2202	2556	1349	1577	1427	2909	2012	1932	2344	1536	1984.4	11
ENSG00000114948	ADAM23	3596	3052	2392	3456	4370	2421	1914	1819	2669		2854.33333333333	10
ENSG00000114956	DGUOK	2005	1716	1902	728	1555	1623	2016	1981	1468	1637	1663.1	11
ENSG00000114978	MOB1A								5182	5772		5477	3
ENSG00000114988	LMAN2L	1901			1706	3739	4136		3247	3367		3016	7
ENSG00000114993	RTKN							1718				1718	2
ENSG00000114999	TTL	4034							5386	4861		4760.33333333333	4
ENSG00000115020	PIKFYVE					5382			5445	5559		5462	4
ENSG00000115053	NCL	3016	2814	2157	2328	3219	5008	3338	4307	4697		3431.55555555556	10
ENSG00000115073	ACTR1B	2267	3147	3281	2646	3829	4545	3888	4574	4187		3596	10
ENSG00000115084	SLC35F5	3917			2787	4268	5323		5579	4172		4341	7
ENSG00000115091	ACTR3	3143	2213	3962	3824	2449	2645	3461	3509	3218	2441	3086.5	11
ENSG00000115128	SF3B6	1129	3066	2938	857	1370	1769	2696	1863	2229	1165	1908.2	11
ENSG00000115138	POMC	15	4	20	6	11	18	1388	15	24	8	150.9	11
ENSG00000115145	STAM2						6200			6165		6182.5	3
ENSG00000115159	GPD2	3953		2564		5125	5288	4185		4129		4207.33333333333	7
ENSG00000115170	ACVR1									5326		5326	2
ENSG00000115204	MPV17	2510			3726	5540	6224	4105	4334	5813		4607.42857142857	8
ENSG00000115211	EIF2B4						6107					6107	2
ENSG00000115216	NRBP1	1652	1483	3734	2278	3274	2718	2234	2211	2389	1792	2376.5	11
ENSG00000115226	FNDC4			3515						5157		4336	3
ENSG00000115233	PSMD14	2569	1962	2930	2698	2556	2944	2617	2875	2534	1464	2514.9	11
ENSG00000115234	SNX17		2961	3988	3639	3466	4436	3471	3218	3931		3638.75	9
ENSG00000115239	ASB3	3824				5551	5673	4569	5668	6095		5230	7
ENSG00000115241	PPM1G		2621	3526		2990	5117	4666	3238	5704		3980.28571428571	8
ENSG00000115252	PDE1A	1891			1807	1530	1773		2350	3496		2141.16666666667	7
ENSG00000115266	APC2	3186	1629			4553	4884	3825	3543	3458		3582.57142857143	8
ENSG00000115268	RPS15	439	532	596	1201	1151	1200	806	1549	2678	601	1075.3	11
ENSG00000115271	GCA					5896	5814	3691		6869		5567.5	5
ENSG00000115274	INO80B									5956		5956	2
ENSG00000115286	NDUFS7	2205	3178	3398	1713	2081	3775	1724	3220	4030		2813.77777777778	10
ENSG00000115295	CLIP4	3042	2491	3890	3366	2858	3890		4483	2867		3360.875	9
ENSG00000115306	SPTBN1	2649		1875		2520	2791	1901	1140	1745	1821	2055.25	9
ENSG00000115307	AUP1	4721		3992		4720	6016	4706	3478	4293		4560.85714285714	8
