"label" "pval" "genesource_alldxes_domain_FDR" "signature" "geneset" "overlap" "background" "hits" "spdomain_sex" "genesource" "globalfdr"
"181" "ASD" 0.029 0.52 60 649 9 8900 "ACHE,AHI1,CLASP1,GRIN2A,OPHN1,SATB1,SCN2A,SOX6,XPO1" "x11_MaleUp" "gwas" 0.464
"182" "PTSD" 0.13 1 60 20 1 8900 "SOX6" "x11_MaleUp" "gwas" 0.852579505300353
"183" "Panic" 0.21 1 60 35 1 8900 "SMAD1" "x11_MaleUp" "gwas" 0.99175572519084
"184" "BMI" 0.25 1 60 42 1 8900 "PACRG" "x11_MaleUp" "gwas" 1
"185" "OCD" 0.35 1 60 183 2 8900 "ATP2B1,CSDC2" "x11_MaleUp" "gwas" 1
"186" "MDD" 0.37 1 60 1294 10 8900 "PACRG,CSDC2,SNAPC5,DMTN,XPO1,DTNBP1,AMPH,ECEL1,MBLAC2,HSPH1" "x11_MaleUp" "gwas" 1
"187" "NDD" 0.47 1 60 811 6 8900 "SCN2A,OPHN1,GRIN2A,NEU1,AHI1,SOX6" "x11_MaleUp" "gwas" 1
"188" "BIP" 0.49 1 60 99 1 8900 "GRIN2A" "x11_MaleUp" "gwas" 1
"189" "OUD" 0.55 1 60 117 1 8900 "HSPH1" "x11_MaleUp" "gwas" 1
"190" "AD" 0.75 1 60 200 1 8900 "NEU1" "x11_MaleUp" "gwas" 1
"191" "SCZ" 0.86 1 60 288 1 8900 "GRIN2A" "x11_MaleUp" "gwas" 1
"192" "ADHD" 1 1 60 79 0 8900 "" "x11_MaleUp" "gwas" 1
"193" "AUD" 1 1 60 12 0 8900 "" "x11_MaleUp" "gwas" 1
"194" "CannabisUseDisorder" 1 1 60 6 0 8900 "" "x11_MaleUp" "gwas" 1
"195" "Anorexia" 1 1 60 47 0 8900 "" "x11_MaleUp" "gwas" 1
"196" "Lefthanded" 1 1 60 18 0 8900 "" "x11_MaleUp" "gwas" 1
"197" "GAD" 1 1 60 13 0 8900 "" "x11_MaleUp" "gwas" 1
"198" "TS" 1 1 60 23 0 8900 "" "x11_MaleUp" "gwas" 1
"199" "ASD" 0.17 1 18 563 3 7115 "CLCN4,GDA,GRIN2B" "x12_MaleUp" "gwas" 0.936261127596439
"200" "NDD" 0.51 1 18 662 2 7115 "GRIN2B,CLCN4" "x12_MaleUp" "gwas" 1
"201" "MDD" 0.94 1 18 1050 1 7115 "ZNF681" "x12_MaleUp" "gwas" 1
"202" "ADHD" 1 1 18 62 0 7115 "" "x12_MaleUp" "gwas" 1
"203" "AUD" 1 1 18 9 0 7115 "" "x12_MaleUp" "gwas" 1
"204" "OUD" 1 1 18 94 0 7115 "" "x12_MaleUp" "gwas" 1
"205" "CannabisUseDisorder" 1 1 18 6 0 7115 "" "x12_MaleUp" "gwas" 1
"206" "PTSD" 1 1 18 14 0 7115 "" "x12_MaleUp" "gwas" 1
"207" "AD" 1 1 18 159 0 7115 "" "x12_MaleUp" "gwas" 1
"208" "Anorexia" 1 1 18 40 0 7115 "" "x12_MaleUp" "gwas" 1
"209" "Lefthanded" 1 1 18 16 0 7115 "" "x12_MaleUp" "gwas" 1
"210" "BIP" 1 1 18 87 0 7115 "" "x12_MaleUp" "gwas" 1
"211" "OCD" 1 1 18 153 0 7115 "" "x12_MaleUp" "gwas" 1
"212" "GAD" 1 1 18 12 0 7115 "" "x12_MaleUp" "gwas" 1
"213" "SCZ" 1 1 18 236 0 7115 "" "x12_MaleUp" "gwas" 1
"214" "Panic" 1 1 18 31 0 7115 "" "x12_MaleUp" "gwas" 1
"215" "TS" 1 1 18 21 0 7115 "" "x12_MaleUp" "gwas" 1
"216" "BMI" 1 1 18 30 0 7115 "" "x12_MaleUp" "gwas" 1
"217" "ASD" 0.00067 0.012 280 918 32 14716 "WNT3,KANSL1-AS1,AGAP1,AGO3,AHI1,ANK3,CADPS2,CAMK4,CDK13,CDKL5,DCC,ELAVL2,GABRA3,GPD2,GRK4,HNRNPUL2,HS3ST5,KATNAL1,MARK1,NAV3,NBEA,NLGN1,NRXN2,NUAK1,PCLO,PHIP,RORB,SAMD11,SLC22A15,STK39,TANC2,TSC1" "x13_MaleUp" "gwas" 0.04288
"218" "MDD" 0.046 0.41 280 1937 47 14716 "DENND1B,DCC,ZNF638,ELAVL2,NICN1,RABGAP1L,OXR1,ANKRD36,NRXN2,ANKRD36B,CSDC2,LINC00622,IFI44,S100A13,DCAF17,HEYL,NLGN1,ZCCHC2,GRK4,TANC2,AKT3,KANSL1-AS1,CAPRIN2,PPP3CA,ZBTB37,PCLO,CPEB3,BEND4,PBRM1,CEP350,RBMS3,GLYR1,AMPH,HS3ST5,ESR1,UBE2M,ZFHX3,CRYZ,MIR137HG,RXRG,DNM3,TAF5L,POLR3G,HIST1H4C,AVL9,LRP4-AS1,KATNAL1" "x13_MaleUp" "gwas" 0.565403973509934
"219" "GAD" 0.076 0.45 280 24 2 14716 "ESR1,WNT3" "x13_MaleUp" "gwas" 0.68473786407767
"220" "TS" 0.14 0.51 280 34 2 14716 "PCDH7,FBXL17" "x13_MaleUp" "gwas" 0.869030100334448
"221" "NDD" 0.16 0.51 280 1065 25 14716 "SOX11,WNT3,NRXN2,ZC4H2,GATAD2B,PHF6,SOS1,AKT3,PHIP,CERT1,TSC1,CDKL5,SCN3A,AHI1,CDK13,DCC,PPP3CA,DDX6,PHACTR1,NBEA,OXR1,RIMS2,FGF13,SEMA3A,RORB" "x13_MaleUp" "gwas" 0.91938080495356
"222" "SCZ" 0.17 0.51 280 415 11 14716 "XPO7,DNM3,AKT3,CPEB1,DCC,GATAD2B,KANSL1-AS1,MIR137HG,RBMS3,WNT3,ZBTB37" "x13_MaleUp" "gwas" 0.936261127596439
"223" "OCD" 0.27 0.69 280 275 7 14716 "CORO1C,ATP2B1,RABGAP1L,SYNRG,AGO3,RARS,CSDC2" "x13_MaleUp" "gwas" 1
"224" "BIP" 0.32 0.73 280 151 4 14716 "PBRM1,CERS6,RBMS3,ANK3" "x13_MaleUp" "gwas" 1
"225" "Lefthanded" 0.46 0.92 280 32 1 14716 "BCR" "x13_MaleUp" "gwas" 1
"226" "PTSD" 0.51 0.92 280 37 1 14716 "WNT3" "x13_MaleUp" "gwas" 1
"227" "Panic" 0.62 0.98 280 50 1 14716 "SYT10" "x13_MaleUp" "gwas" 1
"228" "ADHD" 0.68 0.98 280 123 2 14716 "DCC,ZNF16" "x13_MaleUp" "gwas" 1
"229" "Anorexia" 0.71 0.98 280 64 1 14716 "NICN1" "x13_MaleUp" "gwas" 1
"230" "AD" 0.94 1 280 317 3 14716 "HS3ST5,ANK3,PLEKHA1" "x13_MaleUp" "gwas" 1
"231" "OUD" 0.96 1 280 172 1 14716 "NICN1" "x13_MaleUp" "gwas" 1
"232" "AUD" 1 1 280 24 0 14716 "" "x13_MaleUp" "gwas" 1
"233" "CannabisUseDisorder" 1 1 280 8 0 14716 "" "x13_MaleUp" "gwas" 1
"234" "BMI" 1 1 280 62 0 14716 "" "x13_MaleUp" "gwas" 1
"235" "ASD" 3.4e-07 6.1e-06 374 770 57 10044 "KANSL1-AS1,NSF,AGAP1,AHI1,ANK3,CACNA2D1,CAMK2A,CAMK2B,CDH13,CDH8,CDKL5,CELF4,CHAMP1,CMIP,DLG4,DMXL2,EEF1A2,ELAVL2,EXOC3,G3BP2,GABRA4,GDA,GRIA2,GRIA3,GRIN2B,GRM5,ICA1,KCNC1,KIF5C,LRP2,LRRC4C,MARK2,MEMO1,MYCBP2,MYO5A,MYT1L,NBEA,NEGR1,NRXN1,PAFAH1B2,PCDH19,PCDH9,PCLO,PRKAR1B,PRKCB,RAPGEF4,RBFOX1,RIMS1,SCN2A,SEZ6L2,SLC12A5,SLC1A1,SLC24A2,SYN1,SYN2,SYT1,UNC13A" "x14_MaleUp" "gwas" 5.25866666666667e-05
"236" "NDD" 0.039 0.35 374 929 45 10044 "SCN2A,CHAMP1,L1CAM,SYT1,VRK1,PTDSS1,TUBB2A,HCN1,AMPD2,KCNC1,CHRNB2,GNAO1,GRIN2B,LRP2,ELOVL4,SLC12A5,KIF5C,STX1B,GABRA1,NRXN1,PCDH19,GRIA3,PAK3,PREPL,SYN1,PTCH1,ATP6V1B2,MYO5A,CDKL5,EEF1A2,SCN3A,AHI1,DLG4,AFF3,USP27X,YWHAG,CAMK2A,CAMK2B,PGAP1,NBEA,RIMS2,CNNM2,NAPB,PRKACB,NCDN" "x14_MaleUp" "gwas" 0.528350364963504
"237" "TS" 0.092 0.43 374 29 3 10044 "RANGAP1,SLC10A4,MYT1L" "x14_MaleUp" "gwas" 0.754471544715447
"238" "OCD" 0.11 0.43 374 216 12 10044 "ZFR2,PTDSS1,MMP17,GPRIN1,SYNRG,GABRB1,SGSM1,NEFH,MLLT3,NRXN1,RANGAP1,USP13" "x14_MaleUp" "gwas" 0.788262548262548
"239" "OUD" 0.12 0.43 374 133 8 10044 "NEGR1,HSPH1,BSN,DNAJC6,RGS17,CAMKV,YPEL4,YWHAG" "x14_MaleUp" "gwas" 0.815824175824176
"240" "GAD" 0.14 0.43 374 18 2 10044 "NSF,STX1B" "x14_MaleUp" "gwas" 0.869030100334448
"241" "CannabisUseDisorder" 0.17 0.44 374 5 1 10044 "STMN4" "x14_MaleUp" "gwas" 0.936261127596439
"242" "Lefthanded" 0.22 0.5 374 24 2 10044 "NSF,NAP1L5" "x14_MaleUp" "gwas" 1
"243" "SCZ" 0.27 0.52 374 337 15 10044 "GRIA3,DNM3,ASIC1,CNNM2,ELAVL4,HCN1,KANSL1-AS1,MYT1L,NEGR1,NRGN,NSF,OPCML,PCDH17,QPCT,SNAP91" "x14_MaleUp" "gwas" 1
"244" "PTSD" 0.29 0.52 374 29 2 10044 "NSF,CAMKV" "x14_MaleUp" "gwas" 1
"245" "Anorexia" 0.32 0.52 374 53 3 10044 "BSN,CAMKV,NEFH" "x14_MaleUp" "gwas" 1
"246" "MDD" 0.39 0.58 374 1495 58 10044 "NEGR1,RANGAP1,CAMKV,ELAVL2,INA,ADARB1,ERC2,SLC6A15,DMTN,MAP2,DNAJC6,INPP5F,PJA2,GABRB1,GABRA1,FAXC,CAMK2N1,DMXL2,ENC1,SNAP91,NLE1,AMPD2,ARHGEF7,PTPN5,KANSL1-AS1,RBFOX1,PCLO,LRRC7,GNAZ,CPEB3,TUBA4A,NKAIN4,AMPH,CDH13,PCDH9,BSN,GRM5,NRXN1,CELF4,ZFHX4,PTCH1,OPCML,CDH18,ELAVL4,RAB3B,COA7,DNM3,PGAP1,ECEL1,SCOC,UBE2QL1,GABRG2,YPEL4,FKBP4,HSPH1,PCDH8,WDR7,SLC12A5" "x14_MaleUp" "gwas" 1
"247" "Panic" 0.43 0.59 374 39 2 10044 "SERPINI1,PCDH17" "x14_MaleUp" "gwas" 1
"248" "ADHD" 0.47 0.59 374 95 4 10044 "CDH8,CAMKV,BSN,VRK1" "x14_MaleUp" "gwas" 1
"249" "AUD" 0.5 0.59 374 18 1 10044 "CAMK2N1" "x14_MaleUp" "gwas" 1
"250" "AD" 0.78 0.85 374 235 7 10044 "ICA1,ANK3,SEZ6L2,STX1B,RUNDC3A,GNAO1,STMN4" "x14_MaleUp" "gwas" 1
"251" "BIP" 0.81 0.85 374 115 3 10044 "PRKCB,MARK2,ANK3" "x14_MaleUp" "gwas" 1
"252" "BMI" 1 1 374 50 0 10044 "" "x14_MaleUp" "gwas" 1
"253" "ASD" 6.6e-08 1.2e-06 276 845 45 12128 "WNT3,NTM,KANSL1-AS1,NSF,NEDD4L,ANK3,ANKS1B,APBA2,CACNA1E,CACNA2D3,CAMK2A,CAMK2B,CD38,CGNL1,CLCN4,CNR1,CTNND2,DMXL2,DPP10,ELAVL2,GATM,GGNBP2,GRID2,GRIN1,GRIN2B,GRM5,GRM7,HECTD4,MRTFB,MYCBP2,NBEA,NLGN1,NDUFA5,NRXN1,NTNG1,PCDH19,PCLO,RBFOX1,RIMS1,SLC24A2,SLITRK5,SYN2,SYNJ1,TRPM3,UNC80" "x15_MaleUp" "gwas" 1.74994285714286e-05
"254" "GAD" 6.9e-05 0.00062 276 20 5 12128 "OPRL1,WNT3,NSF,ANKS1B,STX1B" "x15_MaleUp" "gwas" 0.008468
"255" "NDD" 0.013 0.079 276 1008 34 12128 "DNM1,WNT3,NEDD4L,GRIN2B,TIMM8A,PTS,TUBB3,STX1B,NRXN1,PCDH19,NDE1,GRIN1,PAK3,DLG3,ROGDI,CLCN4,GATM,UNC80,AFF3,TAF13,CAMK2A,CAMK2B,CACNA1E,NBEA,MN1,KCNN3,ATP6V0A1,OXR1,ATP6V1A,CYFIP2,MRAS,CTNND2,NAPB,PRKACB" "x15_MaleUp" "gwas" 0.305417721518987
"256" "PTSD" 0.03 0.14 276 30 3 12128 "WNT3,NSF,CAMKV" "x15_MaleUp" "gwas" 0.464
"257" "SCZ" 0.046 0.17 276 373 14 12128 "DNM3,HIST1H1E,AKAP6,ASPHD1,DLX1,KANSL1-AS1,KIF21B,NGEF,NSF,PTPRD,RALGPS1,SNCA,TUBB3,WNT3" "x15_MaleUp" "gwas" 0.565403973509934
"258" "MDD" 0.2 0.61 276 1706 44 12128 "CAMKV,ELAVL2,RABGAP1L,SGIP1,OXR1,B4GALNT1,NTNG1,SNCA,ERC2,PJA2,FAXC,NLGN1,CAMK2N1,DMXL2,ENC1,ASPHD1,KANSL1-AS1,RBFOX1,DNM1,SLC4A8,PCLO,SCAI,TUBA4A,NKAIN4,PTPRD,ANKS1B,CACNA1E,GDPD1,GRM5,NRXN1,NTM,GRM7,GPC5,DNM3,MRPL35,DLX1,NGEF,HIST1H1E,GABBR1,ADAP1,THSD7A,HABP4,ETNK1,SEZ6" "x15_MaleUp" "gwas" 0.99175572519084
"259" "Panic" 0.26 0.64 276 44 2 12128 "DLX1,PTBP3" "x15_MaleUp" "gwas" 1
"260" "OCD" 0.31 0.64 276 242 7 12128 "SLITRK5,OPRL1,CACNA2D3,RABGAP1L,GPR149,NEFH,NRXN1" "x15_MaleUp" "gwas" 1
"261" "Anorexia" 0.35 0.64 276 54 2 12128 "CAMKV,NEFH" "x15_MaleUp" "gwas" 1
"262" "AUD" 0.37 0.64 276 20 1 12128 "CAMK2N1" "x15_MaleUp" "gwas" 1
"263" "AD" 0.43 0.64 276 274 7 12128 "FAM117B,ANK3,ASPHD1,STX1B,RUNDC3A,NGEF,THSD7A" "x15_MaleUp" "gwas" 1
"264" "Lefthanded" 0.44 0.64 276 25 1 12128 "NSF" "x15_MaleUp" "gwas" 1
"265" "OUD" 0.46 0.64 276 153 4 12128 "C12orf76,SGIP1,SCAI,CAMKV" "x15_MaleUp" "gwas" 1
"266" "TS" 0.52 0.67 276 32 1 12128 "PCDH7" "x15_MaleUp" "gwas" 1
"267" "BIP" 0.6 0.72 276 136 3 12128 "GABBR1,ANK3,ASPHD1" "x15_MaleUp" "gwas" 1
"268" "BMI" 0.73 0.82 276 56 1 12128 "GGNBP2" "x15_MaleUp" "gwas" 1
"269" "ADHD" 0.92 0.98 276 110 1 12128 "CAMKV" "x15_MaleUp" "gwas" 1
"270" "CannabisUseDisorder" 1 1 276 7 0 12128 "" "x15_MaleUp" "gwas" 1
"271" "ADHD" 0.12 0.71 64 93 2 9849 "VIM,KDM6B" "x1_FemUp" "gwas" 0.815824175824176
"272" "OCD" 0.16 0.71 64 211 3 9849 "IGF2R,HLA-A,TAPBP" "x1_FemUp" "gwas" 0.91938080495356
"273" "SCZ" 0.16 0.71 64 323 4 9849 "KDM6B,ATF4,COQ10B,DOT1L" "x1_FemUp" "gwas" 0.91938080495356
"274" "TS" 0.16 0.71 64 26 1 9849 "SRSF7" "x1_FemUp" "gwas" 0.91938080495356
"275" "Panic" 0.22 0.79 64 38 1 9849 "ANXA5" "x1_FemUp" "gwas" 1
"276" "AD" 0.42 1 64 219 2 9849 "HLA-C,TAPBP" "x1_FemUp" "gwas" 1
"277" "MDD" 0.46 1 64 1433 10 9849 "MVP,TAPBP,KDM6B,PRR4,COQ10B,CD14,MYC,NDUFA4L2,USPL1,ATF4" "x1_FemUp" "gwas" 1
"278" "ASD" 0.73 1 64 751 4 9849 "ANXA1,FABP5,HLA-A,KDM6B" "x1_FemUp" "gwas" 1
"279" "NDD" 0.84 1 64 882 4 9849 "FAM20C,MGP,RAC3,CTU2" "x1_FemUp" "gwas" 1
"280" "AUD" 1 1 64 16 0 9849 "" "x1_FemUp" "gwas" 1
"281" "OUD" 1 1 64 126 0 9849 "" "x1_FemUp" "gwas" 1
"282" "CannabisUseDisorder" 1 1 64 6 0 9849 "" "x1_FemUp" "gwas" 1
"283" "PTSD" 1 1 64 25 0 9849 "" "x1_FemUp" "gwas" 1
"284" "Anorexia" 1 1 64 49 0 9849 "" "x1_FemUp" "gwas" 1
"285" "Lefthanded" 1 1 64 21 0 9849 "" "x1_FemUp" "gwas" 1
"286" "BIP" 1 1 64 115 0 9849 "" "x1_FemUp" "gwas" 1
"287" "GAD" 1 1 64 19 0 9849 "" "x1_FemUp" "gwas" 1
"288" "BMI" 1 1 64 44 0 9849 "" "x1_FemUp" "gwas" 1
"289" "BIP" 0.06 1 39 150 2 14742 "NMB,ALAS1" "x3_FemUp" "gwas" 0.61524861878453
"290" "ADHD" 0.28 1 39 125 1 14742 "VIM" "x3_FemUp" "gwas" 1
"291" "OCD" 0.52 1 39 273 1 14742 "HLA-A" "x3_FemUp" "gwas" 1
"292" "SCZ" 0.67 1 39 418 1 14742 "NMB" "x3_FemUp" "gwas" 1
"293" "NDD" 0.79 1 39 1071 2 14742 "MGP,NDUFA8" "x3_FemUp" "gwas" 1
"294" "ASD" 0.92 1 39 919 1 14742 "HLA-A" "x3_FemUp" "gwas" 1
"295" "AUD" 1 1 39 28 0 14742 "" "x3_FemUp" "gwas" 1
"296" "OUD" 1 1 39 170 0 14742 "" "x3_FemUp" "gwas" 1
"297" "CannabisUseDisorder" 1 1 39 9 0 14742 "" "x3_FemUp" "gwas" 1
"298" "MDD" 1 1 39 1947 1 14742 "NMB" "x3_FemUp" "gwas" 1
"299" "PTSD" 1 1 39 38 0 14742 "" "x3_FemUp" "gwas" 1
"300" "AD" 1 1 39 319 0 14742 "" "x3_FemUp" "gwas" 1
"301" "Anorexia" 1 1 39 64 0 14742 "" "x3_FemUp" "gwas" 1
"302" "Lefthanded" 1 1 39 34 0 14742 "" "x3_FemUp" "gwas" 1
"303" "GAD" 1 1 39 25 0 14742 "" "x3_FemUp" "gwas" 1
"304" "Panic" 1 1 39 47 0 14742 "" "x3_FemUp" "gwas" 1
"305" "TS" 1 1 39 33 0 14742 "" "x3_FemUp" "gwas" 1
"306" "BMI" 1 1 39 62 0 14742 "" "x3_FemUp" "gwas" 1
"307" "Panic" 0.069 1 128 44 2 13041 "CYBRD1,HAT1" "x4_FemUp" "gwas" 0.650071065989848
"308" "AUD" 0.2 1 128 23 1 13041 "CDH7" "x4_FemUp" "gwas" 0.99175572519084
"309" "MDD" 0.21 1 128 1770 21 13041 "LRP4,LTBP3,LEPROT,MAN2C1,PLTP,MGST1,SLCO1C1,TMEM218,TSTD3,CACNA1E,ASIC2,FAM228B,CYBRD1,HAT1,BDH2,GTF3C6,KBTBD4,EFEMP2,ANKRD9,ACAP1,ZFAS1" "x4_FemUp" "gwas" 0.99175572519084
"310" "OCD" 0.24 1 128 252 4 13041 "MCM4,ACAP1,IGSF11,SLC6A11" "x4_FemUp" "gwas" 1
"311" "BIP" 0.4 1 128 141 2 13041 "BTBD1,PSD2" "x4_FemUp" "gwas" 1
"312" "NDD" 0.8 1 128 1031 8 13041 "RELN,LAMA2,MCCC1,PHGDH,PGAP3,DENND5A,CACNA1E,RPL10" "x4_FemUp" "gwas" 1
"313" "SCZ" 0.9 1 128 391 2 13041 "LINC01088,SCRIB" "x4_FemUp" "gwas" 1
"314" "AD" 0.95 1 128 297 1 13041 "KBTBD4" "x4_FemUp" "gwas" 1
"315" "ASD" 0.97 1 128 869 4 13041 "CACNA1E,MCM4,RELN,RPL10" "x4_FemUp" "gwas" 1
"316" "ADHD" 1 1 128 110 0 13041 "" "x4_FemUp" "gwas" 1
"317" "OUD" 1 1 128 161 0 13041 "" "x4_FemUp" "gwas" 1
"318" "CannabisUseDisorder" 1 1 128 8 0 13041 "" "x4_FemUp" "gwas" 1
"319" "PTSD" 1 1 128 34 0 13041 "" "x4_FemUp" "gwas" 1
"320" "Anorexia" 1 1 128 59 0 13041 "" "x4_FemUp" "gwas" 1
"321" "Lefthanded" 1 1 128 29 0 13041 "" "x4_FemUp" "gwas" 1
"322" "GAD" 1 1 128 22 0 13041 "" "x4_FemUp" "gwas" 1
"323" "TS" 1 1 128 34 0 13041 "" "x4_FemUp" "gwas" 1
"324" "BMI" 1 1 128 55 0 13041 "" "x4_FemUp" "gwas" 1
"325" "Panic" 0.058 0.7 112 49 2 14129 "ANXA5,TAC1" "x5_FemUp" "gwas" 0.608180790960452
"326" "BMI" 0.084 0.7 112 61 2 14129 "ZSWIM7,SULT1A1" "x5_FemUp" "gwas" 0.721777777777778
"327" "BIP" 0.12 0.7 112 150 3 14129 "SPCS1,ALAS1,BTBD1" "x5_FemUp" "gwas" 0.815824175824176
"328" "Lefthanded" 0.22 0.92 112 31 1 14129 "SULT1A1" "x5_FemUp" "gwas" 1
"329" "ADHD" 0.25 0.92 112 123 2 14129 "VIM,BLOC1S2" "x5_FemUp" "gwas" 1
"330" "OCD" 0.35 1 112 265 3 14129 "COCH,REXO2,SPCS1" "x5_FemUp" "gwas" 1
"331" "AD" 0.44 1 112 308 3 14129 "BOLA2,ETHE1,HLA-DQB1" "x5_FemUp" "gwas" 1
"332" "SCZ" 0.65 1 112 417 3 14129 "ESAM,LPCAT4,SHANK3" "x5_FemUp" "gwas" 1
"333" "OUD" 0.74 1 112 169 1 14129 "PPTC7" "x5_FemUp" "gwas" 1
"334" "NDD" 0.85 1 112 1055 6 14129 "SLC2A1,SHANK3,BOLA3,ETHE1,HACE1,METTL23" "x5_FemUp" "gwas" 1
"335" "MDD" 0.9 1 112 1900 11 14129 "VDAC2,BCHE,TRMT112,HACE1,ITGAE,TMEM200A,PPTC7,LGALS3,TXNDC9,NDUFA4L2,COL6A2" "x5_FemUp" "gwas" 1
"336" "ASD" 0.98 1 112 906 3 14129 "METTL26,OXT,SHANK3" "x5_FemUp" "gwas" 1
"337" "AUD" 1 1 112 24 0 14129 "" "x5_FemUp" "gwas" 1
"338" "CannabisUseDisorder" 1 1 112 9 0 14129 "" "x5_FemUp" "gwas" 1
"339" "PTSD" 1 1 112 38 0 14129 "" "x5_FemUp" "gwas" 1
"340" "Anorexia" 1 1 112 64 0 14129 "" "x5_FemUp" "gwas" 1
"341" "GAD" 1 1 112 24 0 14129 "" "x5_FemUp" "gwas" 1
"342" "TS" 1 1 112 34 0 14129 "" "x5_FemUp" "gwas" 1
"343" "AD" 0.04 0.72 177 326 8 14966 "TSPAN14,BOLA2,AGRN,CD55,CLIC1,HLA-DQB1,PCOLCE,TAP2" "x6_FemUp" "gwas" 0.530285714285714
"344" "Panic" 0.11 0.99 177 48 2 14966 "ANXA5,TAC1" "x6_FemUp" "gwas" 0.788262548262548
"345" "BIP" 0.28 1 177 155 3 14966 "NMB,CLIC1,BTBD1" "x6_FemUp" "gwas" 1
"346" "Lefthanded" 0.34 1 177 35 1 14966 "HLA-F" "x6_FemUp" "gwas" 1
"347" "ADHD" 0.45 1 177 128 2 14966 "TIE1,VIM" "x6_FemUp" "gwas" 1
"348" "SCZ" 0.56 1 177 419 5 14966 "ESAM,LPCAT4,NMB,SHANK3,TIE1" "x6_FemUp" "gwas" 1
"349" "OUD" 0.61 1 177 173 2 14966 "GPN3,SERPING1" "x6_FemUp" "gwas" 1
"350" "NDD" 0.62 1 177 1070 12 14966 "FLNA,SLC2A1,MRPS22,SLC19A3,CA2,LAMA2,SHANK3,BOLA3,LAMB1,PEX7,DENND5A,OCLN" "x6_FemUp" "gwas" 1
"351" "OCD" 0.84 1 177 275 2 14966 "MRPL39,SERPING1" "x6_FemUp" "gwas" 1
"352" "ASD" 0.92 1 177 920 7 14966 "FRK,LAMB1,OXT,PEX7,PTPRB,SHANK3,TBCEL" "x6_FemUp" "gwas" 1
"353" "AUD" 1 1 177 26 0 14966 "" "x6_FemUp" "gwas" 1
"354" "CannabisUseDisorder" 1 1 177 10 0 14966 "" "x6_FemUp" "gwas" 1
"355" "MDD" 1 1 177 1962 11 14966 "TAP2,BEST1,MMRN1,COMT,LGALS3,CALHM2,NMB,SERPING1,DIMT1,DECR1,COL6A2" "x6_FemUp" "gwas" 1
"356" "PTSD" 1 1 177 38 0 14966 "" "x6_FemUp" "gwas" 1
"357" "Anorexia" 1 1 177 64 0 14966 "" "x6_FemUp" "gwas" 1
"358" "GAD" 1 1 177 25 0 14966 "" "x6_FemUp" "gwas" 1
"359" "TS" 1 1 177 36 0 14966 "" "x6_FemUp" "gwas" 1
"360" "BMI" 1 1 177 62 0 14966 "" "x6_FemUp" "gwas" 1
"361" "Panic" 0.049 0.89 224 41 3 11111 "ANXA5,ELOVL2,ADAMTS9" "x7_FemUp" "gwas" 0.586735483870968
"362" "AUD" 0.32 1 224 19 1 11111 "DYNLRB2" "x7_FemUp" "gwas" 1
"363" "Lefthanded" 0.41 1 224 26 1 11111 "HLA-F" "x7_FemUp" "gwas" 1
"364" "BMI" 0.67 1 224 54 1 11111 "MUSTN1" "x7_FemUp" "gwas" 1
"365" "BIP" 0.72 1 224 125 2 11111 "MUSTN1,BTBD1" "x7_FemUp" "gwas" 1
"366" "OCD" 0.84 1 224 227 3 11111 "COL18A1,SERPING1,MUSTN1" "x7_FemUp" "gwas" 1
"367" "ADHD" 0.87 1 224 101 1 11111 "VIM" "x7_FemUp" "gwas" 1
"368" "AD" 0.89 1 224 252 3 11111 "SLC8B1,RNF5,SCARA3" "x7_FemUp" "gwas" 1
"369" "SCZ" 0.92 1 224 348 4 11111 "FAM178B,LINC01088,PLCH2,SCARA3" "x7_FemUp" "gwas" 1
"370" "OUD" 0.95 1 224 142 1 11111 "SERPING1" "x7_FemUp" "gwas" 1
"371" "MDD" 0.95 1 224 1589 24 11111 "PLTP,ECM2,BEST1,COMT,L3HYPDH,TIMP4,ABHD4,MVB12A,EML3,CYP4F11,SERPING1,MUSTN1,CDK4,MCEE,EIF4EBP3,MDFIC,LINC00092,MTA2,PXN,MSI1,FNTB,ENTPD5,HCK,COL6A2" "x7_FemUp" "gwas" 1
"372" "ASD" 1 1 224 791 7 11111 "RSU1,MAP3K14,ANXA1,FABP5,ELOVL2,MYH9,RPL10" "x7_FemUp" "gwas" 1
"373" "CannabisUseDisorder" 1 1 224 6 0 11111 "" "x7_FemUp" "gwas" 1
"374" "PTSD" 1 1 224 29 0 11111 "" "x7_FemUp" "gwas" 1
"375" "Anorexia" 1 1 224 51 0 11111 "" "x7_FemUp" "gwas" 1
"376" "GAD" 1 1 224 20 0 11111 "" "x7_FemUp" "gwas" 1
"377" "NDD" 1 1 224 973 8 11111 "FLNA,SLC2A1,RRAS,LAMA2,UBE2A,COL18A1,MGP,RPL10" "x7_FemUp" "gwas" 1
"378" "TS" 1 1 224 29 0 11111 "" "x7_FemUp" "gwas" 1
"379" "Panic" 0.023 0.42 338 49 4 15158 "ANXA5,VAV3,HAT1,ADAMTS9" "x8_FemUp" "gwas" 0.42688
"380" "OUD" 0.35 1 338 174 5 15158 "ACTN2,PPP4C,TMPRSS5,ID4,OXGR1" "x8_FemUp" "gwas" 1
"381" "Lefthanded" 0.55 1 338 35 1 15158 "HLA-F" "x8_FemUp" "gwas" 1
"382" "BIP" 0.66 1 338 151 3 15158 "STAB1,HAPLN4,BTBD1" "x8_FemUp" "gwas" 1
