Publication	PMID	Title	Journal	Year	DOI
TWASP000180	33768244	Integrative analyses followed by functional characterization reveal TMEM180 as a schizophrenia risk gene	2021	Schizophrenia Bulletin	10.1093/schbul/sbab032
TWASP000181	34626721	Integrative analysis of transcriptome-wide association study and mRNA expression profile identified candidate genes and pathways associated with aortic aneurysm and dissection	2021	Gene	10.1016/j.gene.2021.145993
TWASP000182	33200776	kTWAS: integrating kernel machine with transcriptome-wide association studies improves statistical power and reveals novel genes	2020	Briefings in Bioinformatics	10.1093/bib/bbaa270
TWASP000183	33481017	Multi-omics analysis to identify susceptibility genes for colorectal cancer	2021	Human Molecular Genetics	10.1093/hmg/ddab021
TWASP000184	34675350	Multi-tissue transcriptome-wide association study identifies eight candidate genes and tissue-specific gene expression underlying endometrial cancer susceptibility	2021	Communication Biology	10.1038/s42003-021-02745-3
TWASP000185	34317694	Pleiotropy-guided transcriptome imputation from normal and tumor tissues identifies candidate susceptibility genes for breast and ovarian cancer	2021	Human Genetics and Genomics Advances	10.1016/j.xhgg.2021.100042
TWASP000186	34286847	Transcriptome-wide association study for inflammatory bowel disease reveals novel candidate susceptibility  genes in specific colon subsites and tissue categories	2022	Journal of Crohn's and Colitis	10.1093/ecco-jcc/jjab131
TWASP000187	34356065	Transcriptome-wide association  study of blood cell  traits in African ancestry  and Hispanic/Latino populations	2021	Genes	10.3390/genes12071049
TWASP000188	35347136	Nasal airway transcriptome-wide association study of asthma reveals genetically driven mucus pathobiology	2022	Nature Communications	10.1038/s41467-022-28973-7
TWASP000189	35354918	Transcriptome-wide association study reveals increased neuronal FLT3 expression is associated with Tourette's syndrome	2022	Communication Biology	10.1038/s42003-022-03231-0
TWASP000190	35241742	Gene-based association tests using GWAS summary statistics and incorporating eQTL	2022	Science Reports	10.1038/s41598-022-07465-0
TWASP000191	35175464	Transcriptome-wide association study of coronary artery disease identifies novel susceptibility genes	2022	Basic Research in Cardiology	10.1007/s00395-022-00917-8
TWASP000192	35145551	Machine learning revealed ferroptosis features and a novel ferroptosis-based classification for diagnosis in acute myocardial infarction	2022	Frontiers in Genetics	10.3389/fgene.2022.813438
TWASP000193	35138379	Transcriptome-wide association study in UK biobank Europeans identifies associations with blood cell traits	2022	Human Molecular Genetics	10.1093/hmg/ddac011
TWASP000194	35058554	Cross-tissue transcriptome-wide association studies identify susceptibility genes shared between schizophrenia and inflammatory bowel disease	2022	Communication Biology	10.1038/s42003-022-03031-6
TWASP000195	35043938	Accounting for nonlinear effects of gene expression identifies additional associated genes in transcriptome-wide association studies	2022	Human Molecular Genetics	10.1093/hmg/ddac015
TWASP000196	35038056	Identifying candidate genes associated with sporadic amyotrophic lateral sclerosis via integrative analysis of transcriptome-wide association study and messenger RNA expression profile	2022	Cell Molecular Neurobiology	10.1007/s10571-021-01186-0
TWASP000197	34962261	Transcriptome-wide association study identifies multiple genes and pathways associated with thyroid function	2021	Human Molecular Genetics	10.1093/hmg/ddab371
TWASP000198	34942230	A novel cis-regulatory variant modulating TIE1 expression associated with attention deficit hyperactivity disorder in Han Chinese children	2022	Journal of Affective Disorders	10.1016/j.jad.2021.12.066
TWASP000199	34779012	A large-scale transcriptome-wide association study (TWAS) of 10 blood cell phenotypes reveals complexities of TWAS fine-mapping	2021	Genetic Epidemiology	10.1002/gepi.22436
TWASP000200	34387340	A transcriptome-wide association study identifies novel blood-based gene biomarker candidates for Alzheimer's disease risk	2022	Human Molecular Genetics	10.1093/hmg/ddab229
