gene_symbol	xenium_gene	disorders	tested_tf	xpr_vVMH	xpr_vVMH_M	xpr_vVMH_F	xpr_vARC	xpr_vARC_M	xpr_vARC_F	vARC_sexDE_fdrsig	vVMH_sexDE_fdrsig	vARC_sexDE_nomsig	vVMH_sexDE_nomsig	xARC_sexDE_FDRpt1clusts	xVMH_sexDE_FDRpt1clusts
HTR1F	No	BMI, SCZ	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CGGBP1	No	BMI, MDD	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ZNF654	No	BMI	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
C3orf38	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CSNKA2IP	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
EPHA3	No	BMI	NO	NO	NO	NO	NO	NO	YES	NO	NO	YES	NO	NO	NO
AC109129.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PROS1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
ARL13B	No	BMI, NDD	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
STX19	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DHFR2	No	BMI	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NSUN3	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MTRNR2L12	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC109782.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
EPHA6	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC110491.1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ARL6	No	NDD, BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC110491.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CRYBG3	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
AC110491.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RIOX2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC026100.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GABRR3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
OR5H14	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CLDND1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC021660.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC021660.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CPOX	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ST3GAL6-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ST3GAL6	No	BMI	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DCBLD2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC00973	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC107029.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
COL8A1	No		NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
AC069222.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CMSS1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FILIP1L	No		NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
AC129803.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TBC1D23	No	BMI, ASD, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NIT2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TOMM70	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LNP1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TMEM45A	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
TFG	No	BMI, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ABI3BP	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
IMPG2	No	MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SENP7	No	BMI, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TRMT10C	No	MDD, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PCNP	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ZBTB11	No	NDD	YES	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
ZBTB11-AS1	No	MDD	NO	NO	NO	NO	NO	YES	YES	NO	NO	NO	NO	NO	NO
RPL24	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
AC084198.2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CEP97	No	ADHD, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NXPE3	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NFKBIZ	No	BMI	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
AC106712.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZPLD1	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC063938.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ALCAM	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CBLB	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC131237.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC079382.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC00882	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC117435.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DUBR	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AC063944.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC063944.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01990	No		NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
BBX	No	BMI, ADHD, SCZ	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC00636	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC00635	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC012020.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CD47	No	BMI, BIP	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC01215	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
IFT57	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
HHLA2	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MYH15	No	BMI, MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CIP2A	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DZIP3	No	BMI, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
TRAT1	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GUCA1C	No	MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MORC1	No	MDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
C3orf85	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC063923.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC00488	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DPPA2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
DPPA4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01205	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NECTIN3-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NECTIN3	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CD96	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PLCXD2	No		NO	YES	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
PHLDB2	Yes	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	Peripheral_immune_NK-or_Tcell, Tanycyte_2	VMH_CRHR2
ABHD10	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TAGLN3	No	AUD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
TMPRSS7	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
C3orf52	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GCSAM	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TBILA	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SLC9C1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC112487.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CD200	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
BTLA	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ATG3	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SLC35A5	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CCDC80	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC02042	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CD200R1L	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CD200R1	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC074044.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GTPBP8	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NEPRO	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC078785.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC02044	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
BOC	No		NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC026329.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CFAP44	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SPICE1	No	BMI	NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
SIDT1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SIDT1-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
USF3	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NAA50	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC108693.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ATP6V1A	No	BMI, NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
GRAMD1C	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC128687.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZDHHC23	Yes		NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	Tanycyte_2	NO
CCDC191	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC128687.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC092896.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
QTRT2	No		NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DRD3	No	ASD, AUD, SCZ, TS	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC093010.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZNF80	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TIGIT	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZBTB20	No	ADHD, ASD, NDD	YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ZBTB20-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZBTB20-AS2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZBTB20-AS3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ZBTB20-AS4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC026341.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC026341.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC026341.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GAP43	No	MDD, AUD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC092468.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LSAMP	No	SCZ, MDD, OCD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LSAMP-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC092691.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC02024	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC092691.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC068633.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
IGSF11	No	OCD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
UPK1B	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
B4GALT4	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ARHGAP31	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ARHGAP31-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TMEM39A	No	BMI	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
POGLUT1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC073352.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TIMMDC1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CD80	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC073352.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ADPRH	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PLA1A	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
POPDC2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
COX17	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC023494.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MAATS1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
NR1I2	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GSK3B	No	BMI, MDD, AD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC092910.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GPR156	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LRRC58	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FSTL1	No	MDD, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC126182.3	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
NDUFB4	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
HGD	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
RABL3	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
GTF2E1	No		NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC072026.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
STXBP5L	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
POLQ	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ARGFX	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
FBXO40	No	ASD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
HCLS1	No	BMI	NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
GOLGB1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
IQCB1	No	SCZ, BMI, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
EAF2	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
SLC15A2	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ILDR1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CD86	Yes		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CASR	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CSTA	No	ADHD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CCDC58	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
FAM162A	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
WDR5B	No	BMI, MDD	NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
AC083798.2	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
KPNA1	No	BMI, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC096861.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PARP9	No	BMI	NO	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
DTX3L	No		NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PARP15	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PARP14	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
HSPBAP1	No	BMI	NO	NO	NO	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SLC49A4	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
LINC02035	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SEMA5B	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PDIA5	No		NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
SEC22A	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC112503.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ADCY5	No	ASD, MDD, AUD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC112503.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
HACD2	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MYLK-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
MYLK	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MYLK-AS2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC020634.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CCDC14	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ROPN1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
KALRN	No	BMI, MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	YES	NO	NO
UMPS	No	NDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ITGB5	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MUC13	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
HEG1	No	BMI	NO	NO	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
SLC12A8	No		NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
ZNF148	No		YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
SNX4	No	BMI, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
OSBPL11	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC092902.4	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC092902.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC092902.6	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC02614	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC092903.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ALG1L	No		NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO
ROPN1B	No	ADHD, BMI	NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
SLC41A3	No	MDD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC079848.1	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
ALDH1L1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ALDH1L1-AS1	No	ADHD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
ALDH1L1-AS2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC079848.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC016924.1	No		NO	NO	YES	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
AC063919.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC063919.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
KLF15	No		YES	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
CCDC37-DT	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CFAP100	No		NO	NO	NO	NO	NO	NO	YES	NO	NO	NO	NO	NO	NO
ZXDC	No	BMI, AD	YES	NO	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
UROC1	No	NDD	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
CHST13	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
C3orf22	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC024558.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TXNRD3	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
CHCHD6	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
PLXNA1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AC112482.2	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC133681.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
PRR20G	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC02016	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
LINC01471	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
TPRA1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MCM2	No		NO	NO	NO	YES	NO	YES	YES	NO	NO	NO	NO	NO	NO
AC023593.1	No		NO	NO	NO	YES	NO	NO	NO	NO	NO	NO	NO	NO	NO
PODXL2	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
ABTB1	No	BMI	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
MGLL	No	BMI, SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	YES	NO	NO	NO
AC117480.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
KBTBD12	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
SEC61A1	No	ADHD	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
RUVBL1	No		NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
RUVBL1-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
EEFSEC	No	SCZ	NO	YES	YES	YES	YES	YES	YES	NO	NO	NO	NO	NO	NO
AL449214.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GATA2	No	BMI	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
GATA2-AS1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
AC080005.1	No		NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO	NO
