gene	cluster_set	cluster
GRIA1	hvg10_SNNk5	19
CMAS	hvg10_SNNk5	19
TUBA4A	hvg10_SNNk5	19
PTPRM	hvg10_SNNk5	19
BMPR2	hvg10_SNNk5	19
MBOAT7	hvg10_SNNk5	19
FAM241B	hvg10_SNNk5	19
ISCU	hvg10_SNNk5	19
COPS4	hvg10_SNNk5	19
APMAP	hvg10_SNNk5	19
CRIP2	hvg10_SNNk5	19
TMEM14A	hvg10_SNNk5	19
LY6E	hvg10_SNNk5	19
SEZ6L2	hvg10_SNNk5	19
P4HTM	hvg10_SNNk5	19
CFAP36	hvg10_SNNk5	19
STARD3NL	hvg10_SNNk5	19
HSD11B1L	hvg10_SNNk5	19
PFKM	hvg10_SNNk5	19
CRELD1	hvg10_SNNk5	19
MAGEH1	hvg10_SNNk5	19
CCT8	hvg10_SNNk5	19
PODXL2	hvg10_SNNk5	19
ATP6V1B2	hvg10_SNNk5	19
ZER1	hvg10_SNNk5	19
CHN1	hvg10_SNNk5	19
PRKACA	hvg10_SNNk5	19
C12orf10	hvg10_SNNk5	19
HPCAL1	hvg10_SNNk5	19
ENTPD6	hvg10_SNNk5	19
FDX2	hvg10_SNNk5	19
NPTN	hvg10_SNNk5	19
MAP6	hvg10_SNNk5	19
UBE2B	hvg10_SNNk5	19
C20orf27	hvg10_SNNk5	19
SUMO3	hvg10_SNNk5	19
HRAS	hvg10_SNNk5	19
SMARCD3	hvg10_SNNk5	19
PCYOX1	hvg10_SNNk5	19
EDN3	hvg10_SNNk5	20
TAGLN	hvg10_SNNk5	21
CBLN2	hvg10_SNNk5	22
POMC	hvg10_SNNk5	23
PDYN	hvg10_SNNk5	24
CFAP73	hvg10_SNNk5	25
AL357093.2	hvg10_SNNk5	26
RAX	hvg10_SNNk5	27
MEPE	hvg10_SNNk5	28
APLNR	hvg10_SNNk5	29
CFAP73	hvg10_SNNk5	30
CAPS	hvg10_SNNk5	31
TH	hvg10_SNNk5	32
TH	hvg10_SNNk5	33
SV2C	hvg10_SNNk5	34
CRHBP	hvg10_SNNk5	34
LAMP5	hvg10_SNNk5	35
GSX1	hvg10_SNNk5	36
TDRD9	hvg10_SNNk5	36
GABRE	hvg10_SNNk5	37
NMU	hvg10_SNNk5	38
MIR4435-2HG	hvg10_SNNk5	39
DUSP5	hvg10_SNNk5	39
LHX8	hvg10_SNNk5	40
WIF1	hvg20_SNNk5	1
CRYM	hvg20_SNNk5	1
DAPL1	hvg20_SNNk5	2
OTP	hvg20_SNNk5	2
PCSK1	hvg20_SNNk5	2
SCGN	hvg20_SNNk5	2
SIM1	hvg20_SNNk5	2
PLPP4	hvg20_SNNk5	2
TH	hvg20_SNNk5	2
GAL	hvg20_SNNk5	2
CBLN4	hvg20_SNNk5	2
NRG1	hvg20_SNNk5	2
SYT7	hvg20_SNNk5	2
CAPRIN2	hvg20_SNNk5	2
ERMN	hvg20_SNNk5	3
AGRP	hvg20_SNNk5	4
SCGN	hvg20_SNNk5	5
RAB3B	hvg20_SNNk5	6
VSNL1	hvg20_SNNk5	6
GAD1	hvg20_SNNk5	6
DLX1	hvg20_SNNk5	6
GLRB	hvg20_SNNk5	6
GABRA1	hvg20_SNNk5	6
GABRG2	hvg20_SNNk5	6
SNCB	hvg20_SNNk5	6
GAD2	hvg20_SNNk5	6
SLC17A6	hvg20_SNNk5	6
NGB	hvg20_SNNk5	6
SLC32A1	hvg20_SNNk5	6
TMEM35A	hvg20_SNNk5	6
ARHGAP36	hvg20_SNNk5	6
ELAVL2	hvg20_SNNk5	6
CLSTN3	hvg20_SNNk5	6
CHGA	hvg20_SNNk5	6
CDK5R1	hvg20_SNNk5	6
SLC26A11	hvg20_SNNk5	6
CELF4	hvg20_SNNk5	6
VSTM2L	hvg20_SNNk5	6
PNMA3	hvg20_SNNk5	6
SCN2A	hvg20_SNNk5	6
CNR1	hvg20_SNNk5	6
GOT1	hvg20_SNNk5	6
INA	hvg20_SNNk5	6
CELF5	hvg20_SNNk5	6
SLC12A5	hvg20_SNNk5	6
PNCK	hvg20_SNNk5	6
QPCT	hvg20_SNNk5	6
VSTM2A	hvg20_SNNk5	6
CALB2	hvg20_SNNk5	6
SEZ6L	hvg20_SNNk5	6
NAP1L2	hvg20_SNNk5	6
L1CAM	hvg20_SNNk5	6
DIRAS3	hvg20_SNNk5	6
PTPRN	hvg20_SNNk5	6
GUCY1B1	hvg20_SNNk5	6
AMPH	hvg20_SNNk5	6
TUSC3	hvg20_SNNk5	6
SYT13	hvg20_SNNk5	6
NECAP1	hvg20_SNNk5	6
TUBA4A	hvg20_SNNk5	6
SNAP91	hvg20_SNNk5	6
DNM1	hvg20_SNNk5	6
GRIN1	hvg20_SNNk5	6
SLIT1	hvg20_SNNk5	6
GNG2	hvg20_SNNk5	6
MAGEE1	hvg20_SNNk5	6
ELAVL4	hvg20_SNNk5	6
LONRF2	hvg20_SNNk5	6
SCN3A	hvg20_SNNk5	6
SYN2	hvg20_SNNk5	6
UBE2QL1	hvg20_SNNk5	6
TSPAN13	hvg20_SNNk5	6
ATCAY	hvg20_SNNk5	6
PTPN5	hvg20_SNNk5	6
NNAT	hvg20_SNNk5	6
MYT1L	hvg20_SNNk5	6
SYN1	hvg20_SNNk5	6
NUDT11	hvg20_SNNk5	6
SLC8A1	hvg20_SNNk5	6
TSPYL4	hvg20_SNNk5	6
ACHE	hvg20_SNNk5	6
SYNGR3	hvg20_SNNk5	6
PNMA8B	hvg20_SNNk5	6
CHGB	hvg20_SNNk5	6
SLC4A10	hvg20_SNNk5	6
RAB3C	hvg20_SNNk5	6
PRKAR1B	hvg20_SNNk5	6
GALNT16	hvg20_SNNk5	6
SULT4A1	hvg20_SNNk5	6
PIANP	hvg20_SNNk5	6
MAP7D2	hvg20_SNNk5	6
GPRASP2	hvg20_SNNk5	6
RALYL	hvg20_SNNk5	6
RAB3A	hvg20_SNNk5	6
PHYHIP	hvg20_SNNk5	6
CALB1	hvg20_SNNk5	6
CD200	hvg20_SNNk5	6
HPRT1	hvg20_SNNk5	6
HPCAL1	hvg20_SNNk5	6
HSPA4L	hvg20_SNNk5	6
ELMOD1	hvg20_SNNk5	6
SV2A	hvg20_SNNk5	6
NSG1	hvg20_SNNk5	6
CAMKV	hvg20_SNNk5	6
CAMK2N2	hvg20_SNNk5	6
MEG3	hvg20_SNNk5	6
NAP1L3	hvg20_SNNk5	6
NAPB	hvg20_SNNk5	6
NSG2	hvg20_SNNk5	6
GABBR2	hvg20_SNNk5	6
CSRNP3	hvg20_SNNk5	6
PACSIN1	hvg20_SNNk5	6
PCSK2	hvg20_SNNk5	6
GPRASP1	hvg20_SNNk5	6
TTC9B	hvg20_SNNk5	6
NRXN1	hvg20_SNNk5	6
TSPYL2	hvg20_SNNk5	6
PAK3	hvg20_SNNk5	6
SPINT2	hvg20_SNNk5	6
LPCAT4	hvg20_SNNk5	6
NCDN	hvg20_SNNk5	6
SCN3B	hvg20_SNNk5	6
BEX5	hvg20_SNNk5	6
SYBU	hvg20_SNNk5	6
ST8SIA3	hvg20_SNNk5	6
NMNAT2	hvg20_SNNk5	6
MAP2K1	hvg20_SNNk5	6
PNMA8A	hvg20_SNNk5	6
SYP	hvg20_SNNk5	6
KIF5A	hvg20_SNNk5	6
RFK	hvg20_SNNk5	6
GNG3	hvg20_SNNk5	6
OLFM1	hvg20_SNNk5	6
C11orf88	hvg20_SNNk5	7
VSNL1	hvg20_SNNk5	8
SST	hvg20_SNNk5	8
NPY	hvg20_SNNk5	8
TMEM130	hvg20_SNNk5	8
GAL	hvg20_SNNk5	8
TBX3	hvg20_SNNk5	8
CHGA	hvg20_SNNk5	8
GHRH	hvg20_SNNk5	8
GLRA2	hvg20_SNNk5	8
TMEM35A	hvg20_SNNk5	8
GABRE	hvg20_SNNk5	8
GABRQ	hvg20_SNNk5	8
POMC	hvg20_SNNk5	8
CADPS	hvg20_SNNk5	8
GABRG2	hvg20_SNNk5	8
WIF1	hvg20_SNNk5	8
CELF4	hvg20_SNNk5	8
SYT4	hvg20_SNNk5	8
ARHGAP36	hvg20_SNNk5	8
DIRAS3	hvg20_SNNk5	8
NRSN1	hvg20_SNNk5	8
RBP4	hvg20_SNNk5	8
CLSTN3	hvg20_SNNk5	8
DLK1	hvg20_SNNk5	8
AGRP	hvg20_SNNk5	8
CELF5	hvg20_SNNk5	8
MIR7-3HG	hvg20_SNNk5	8
GAD1	hvg20_SNNk5	8
RAB3C	hvg20_SNNk5	8
GPX3	hvg20_SNNk5	8
TSPAN13	hvg20_SNNk5	8
AMPH	hvg20_SNNk5	8
GAD2	hvg20_SNNk5	8
CHGB	hvg20_SNNk5	8
RADX	hvg20_SNNk5	8
PCDH7	hvg20_SNNk5	8
ISL1	hvg20_SNNk5	8
SHISAL2B	hvg20_SNNk5	8
FNDC9	hvg20_SNNk5	8
PIANP	hvg20_SNNk5	8
NGB	hvg20_SNNk5	8
MT1G	hvg20_SNNk5	8
SLC26A11	hvg20_SNNk5	8
SEZ6L	hvg20_SNNk5	8
L1CAM	hvg20_SNNk5	8
SCN2A	hvg20_SNNk5	8
PTPRN	hvg20_SNNk5	8
TMOD1	hvg20_SNNk5	8
INA	hvg20_SNNk5	8
SSTR1	hvg20_SNNk5	8
SLC32A1	hvg20_SNNk5	8
OTP	hvg20_SNNk5	8
TAC1	hvg20_SNNk5	8
NPTX2	hvg20_SNNk5	8
NECAP1	hvg20_SNNk5	8
CDK5R1	hvg20_SNNk5	8
CDKN2D	hvg20_SNNk5	8
FXYD7	hvg20_SNNk5	8
IGSF1	hvg20_SNNk5	8
ECEL1	hvg20_SNNk5	8
PCSK1	hvg20_SNNk5	8
ELAVL2	hvg20_SNNk5	8
FRRS1L	hvg20_SNNk5	8
TDRD9	hvg20_SNNk5	8
QPCT	hvg20_SNNk5	8
GRIA2	hvg20_SNNk5	8
FAM155A	hvg20_SNNk5	8
AL035425.3	hvg20_SNNk5	8
PNMA6F	hvg20_SNNk5	8
SCN3A	hvg20_SNNk5	8
TMEM271	hvg20_SNNk5	8
MDK	hvg20_SNNk5	8
FGF14	hvg20_SNNk5	8
CITED1	hvg20_SNNk5	8
TCEAL1	hvg20_SNNk5	8
SLC7A14	hvg20_SNNk5	8
NSG2	hvg20_SNNk5	8
CALB2	hvg20_SNNk5	8
MEIS3	hvg20_SNNk5	8
TOX2	hvg20_SNNk5	8
GRIK1	hvg20_SNNk5	8
SUMO3	hvg20_SNNk5	8
KIAA1324	hvg20_SNNk5	8
GOT1	hvg20_SNNk5	8
SLC2A3	hvg20_SNNk5	8
MAGEL2	hvg20_SNNk5	8
USP27X	hvg20_SNNk5	8
ELAVL4	hvg20_SNNk5	8
GSTA4	hvg20_SNNk5	8
SLC12A5	hvg20_SNNk5	8
PTGER3	hvg20_SNNk5	8
TUBA4A	hvg20_SNNk5	8
TAGLN3	hvg20_SNNk5	8
FBLL1	hvg20_SNNk5	8
SNAP91	hvg20_SNNk5	8
SLC6A15	hvg20_SNNk5	8
SVOP	hvg20_SNNk5	8
NNAT	hvg20_SNNk5	8
SCN9A	hvg20_SNNk5	8
NPY1R	hvg20_SNNk5	8
ACHE	hvg20_SNNk5	8
SNCG	hvg20_SNNk5	8
ATCAY	hvg20_SNNk5	8
NLGN4X	hvg20_SNNk5	8
PWWP3B	hvg20_SNNk5	8
SMARCA1	hvg20_SNNk5	8
SLC4A10	hvg20_SNNk5	8
GRIN1	hvg20_SNNk5	8
INPP5F	hvg20_SNNk5	8
PLXNC1	hvg20_SNNk5	8
EFNB3	hvg20_SNNk5	8
TSTD1	hvg20_SNNk5	8
RGS4	hvg20_SNNk5	8
LBH	hvg20_SNNk5	8
GNG2	hvg20_SNNk5	8
CELF6	hvg20_SNNk5	8
LONRF2	hvg20_SNNk5	8
AC107398.3	hvg20_SNNk5	8
PARM1	hvg20_SNNk5	8
ENC1	hvg20_SNNk5	8
DNAJA4	hvg20_SNNk5	8
NEFH	hvg20_SNNk5	8
UBE2QL1	hvg20_SNNk5	8
MLLT11	hvg20_SNNk5	8
KIF3C	hvg20_SNNk5	8
CARTPT	hvg20_SNNk5	8
PRKAR1B	hvg20_SNNk5	8
VGF	hvg20_SNNk5	8
ETNK1	hvg20_SNNk5	8
SYNGR3	hvg20_SNNk5	8
C22orf42	hvg20_SNNk5	8
FGF13	hvg20_SNNk5	8
KLHDC8B	hvg20_SNNk5	8
FAM174A	hvg20_SNNk5	8
SYT1	hvg20_SNNk5	8
HSPH1	hvg20_SNNk5	8
SGSM2	hvg20_SNNk5	8
SYT5	hvg20_SNNk5	8
MIAT	hvg20_SNNk5	8
SULT4A1	hvg20_SNNk5	8
PNMA3	hvg20_SNNk5	8
GNG4	hvg20_SNNk5	8
SYN2	hvg20_SNNk5	8
NSG1	hvg20_SNNk5	8
UNC5D	hvg20_SNNk5	8
TSPYL5	hvg20_SNNk5	8
VWA5A	hvg20_SNNk5	8
CTXN1	hvg20_SNNk5	8
TTC9B	hvg20_SNNk5	8
PNMA8C	hvg20_SNNk5	8
SGSM1	hvg20_SNNk5	8
GPRASP2	hvg20_SNNk5	8
EPCAM	hvg20_SNNk5	8
HSPA4L	hvg20_SNNk5	8
SV2C	hvg20_SNNk5	8
EPDR1	hvg20_SNNk5	8
PDCD4	hvg20_SNNk5	8
NAPB	hvg20_SNNk5	8
MAGEE1	hvg20_SNNk5	8
ZCCHC12	hvg20_SNNk5	8
TMEM246	hvg20_SNNk5	8
PCBD1	hvg20_SNNk5	8
CNIH2	hvg20_SNNk5	8
CADM1	hvg20_SNNk5	8
JPH4	hvg20_SNNk5	8
MEG3	hvg20_SNNk5	8
GABRG3	hvg20_SNNk5	8
CRMP1	hvg20_SNNk5	8
VAT1	hvg20_SNNk5	8
JPT1	hvg20_SNNk5	8
TMEM17	hvg20_SNNk5	8
PTPN5	hvg20_SNNk5	8
SYN1	hvg20_SNNk5	8
NRXN1	hvg20_SNNk5	8
CD200	hvg20_SNNk5	8
RALYL	hvg20_SNNk5	8
CSRNP3	hvg20_SNNk5	8
FABP6	hvg20_SNNk5	8
AKAP12	hvg20_SNNk5	8
RTP5	hvg20_SNNk5	8
SDC2	hvg20_SNNk5	8
GRIA4	hvg20_SNNk5	8
RASD1	hvg20_SNNk5	8
NSF	hvg20_SNNk5	8
SPINT2	hvg20_SNNk5	8
HPRT1	hvg20_SNNk5	8
CCDC28A	hvg20_SNNk5	8
TUSC3	hvg20_SNNk5	8
NUDT11	hvg20_SNNk5	8
NAP1L2	hvg20_SNNk5	8
HTATSF1	hvg20_SNNk5	8
FNDC10	hvg20_SNNk5	8
CMIP	hvg20_SNNk5	8
ECE2	hvg20_SNNk5	8
CXXC4	hvg20_SNNk5	8
SYT13	hvg20_SNNk5	8
JPH3	hvg20_SNNk5	8
LINC00672	hvg20_SNNk5	8
KCTD10	hvg20_SNNk5	8
TRO	hvg20_SNNk5	8
NAP1L3	hvg20_SNNk5	8
SEPTIN6	hvg20_SNNk5	8
AUXG01000058.1	hvg20_SNNk5	8
PHYHIP	hvg20_SNNk5	8
SHC2	hvg20_SNNk5	8
UBE2E2	hvg20_SNNk5	8
PEG10	hvg20_SNNk5	8
DNM1	hvg20_SNNk5	8
SMIM10L2B	hvg20_SNNk5	8
TMTC1	hvg20_SNNk5	8
CYB561	hvg20_SNNk5	8
TSPYL2	hvg20_SNNk5	8
PNCK	hvg20_SNNk5	8
C1QTNF4	hvg20_SNNk5	8
MYCBP2	hvg20_SNNk5	8
TM2D3	hvg20_SNNk5	8
RAB3A	hvg20_SNNk5	8
TCEAL6	hvg20_SNNk5	8
CAMK2N2	hvg20_SNNk5	8
TMEM158	hvg20_SNNk5	8
ADGRB3	hvg20_SNNk5	8
DNAJC5	hvg20_SNNk5	8
BEX5	hvg20_SNNk5	8
PAK3	hvg20_SNNk5	8
MAP7D2	hvg20_SNNk5	8
REEP1	hvg20_SNNk5	8
C2orf80	hvg20_SNNk5	8
MAEA	hvg20_SNNk5	8
CACNB2	hvg20_SNNk5	8
ELMOD1	hvg20_SNNk5	8
NELL2	hvg20_SNNk5	8
GPRASP1	hvg20_SNNk5	8
LRRN2	hvg20_SNNk5	8
TBC1D9	hvg20_SNNk5	8
TSPYL4	hvg20_SNNk5	8
RPAIN	hvg20_SNNk5	8
RGS2	hvg20_SNNk5	8
KIF9	hvg20_SNNk5	8
SSBP4	hvg20_SNNk5	8
HTR2C	hvg20_SNNk5	8
OCIAD2	hvg20_SNNk5	8
PACSIN1	hvg20_SNNk5	8
GALNT16	hvg20_SNNk5	8
TMED3	hvg20_SNNk5	8
NECAB2	hvg20_SNNk5	8
NDN	hvg20_SNNk5	8
ATP6V1A	hvg20_SNNk5	8
PGAP1	hvg20_SNNk5	8
PTS	hvg20_SNNk5	8
SUSD4	hvg20_SNNk5	8
TCAF1	hvg20_SNNk5	8
ACOT7	hvg20_SNNk5	8
PRRT1	hvg20_SNNk5	8
AHI1	hvg20_SNNk5	8
SCN3B	hvg20_SNNk5	8
RBFOX2	hvg20_SNNk5	8
IFI6	hvg20_SNNk5	8
CELF3	hvg20_SNNk5	8
GABRB3	hvg20_SNNk5	8
PCSK2	hvg20_SNNk5	8
ATP6V0E1	hvg20_SNNk5	8
NAP1L5	hvg20_SNNk5	8
ARHGDIG	hvg20_SNNk5	8
NLRP1	hvg20_SNNk5	8
EPM2AIP1	hvg20_SNNk5	8
VAT1L	hvg20_SNNk5	8
SV2A	hvg20_SNNk5	8
UBE2S	hvg20_SNNk5	8
GDAP1	hvg20_SNNk5	8
PFKP	hvg20_SNNk5	8
LPCAT4	hvg20_SNNk5	8
NCS1	hvg20_SNNk5	8
PLPPR2	hvg20_SNNk5	8
SNRPF	hvg20_SNNk5	8
SLC6A17	hvg20_SNNk5	8
ANXA6	hvg20_SNNk5	8
CAMKV	hvg20_SNNk5	8
B3GALNT1	hvg20_SNNk5	8
CRIP2	hvg20_SNNk5	8
RIT2	hvg20_SNNk5	8
APMAP	hvg20_SNNk5	8
NBDY	hvg20_SNNk5	8
BLOC1S6	hvg20_SNNk5	8
BAIAP3	hvg20_SNNk5	8
MAST1	hvg20_SNNk5	8
MX1	hvg20_SNNk5	8
FBXL16	hvg20_SNNk5	8
SEZ6L2	hvg20_SNNk5	8
MRPL57	hvg20_SNNk5	8
MAP6	hvg20_SNNk5	8
CMAS	hvg20_SNNk5	8
CISD1	hvg20_SNNk5	8
DBN1	hvg20_SNNk5	8
PNMA8A	hvg20_SNNk5	8
SYNJ1	hvg20_SNNk5	8
RAP1GAP	hvg20_SNNk5	8
ST8SIA3	hvg20_SNNk5	8
NCDN	hvg20_SNNk5	8
GABBR2	hvg20_SNNk5	8
RPA3	hvg20_SNNk5	8
RUNDC3A	hvg20_SNNk5	8
ATP13A2	hvg20_SNNk5	8
DUSP26	hvg20_SNNk5	8
DMXL2	hvg20_SNNk5	8
TRAPPC4	hvg20_SNNk5	8
TMEM179	hvg20_SNNk5	8
PNMA8B	hvg20_SNNk5	8
KIFAP3	hvg20_SNNk5	8
STRAP	hvg20_SNNk5	8
BMERB1	hvg20_SNNk5	8
LIN7B	hvg20_SNNk5	8
USP11	hvg20_SNNk5	8
CASD1	hvg20_SNNk5	8
NOP56	hvg20_SNNk5	8
MEAF6	hvg20_SNNk5	8
FNDC3A	hvg20_SNNk5	8
STAT1	hvg20_SNNk5	8
MAPK9	hvg20_SNNk5	8
GABARAPL1	hvg20_SNNk5	8
STXBP1	hvg20_SNNk5	8
NPTXR	hvg20_SNNk5	8
NMNAT2	hvg20_SNNk5	8
GPR162	hvg20_SNNk5	8
P4HTM	hvg20_SNNk5	8
AC093323.1	hvg20_SNNk5	8
EEF1A2	hvg20_SNNk5	8
SYBU	hvg20_SNNk5	8
ATP8A2	hvg20_SNNk5	8
MAP2K4	hvg20_SNNk5	8
PDXP	hvg20_SNNk5	8
GLRB	hvg20_SNNk5	8
KIF5A	hvg20_SNNk5	8
SYP	hvg20_SNNk5	8
SMIM29	hvg20_SNNk5	8
ATP6V1B2	hvg20_SNNk5	8
DPCD	hvg20_SNNk5	8
RFK	hvg20_SNNk5	8
THY1	hvg20_SNNk5	8
ARHGEF9	hvg20_SNNk5	8
HSD11B1L	hvg20_SNNk5	8
MAGEH1	hvg20_SNNk5	8
CACNA1B	hvg20_SNNk5	8
MOAP1	hvg20_SNNk5	8
RAB6B	hvg20_SNNk5	8
MBTPS1	hvg20_SNNk5	8
TMEM14A	hvg20_SNNk5	8
PSD	hvg20_SNNk5	8
LYSMD2	hvg20_SNNk5	8
SHISA5	hvg20_SNNk5	8
PTPRN2	hvg20_SNNk5	8
FAM241B	hvg20_SNNk5	8
GLOD4	hvg20_SNNk5	8
MAPRE3	hvg20_SNNk5	8
SLC1A4	hvg20_SNNk5	8
PCYOX1	hvg20_SNNk5	8
DGUOK	hvg20_SNNk5	8
REEP2	hvg20_SNNk5	8
MANEAL	hvg20_SNNk5	8
TMEM248	hvg20_SNNk5	8
PGM2L1	hvg20_SNNk5	8
SCAMP5	hvg20_SNNk5	8
FAM131A	hvg20_SNNk5	8
DMTN	hvg20_SNNk5	8
ATP6V1H	hvg20_SNNk5	8
OGDHL	hvg20_SNNk5	8
CCNDBP1	hvg20_SNNk5	8
SEC23A	hvg20_SNNk5	8
PI4KA	hvg20_SNNk5	8
UBE2B	hvg20_SNNk5	8
ZER1	hvg20_SNNk5	8
TMED8	hvg20_SNNk5	8
PNMA6A	hvg20_SNNk5	8
CRELD1	hvg20_SNNk5	8
CDIPT	hvg20_SNNk5	8
MEA1	hvg20_SNNk5	8
RANGAP1	hvg20_SNNk5	8
MAPK8IP2	hvg20_SNNk5	8
ABAT	hvg20_SNNk5	8
MBOAT7	hvg20_SNNk5	8
SLC9A6	hvg20_SNNk5	8
PLPPR4	hvg20_SNNk5	8
COPS4	hvg20_SNNk5	8
ZNF25	hvg20_SNNk5	8
KBTBD6	hvg20_SNNk5	8
CNRIP1	hvg20_SNNk5	8
AMPD2	hvg20_SNNk5	8
OBSL1	hvg20_SNNk5	8
ZSCAN18	hvg20_SNNk5	8
TCEAL2	hvg20_SNNk5	8
GNG3	hvg20_SNNk5	8
CFAP36	hvg20_SNNk5	8
PODXL2	hvg20_SNNk5	8
LY6E	hvg20_SNNk5	8
FKBP4	hvg20_SNNk5	8
MAGEF1	hvg20_SNNk5	8
HYOU1	hvg20_SNNk5	8
MAP2K1	hvg20_SNNk5	8
HPCAL1	hvg20_SNNk5	8
CCT5	hvg20_SNNk5	8
EEF1E1	hvg20_SNNk5	8
PAM	hvg20_SNNk5	8
CHN1	hvg20_SNNk5	8
STARD3NL	hvg20_SNNk5	8
BLCAP	hvg20_SNNk5	8
FDX2	hvg20_SNNk5	8
HSPA13	hvg20_SNNk5	8
ABHD14A	hvg20_SNNk5	8
NISCH	hvg20_SNNk5	8
MZT1	hvg20_SNNk5	8
GNB5	hvg20_SNNk5	8
GRIA1	hvg20_SNNk5	8
C11orf49	hvg20_SNNk5	8
TPRG1L	hvg20_SNNk5	8
MKRN1	hvg20_SNNk5	8
UBE2Q1	hvg20_SNNk5	8
ERLEC1	hvg20_SNNk5	8
MRPL34	hvg20_SNNk5	8
ATP1A3	hvg20_SNNk5	8
HK1	hvg20_SNNk5	8
OCRL	hvg20_SNNk5	8
C12orf10	hvg20_SNNk5	8
GAS6	hvg20_SNNk5	8
SUMO1	hvg20_SNNk5	8
NAT14	hvg20_SNNk5	8
CDS2	hvg20_SNNk5	8
PJA1	hvg20_SNNk5	8
H2AFZ	hvg20_SNNk5	8
ISCU	hvg20_SNNk5	8
HSDL1	hvg20_SNNk5	8
MMP24OS	hvg20_SNNk5	8
PTPRM	hvg20_SNNk5	8
TP53BP1	hvg20_SNNk5	8
PUM1	hvg20_SNNk5	8
BMPR2	hvg20_SNNk5	8
DCTN3	hvg20_SNNk5	8
PSMA1	hvg20_SNNk5	8
TMX4	hvg20_SNNk5	8
CCT8	hvg20_SNNk5	8
ITFG1	hvg20_SNNk5	8
C20orf27	hvg20_SNNk5	8
CLTB	hvg20_SNNk5	8
PFKM	hvg20_SNNk5	8
TAF9	hvg20_SNNk5	8
STIP1	hvg20_SNNk5	8
NPTN	hvg20_SNNk5	8
ATP6V1C1	hvg20_SNNk5	8
ENTPD6	hvg20_SNNk5	8
ARPC5L	hvg20_SNNk5	8
SELENOH	hvg20_SNNk5	8
PNMA2	hvg20_SNNk5	8
TTC19	hvg20_SNNk5	8
NME1	hvg20_SNNk5	8
CCT2	hvg20_SNNk5	8
PRKACA	hvg20_SNNk5	8
PAFAH1B3	hvg20_SNNk5	8
GABBR1	hvg20_SNNk5	8
HRAS	hvg20_SNNk5	8
TADA3	hvg20_SNNk5	8
MCFD2	hvg20_SNNk5	8
H1FX	hvg20_SNNk5	8
PTMS	hvg20_SNNk5	8
CCT3	hvg20_SNNk5	8
ZYG11B	hvg20_SNNk5	8
ORAI2	hvg20_SNNk5	8
LY6H	hvg20_SNNk5	8
SMARCD3	hvg20_SNNk5	8
DYNLT3	hvg20_SNNk5	8
NRSN2	hvg20_SNNk5	8
MDH2	hvg20_SNNk5	8
UBE2N	hvg20_SNNk5	8
COX7A2L	hvg20_SNNk5	8
STK25	hvg20_SNNk5	8
TMEM9	hvg20_SNNk5	8
PNMA1	hvg20_SNNk5	8
ATXN7L3B	hvg20_SNNk5	8
OLFM1	hvg20_SNNk5	8
AP2S1	hvg20_SNNk5	8
ERMN	hvg20_SNNk5	9
ACTA2	hvg20_SNNk5	10
VSNL1	hvg20_SNNk5	11
TMEM130	hvg20_SNNk5	11
GAD2	hvg20_SNNk5	11
CALB2	hvg20_SNNk5	11
NAP1L3	hvg20_SNNk5	11
INA	hvg20_SNNk5	11
NSG1	hvg20_SNNk5	11
SYT1	hvg20_SNNk5	11
NSG2	hvg20_SNNk5	11
SYNGR3	hvg20_SNNk5	11
DIRAS3	hvg20_SNNk5	11
DNM1	hvg20_SNNk5	11
FOXG1	hvg20_SNNk5	12
TBX3	hvg20_SNNk5	13
AGRP	hvg20_SNNk5	13
GLRA2	hvg20_SNNk5	13
GABRE	hvg20_SNNk5	13
APLNR	hvg20_SNNk5	14
WIF1	hvg20_SNNk5	15
ANKRD34B	hvg20_SNNk5	16
FEZF1	hvg20_SNNk5	16
SLC17A6	hvg20_SNNk5	16
NRGN	hvg20_SNNk5	16
GABRA5	hvg20_SNNk5	16
RBFOX1	hvg20_SNNk5	16
CDH13	hvg20_SNNk5	16
ADCYAP1	hvg20_SNNk5	16
PCDH19	hvg20_SNNk5	16
HS6ST2	hvg20_SNNk5	16
VSTM2A	hvg20_SNNk5	16
NPTX2	hvg20_SNNk5	16
HS3ST4	hvg20_SNNk5	16
FXYD7	hvg20_SNNk5	16
LAMP5	hvg20_SNNk5	16
RAB3B	hvg20_SNNk5	16
GABRG2	hvg20_SNNk5	16
NR2F2	hvg20_SNNk5	16
DOC2A	hvg20_SNNk5	16
TMEM163	hvg20_SNNk5	16
RASGRF2	hvg20_SNNk5	16
TENM2	hvg20_SNNk5	16
CD24	hvg20_SNNk5	16
PENK	hvg20_SNNk5	16
CELF4	hvg20_SNNk5	16
SEZ6L	hvg20_SNNk5	16
DGKK	hvg20_SNNk5	16
CAMKV	hvg20_SNNk5	16
CD83	hvg20_SNNk5	16
TAC1	hvg20_SNNk5	16
TMEM215	hvg20_SNNk5	16
GDA	hvg20_SNNk5	16
LBHD2	hvg20_SNNk5	16
CA10	hvg20_SNNk5	16
CELF5	hvg20_SNNk5	16
PCSK1	hvg20_SNNk5	16
SNCB	hvg20_SNNk5	16
CLSTN3	hvg20_SNNk5	16
CDK5R1	hvg20_SNNk5	16
TMEM35A	hvg20_SNNk5	16
CAMK1G	hvg20_SNNk5	16
SCN2A	hvg20_SNNk5	16
SYN2	hvg20_SNNk5	16
