gene_id	gene_name	V12D07-075_D1	V12D07-075_A1	V12Y31-080_A1	V12D05-348_D1	V12D05-350_D1	V13M13-362_D1	V12D05-348_C1	V12D05-350_C1	V13Y24-346_C1	nsigsamps	meanrank
ENSG00000113231	PDE8B					1051					1	1051
ENSG00000113240	CLK4				406						1	406
ENSG00000113269	RNF130					1017					1	1017
ENSG00000113296	THBS4	261							356		2	308.5
ENSG00000113319	RASGRF2				349	262			113		3	241.333333333333
ENSG00000113327	GABRG2		668			327	435	617			4	511.75
ENSG00000113360	DROSHA							269			1	269
ENSG00000113361	CDH6						835				1	835
ENSG00000113387	SUB1					406	910				2	658
ENSG00000113407	TARS	464									1	464
ENSG00000113494	PRLR					192	92				2	142
ENSG00000113532	ST8SIA4									289	1	289
ENSG00000113558	SKP1	92	362			297				41	4	198
ENSG00000113569	NUP155								211		1	211
ENSG00000113575	PPP2CA							539			1	539
ENSG00000113583	C5orf15	312									1	312
ENSG00000113593	PPWD1	198									1	198
ENSG00000113621	TXNDC15					683					1	683
ENSG00000113645	WWC1		234								1	234
ENSG00000113649	TCERG1		226								1	226
ENSG00000113658	SMAD5				1130				522		2	826
ENSG00000113732	ATP6V0E1				1172						1	1172
ENSG00000113734	BNIP1		390								1	390
ENSG00000113845	TIMMDC1			628							1	628
ENSG00000113851	CRBN					1084					1	1084
ENSG00000113966	ARL6					637					1	637
ENSG00000114062	UBE3A				493						1	493
ENSG00000114098	ARMC8				973						1	973
ENSG00000114115	RBP1						1048				1	1048
ENSG00000114120	SLC25A36	413									1	413
ENSG00000114125	RNF7				637				297		2	467
ENSG00000114166	KAT2B									160	1	160
ENSG00000114279	FGF12		518			1097					2	807.5
ENSG00000114302	PRKAR2A						967				1	967
ENSG00000114315	HES1					723					1	723
ENSG00000114354	TFG					965					1	965
ENSG00000114388	NPRL2						1058				1	1058
ENSG00000114391	RPL24		200	200		385		637			4	355.5
ENSG00000114503	NCBP2				919						1	919
ENSG00000114520	SNX4				748						1	748
ENSG00000114554	PLXNA1							509			1	509
ENSG00000114573	ATP6V1A								216		1	216
ENSG00000114631	PODXL2	191					398				2	294.5
ENSG00000114646	CSPG5					453	333				2	393
ENSG00000114648	KLHL18									342	1	342
ENSG00000114686	MRPL3						680				1	680
ENSG00000114757	PEX5L		609								1	609
ENSG00000114770	ABCC5							715			1	715
ENSG00000114784	EIF1B			689	314	1153					3	718.666666666667
ENSG00000114857	NKTR					1034					1	1034
ENSG00000114861	FOXP1					753					1	753
ENSG00000114902	SPCS1				417						1	417
ENSG00000114933	INO80D				1109						1	1109
ENSG00000114956	DGUOK			609							1	609
ENSG00000114982	KANSL3				928						1	928
ENSG00000115020	PIKFYVE								345		1	345
ENSG00000115053	NCL	398									1	398
ENSG00000115128	SF3B6				787						1	787
ENSG00000115129	TP53I3		650			956					2	803
ENSG00000115138	POMC	13	37	12	27	19	43	35	18	20	9	24.8888888888889
ENSG00000115234	SNX17						1088				1	1088
ENSG00000115241	PPM1G		545								1	545
ENSG00000115252	PDE1A		482		526				449		3	485.666666666667
ENSG00000115255	REEP6								502		1	502
ENSG00000115268	RPS15			646	167	251					3	354.666666666667
ENSG00000115310	RTN4			400		953	919				3	757.333333333333
ENSG00000115350	POLE4				489			735			2	612
ENSG00000115368	WDR75						1069				1	1069
ENSG00000115380	EFEMP1							403			1	403
ENSG00000115414	FN1					570					1	570
ENSG00000115415	STAT1			234	331		187				3	250.666666666667
ENSG00000115461	IGFBP5	57	35	38	109	34		26	65		7	52
ENSG00000115468	EFHD1				702						1	702
ENSG00000115486	GGCX		586								1	586
ENSG00000115504	EHBP1									326	1	326
ENSG00000115514	TXNDC9				1076						1	1076
ENSG00000115526	CHST10		464								1	464
ENSG00000115541	HSPE1		72	347		718	396	668			5	440.2
ENSG00000115568	ZNF142						814				1	814
ENSG00000115657	ABCB6				1044				466		2	755
ENSG00000115694	STK25						385				1	385
ENSG00000115750	TAF1B		459								1	459
ENSG00000115756	HPCAL1	45		66	283	222	234				5	170
ENSG00000115758	ODC1				761						1	761
ENSG00000115828	QPCT			65	221	178					3	154.666666666667
ENSG00000115875	SRSF7	168				684					2	426
ENSG00000115902	SLC1A4	125					668			131	3	308
ENSG00000115942	ORC2					674					1	674
ENSG00000115944	COX7A2L				1119		347				2	733
ENSG00000115963	RND3		542								1	542
ENSG00000115977	AAK1					1075					1	1075
ENSG00000115998	C2orf42					1024					1	1024
ENSG00000116001	TIA1						992				1	992
ENSG00000116005	PCYOX1	150	720		1049		537				4	614
ENSG00000116014	KISS1R				1188			46	111	294	4	409.75
ENSG00000116044	NFE2L2				715						1	715
ENSG00000116133	DHCR24					1052	296				2	674
ENSG00000116147	TNR				210						1	210
ENSG00000116161	CACYBP	370									1	370
ENSG00000116171	SCP2					1183					1	1183
ENSG00000116213	WRAP73				590						1	590
ENSG00000116237	ICMT									337	1	337
ENSG00000116251	RPL22		770		397						2	583.5
ENSG00000116285	ERRFI1								289		1	289
ENSG00000116288	PARK7		963	698		1121					3	927.333333333333
ENSG00000116299	KIAA1324						326				1	326
ENSG00000116337	AMPD2						307				1	307
ENSG00000116455	WDR77									281	1	281
ENSG00000116459	ATP5PB						713				1	713
ENSG00000116514	RNF19B								372		1	372
ENSG00000116539	ASH1L		744			432					2	588
ENSG00000116574	RHOU		317						340		2	328.5
ENSG00000116604	MEF2D			562			454				2	508
ENSG00000116641	DOCK7							757			1	757
ENSG00000116649	SRM					529					1	529
ENSG00000116661	FBXO2			572		216		225			3	337.666666666667
ENSG00000116675	DNAJC6		991		963	463		643			4	765
ENSG00000116679	IVNS1ABP	382									1	382
ENSG00000116691	MIIP		381								1	381
ENSG00000116698	SMG7				601						1	601
ENSG00000116729	WLS				185		130				2	157.5
ENSG00000116731	PRDM2								413		1	413
ENSG00000116741	RGS2	442					851				2	646.5
ENSG00000116752	BCAS2				1064						1	1064
ENSG00000116793	PHTF1				765						1	765
ENSG00000116857	TMEM9						513				1	513
ENSG00000116863	ADPRHL2						441				1	441
ENSG00000116871	MAP7D1				1123				365		2	744
ENSG00000116962	NID1							355			1	355
ENSG00000116983	HPCAL4		565		351			29	124		4	267.25
ENSG00000116991	SIPA1L2		524								1	524
ENSG00000117054	ACADM					369					1	369
ENSG00000117069	ST6GALNAC5						700				1	700
ENSG00000117152	RGS4						400				1	400
ENSG00000117153	KLHL12						896				1	896
ENSG00000117154	IGSF21		776			497		525			3	599.333333333333
ENSG00000117222	RBBP5						467				1	467
ENSG00000117245	KIF17		430								1	430
ENSG00000117280	RAB29		289								1	289
ENSG00000117318	ID3		740								1	740
ENSG00000117362	APH1A					652	887				2	769.5
ENSG00000117395	EBNA1BP2		296								1	296
ENSG00000117410	ATP6V0B				602		425		236	234	4	374.25
ENSG00000117448	AKR1A1				923						1	923
ENSG00000117450	PRDX1			372			737				2	554.5
ENSG00000117461	PIK3R3			661							1	661
ENSG00000117505	DR1				862						1	862
ENSG00000117523	PRRC2C							387			1	387
ENSG00000117569	PTBP2	395									1	395
ENSG00000117597	UTP25							776			1	776
ENSG00000117598	PLPPR5					878					1	878
ENSG00000117600	PLPPR4				280	142					2	211
ENSG00000117602	RCAN3					852					1	852
ENSG00000117616	RSRP1					555					1	555
ENSG00000117632	STMN1	412			771	633	373				4	547.25
ENSG00000117640	MTFR1L	240									1	240
ENSG00000117676	RPS6KA1						736				1	736
ENSG00000117899	MESD				980		344				2	662
ENSG00000117906	RCN2				194	395	753	258			4	400
ENSG00000118007	STAG1									99	1	99
ENSG00000118096	IFT46						1060				1	1060
ENSG00000118160	SLC8A2						163				1	163
ENSG00000118181	RPS25		365	133	373	559					4	357.5
ENSG00000118217	ATF6							585			1	585
ENSG00000118257	NRP2						378				1	378
ENSG00000118271	TTR			4							1	4
ENSG00000118276	B4GALT6							437			1	437
ENSG00000118292	C1orf54							784			1	784
ENSG00000118363	SPCS2		994			758					2	876
ENSG00000118402	ELOVL4					713					1	713
ENSG00000118412	CASP8AP2		538								1	538
ENSG00000118420	UBE3D								136		1	136
ENSG00000118432	CNR1				279	102		381	493		4	313.75
ENSG00000118454	ANKRD13C								251		1	251
ENSG00000118518	RNF146						746				1	746
ENSG00000118523	CCN2						483				1	483
ENSG00000118680	MYL12B						588		380	295	3	421
ENSG00000118702	GHRH	26	39	7	10	5	27	189	32	76	9	45.6666666666667
ENSG00000118705	RPN2				196						1	196
ENSG00000118733	OLFM3			306							1	306
ENSG00000118762	PKD2							266			1	266
ENSG00000118785	SPP1		27		567			117			3	237
ENSG00000118804	STBD1				812						1	812
ENSG00000118939	UCHL3		746								1	746
ENSG00000118946	PCDH17		180		177	218					3	191.666666666667
ENSG00000118985	ELL2		786								1	786
ENSG00000119013	NDUFB3				319		449			93	3	287
ENSG00000119042	SATB2					572					1	572
ENSG00000119048	UBE2B						479				1	479
ENSG00000119125	GDA			271	893	273	723			71	5	446.2
ENSG00000119185	ITGB1BP1		905								1	905
ENSG00000119227	PIGZ		363		915						2	639
ENSG00000119242	CCDC92									299	1	299
ENSG00000119280	C1orf198				1175						1	1175
ENSG00000119318	RAD23B					808					1	808
ENSG00000119326	CTNNAL1		846								1	846
ENSG00000119383	PTPA	286					889				2	587.5
ENSG00000119396	RAB14				1189						1	1189
ENSG00000119421	NDUFA8	444									1	444
ENSG00000119487	MAPKAP1							738			1	738
ENSG00000119522	DENND1A									180	1	180
ENSG00000119559	C19orf25				803		726				2	764.5
ENSG00000119596	YLPM1				878						1	878
ENSG00000119661	DNAL1			381							1	381
ENSG00000119669	IRF2BPL	430									1	430
ENSG00000119673	ACOT2								420		1	420
ENSG00000119688	ABCD4		972								1	972
ENSG00000119698	PPP4R4							142			1	142
ENSG00000119705	SLIRP	275		430	1056	639					4	600
ENSG00000119707	RBM25				434						1	434
ENSG00000119771	KLHL29					653					1	653
ENSG00000119778	ATAD2B							514			1	514
ENSG00000119782	FKBP1B					388		162		272	3	274
ENSG00000119801	YPEL5					589		564			2	576.5
ENSG00000119866	BCL11A		528								1	528
ENSG00000119878	CRIPT					962					1	962
ENSG00000119888	EPCAM						298				1	298
ENSG00000119899	SLC17A5							538			1	538
ENSG00000119938	PPP1R3C				496					273	2	384.5
ENSG00000119946	CNNM1							361			1	361
ENSG00000119973	PRLHR									313	1	313
ENSG00000119979	DENND10									270	1	270
ENSG00000120029	ARMH3						696				1	696
ENSG00000120049	KCNIP2								198		1	198
ENSG00000120053	GOT1						957				1	957
ENSG00000120063	GNA13		431		664						2	547.5
ENSG00000120158	RCL1		831								1	831
ENSG00000120251	GRIA2		886	425		302	82		318		5	402.6
ENSG00000120256	LRP11					924					1	924
ENSG00000120265	PCMT1	355			362	1055					3	590.666666666667
ENSG00000120314	WDR55							463			1	463
ENSG00000120333	MRPS14					1050					1	1050
ENSG00000120438	TCP1		664								1	664
ENSG00000120457	KCNJ5				623						1	623
ENSG00000120533	ENY2						320				1	320
ENSG00000120549	KIAA1217		441								1	441
ENSG00000120694	HSPH1	239	30	525		281					4	268.75
ENSG00000120697	ALG5		814								1	814
ENSG00000120727	PAIP2	344		691							2	517.5
ENSG00000120738	EGR1		105								1	105
ENSG00000120798	NR2C1							343			1	343
ENSG00000120805	ARL1						488	156			2	322
ENSG00000120832	MTERF2		513								1	513
ENSG00000120837	NFYB		222								1	222
ENSG00000120885	CLU	255	86	92	1197	277	22	344		115	8	298.5
ENSG00000120915	EPHX2				749						1	749
ENSG00000120948	TARDBP				358						1	358
ENSG00000120992	LYPLA1							394			1	394
ENSG00000121022	COPS5									325	1	325
ENSG00000121073	SLC35B1					755	689				2	722
ENSG00000121104	FAM117A					315					1	315
ENSG00000121207	LRAT					295	63				2	179
ENSG00000121274	TENT4B		718								1	718
ENSG00000121297	TSHZ3					1111					1	1111
ENSG00000121350	PYROXD1				1182						1	1182
ENSG00000121410	A1BG						602				1	602
ENSG00000121413	ZSCAN18		519		868		577				3	654.666666666667
ENSG00000121542	SEC22A							768			1	768
ENSG00000121578	B4GALT4					530					1	530
ENSG00000121579	NAA50									141	1	141
ENSG00000121892	PDS5A						899				1	899
ENSG00000121900	TMEM54							199			1	199
ENSG00000121905	HPCA	472			672						2	572
ENSG00000121957	GPSM2		328							111	2	219.5
ENSG00000122012	SV2C			102			39			66	3	69
ENSG00000122026	RPL21	262			112	921					3	431.666666666667
ENSG00000122033	MTIF3							467			1	467
ENSG00000122042	UBL3							98			1	98
ENSG00000122068	FYTTD1				929						1	929
ENSG00000122126	OCRL	209		214			514				3	312.333333333333
ENSG00000122203	KIAA1191				577	550					2	563.5
ENSG00000122378	PRXL2A						354				1	354
ENSG00000122406	RPL5				160	1168	107			167	4	400.5
ENSG00000122417	ODF2L		670								1	670
ENSG00000122420	PTGFR				187						1	187
ENSG00000122484	RPAP2							310			1	310
ENSG00000122507	BBS9					615					1	615
ENSG00000122550	KLHL7				374						1	374
ENSG00000122566	HNRNPA2B1		907		482						2	694.5
ENSG00000122574	WIPF3									376	1	376
ENSG00000122584	NXPH1				1134		304			306	3	581.333333333333
ENSG00000122585	NPY	115	36	235	42	24		90	33		7	82.1428571428571
ENSG00000122591	FAM126A				1196	582			78		3	618.666666666667
ENSG00000122642	FKBP9				339						1	339
ENSG00000122674	CCZ1		254								1	254
ENSG00000122692	SMU1		398								1	398
ENSG00000122733	PHF24		928								1	928
ENSG00000122741	DCAF10	220									1	220
ENSG00000122783	CYREN		470								1	470
ENSG00000122786	CALD1		239								1	239
ENSG00000122862	SRGN						857				1	857
ENSG00000122873	CISD1				707						1	707
ENSG00000122965	RBM19		857						470		2	663.5
ENSG00000122970	IFT81			334							1	334
ENSG00000123091	RNF11						251				1	251
ENSG00000123094	RASSF8					1090					1	1090
ENSG00000123095	BHLHE41							273			1	273
ENSG00000123106	CCDC91								514		1	514
ENSG00000123119	NECAB1			546			616				2	581
ENSG00000123124	WWP1				966						1	966
ENSG00000123131	PRDX4	136									1	136
ENSG00000123136	DDX39A						1098				1	1098
ENSG00000123178	SPRYD7			611			1024				2	817.5
ENSG00000123243	ITIH5				296						1	296
ENSG00000123268	ATF1	210									1	210
ENSG00000123349	PFDN5			256	571	1045				118	4	497.5
ENSG00000123352	SPATS2		745								1	745
ENSG00000123358	NR4A1								379		1	379
ENSG00000123360	PDE1B					250					1	250
ENSG00000123384	LRP1			396							1	396
ENSG00000123416	TUBA1B	79	85	180	33	21	246	27	17		8	86
ENSG00000123505	AMD1		537								1	537
ENSG00000123560	PLP1	120	191	22	37	14	12	13	25	6	9	48.8888888888889
ENSG00000123562	MORF4L2				264		1022				2	643
ENSG00000123570	RAB9B			495							1	495
ENSG00000123595	RAB9A									185	1	185
ENSG00000123607	TTC21B	403									1	403
ENSG00000123612	ACVR1C		123	335	164			146			4	192
ENSG00000123901	GPR83				91	254					2	172.5
ENSG00000123989	CHPF				840						1	840
ENSG00000123992	DNPEP					932					1	932
ENSG00000124006	OBSL1		449								1	449
ENSG00000124074	ENKD1					1130					1	1130
ENSG00000124098	FAM210B				767			595			2	681
ENSG00000124140	SLC12A5					228		755			2	491.5
ENSG00000124155	PIGT						880				1	880
ENSG00000124164	VAPB									293	1	293
ENSG00000124172	ATP5F1E	216	152	84	89	51		157			6	124.833333333333
ENSG00000124177	CHD6			506	699						2	602.5
ENSG00000124191	TOX2						415				1	415
ENSG00000124193	SRSF6				722		795				2	758.5
ENSG00000124217	MOCS3	194									1	194
ENSG00000124222	STX16			727							1	727
ENSG00000124225	PMEPA1		310								1	310
ENSG00000124275	MTRR			743							1	743
ENSG00000124299	PEPD					763					1	763
ENSG00000124302	CHST8	196	816					206			3	406
ENSG00000124313	IQSEC2							422			1	422
ENSG00000124333	VAMP7		711						279		2	495
ENSG00000124357	NAGK						928				1	928
ENSG00000124383	MPHOSPH10					873					1	873
ENSG00000124406	ATP8A1				983	631					2	807
ENSG00000124422	USP22					980	687				2	833.5
ENSG00000124535	WRNIP1						264				1	264
ENSG00000124562	SNRPC						579				1	579
ENSG00000124574	ABCC10				1105			671			2	888
ENSG00000124614	RPS10	401			494			568		155	4	404.5
ENSG00000124733	MEA1				719			97			2	408
ENSG00000124762	CDKN1A		67								1	67
ENSG00000124767	GLO1			515	347	1132					3	664.666666666667
ENSG00000124772	CPNE5			719							1	719
ENSG00000124785	NRN1					655					1	655
ENSG00000124788	ATXN1		895								1	895
ENSG00000124802	EEF1E1					1093					1	1093
ENSG00000124942	AHNAK									312	1	312
ENSG00000125107	CNOT1		370								1	370
ENSG00000125144	MT1G	137	708	287	302	509				60	6	333.833333333333
ENSG00000125148	MT2A		71		557	314		368		369	5	335.8
ENSG00000125246	CLYBL							527			1	527
ENSG00000125247	TMTC4	308									1	308
ENSG00000125249	RAP2A						1053	262	370		3	561.666666666667
ENSG00000125351	UPF3B								102		1	102
ENSG00000125354	SEPTIN6	429									1	429
ENSG00000125355	TMEM255A	320	987	230	76	201	125	99	112		8	268.75
ENSG00000125356	NDUFA1			260				428			2	344
ENSG00000125398	SOX9			677	758						2	717.5
ENSG00000125462	C1orf61		225	61	84	33	832			26	6	210.166666666667
ENSG00000125484	GTF3C4		805								1	805
ENSG00000125505	MBOAT7							74			1	74
ENSG00000125510	OPRL1					1022					1	1022
ENSG00000125520	SLC2A4RG	446									1	446
ENSG00000125648	SLC25A23						491				1	491
ENSG00000125650	PSPN				603						1	603
ENSG00000125652	ALKBH7						315				1	315
ENSG00000125657	TNFSF9					520					1	520
ENSG00000125675	GRIA3					1175					1	1175
ENSG00000125676	THOC2	330									1	330
ENSG00000125691	RPL23	340		279	1028	232					4	469.75
ENSG00000125730	C3	402					583				2	492.5
ENSG00000125740	FOSB		714								1	714
ENSG00000125743	SNRPD2					1043					1	1043
ENSG00000125755	SYMPK		848								1	848
ENSG00000125775	SDCBP2			593							1	593
ENSG00000125814	NAPB					1023					1	1023
ENSG00000125820	NKX2-2		735			569					2	652
ENSG00000125827	TMX4			458	470	376	413	675			5	478.4
ENSG00000125834	STK35				833						1	833
ENSG00000125841	NRSN2		899								1	899
ENSG00000125845	BMP2							532			1	532
ENSG00000125851	PCSK2			142	136	271	177	118			5	168.8
ENSG00000125864	BFSP1						939				1	939
ENSG00000125868	DSTN		887		734						2	810.5
ENSG00000125869	LAMP5	356	374	248	64	172		80	51	75	8	177.5
ENSG00000125875	TBC1D20						540				1	540
ENSG00000125898	FAM110A						638				1	638
ENSG00000125901	MRPS26				955						1	955
ENSG00000125931	CITED1	155		228	282	191	221				5	215.4
ENSG00000125944	HNRNPR						566				1	566
ENSG00000125971	DYNLRB1				379			198			2	288.5
ENSG00000125995	ROMO1			480							1	480
ENSG00000126005	MMP24OS				468						1	468
ENSG00000126012	KDM5C		339				1034	572			3	648.333333333333
ENSG00000126062	TMEM115								468		1	468
ENSG00000126088	UROD		563								1	563
ENSG00000126214	KLC1			416							1	416
ENSG00000126226	PCID2			685			824				2	754.5
ENSG00000126247	CAPNS1	427							292		2	359.5
ENSG00000126267	COX6B1		405				170		458		3	344.333333333333
ENSG00000126368	NR1D1					668					1	668
ENSG00000126432	PRDX5			667			729				2	698
ENSG00000126524	SBDS			344		500	633			240	4	429.25
ENSG00000126561	STAT5A					360					1	360
ENSG00000126583	PRKCG						224				1	224
ENSG00000126709	IFI6	1		82	198				296		4	144.25
ENSG00000126767	ELK1	229		505		190		79	96		5	219.8
ENSG00000126803	HSPA2			597	487						2	542
ENSG00000126822	PLEKHG3				528						1	528
ENSG00000126860	EVI2A						900	700			2	800
ENSG00000126861	OMG									183	1	183
ENSG00000126878	AIF1L						345				1	345
ENSG00000126934	MAP2K2						790				1	790
ENSG00000126945	HNRNPH2				392						1	392
ENSG00000126950	TMEM35A		332	47	43	88	277	31	268	181	8	158.375
ENSG00000126953	TIMM8A					772					1	772
ENSG00000126970	ZC4H2		830								1	830
ENSG00000127022	CANX					919	327		103		3	449.666666666667
ENSG00000127054	INTS11				977						1	977
ENSG00000127125	PPCS				742						1	742
ENSG00000127184	COX7C		248	160		64	189	84			5	149
ENSG00000127191	TRAF2						481				1	481
ENSG00000127220	ABHD8				769						1	769
ENSG00000127314	RAP1B				511						1	511
ENSG00000127418	FGFRL1							337			1	337
ENSG00000127445	PIN1				148		118	705	432		4	350.75
ENSG00000127483	HP1BP3				817						1	817
ENSG00000127528	KLF2								409		1	409
ENSG00000127540	UQCR11				405	347	182				3	311.333333333333
ENSG00000127561	SYNGR3					614	237				2	425.5
ENSG00000127585	FBXL16	392				296					2	344
ENSG00000127603	MACF1		227								1	227
ENSG00000127616	SMARCA4		450								1	450
ENSG00000127804	METTL16							429			1	429
ENSG00000127824	TUBA4A						560		247	36	3	281
ENSG00000127838	PNKD									227	1	227
ENSG00000127914	AKAP9									373	1	373
ENSG00000127922	SEM1				682	343					2	512.5
ENSG00000127955	GNAI1		989								1	989
ENSG00000127995	CASD1					474	507			345	3	442
ENSG00000128000	ZNF780B			237						194	2	215.5
ENSG00000128016	ZFP36		486							320	2	403
ENSG00000128039	SRD5A3					984			465		2	724.5
ENSG00000128059	PPAT				969	473					2	721
ENSG00000128191	DGCR8		403								1	403
ENSG00000128228	SDF2L1			299							1	299
ENSG00000128242	GAL3ST1					1150					1	1150
ENSG00000128245	YWHAH	258	232		770	173	496	635	125	323	8	376.5
ENSG00000128266	GNAZ					1142					1	1142
ENSG00000128268	MGAT3							650			1	650
ENSG00000128294	TPST2						606				1	606
ENSG00000128463	EMC4		228								1	228
ENSG00000128482	RNF112				499						1	499
ENSG00000128524	ATP6V1F	126		431		1040	621				4	554.5
ENSG00000128534	LSM8			438							1	438
ENSG00000128564	VGF		33	31	26	43	360	44	43	62	8	80.25
ENSG00000128590	DNAJB9				428						1	428
ENSG00000128595	CALU							701			1	701
ENSG00000128596	CCDC136			634		475					2	554.5
ENSG00000128607	KLHDC10				916						1	916
ENSG00000128609	NDUFA5							462			1	462
ENSG00000128610	FEZF1		68	129	45	27	17	34	22	315	8	82.125
ENSG00000128656	CHN1	234	92	72	360	52	143	404	100		8	182.125
ENSG00000128683	GAD1	131	209	210	73	162	41	548	256		8	203.75
ENSG00000128739	SNRPN	318	552								2	435
ENSG00000128872	TMOD2	207									1	207
ENSG00000128928	IVD	406									1	406
ENSG00000128973	CLN6								242		1	242
ENSG00000128989	ARPP19				999						1	999
ENSG00000129003	VPS13C					874					1	874
ENSG00000129055	ANAPC13	449									1	449
ENSG00000129128	SPCS3			644							1	644
ENSG00000129187	DCTD							729			1	729
ENSG00000129235	TXNDC17					397					1	397
ENSG00000129244	ATP1B2		709		772	330	825	62			5	539.6
ENSG00000129292	PHF20L1	473									1	473
ENSG00000129355	CDKN2D					366					1	366
ENSG00000129480	DTD2	96									1	96
ENSG00000129484	PARP2	339									1	339
ENSG00000129515	SNX6				953						1	953
ENSG00000129538	RNASE1							506	453		2	479.5
ENSG00000129559	NEDD8				612		456			202	3	423.333333333333
ENSG00000129625	REEP5				421	1162					2	791.5
ENSG00000129636	ITFG1					291		711			2	501
ENSG00000129682	FGF13				328	991					2	659.5
ENSG00000129696	TTI2								230		1	230
ENSG00000129757	CDKN1C		341								1	341
ENSG00000129824	RPS4Y1	127									1	127
ENSG00000129946	SHC2				853						1	853
ENSG00000129951	PLPPR3					426	641				2	533.5
ENSG00000129968	ABHD17A		610								1	610
ENSG00000129990	SYT5		648						401		2	524.5
ENSG00000129993	CBFA2T3					1044					1	1044
ENSG00000130203	APOE	236	288	89	78	29	150		37	40	8	118.375
ENSG00000130208	APOC1	39		63	223	1143	198	221	161	37	8	260.625
ENSG00000130222	GADD45G		389								1	389
ENSG00000130226	DPP6		762	558	698						3	672.666666666667
ENSG00000130255	RPL36			198	517	150					3	288.333333333333
ENSG00000130294	KIF1A					769					1	769
ENSG00000130312	MRPL34					1092		204			2	648
ENSG00000130332	LSM7				353						1	353
ENSG00000130348	QRSL1						975				1	975
ENSG00000130382	MLLT1	335							260		2	297.5
ENSG00000130413	STK33		348								1	348
ENSG00000130414	NDUFA10					511					1	511
ENSG00000130449	ZSWIM6								308		1	308
ENSG00000130479	MAP1S				596		471				2	533.5
ENSG00000130511	SSBP4			258	170			296			3	241.333333333333
ENSG00000130522	JUND		585				917				2	751
ENSG00000130540	SULT4A1					419	282				2	350.5
ENSG00000130558	OLFM1						179				1	179
ENSG00000130643	CALY	56	143	75	47	78	131				6	88.3333333333333
ENSG00000130717	UCK1				626						1	626
ENSG00000130723	PRRC2B		893	401							2	647
ENSG00000130726	TRIM28			440							1	440
ENSG00000130731	METTL26				732		448				2	590
ENSG00000130734	ATG4D							528			1	528
ENSG00000130748	TMEM160				410						1	410
ENSG00000130755	GMFG			419							1	419
ENSG00000130770	ATP5IF1	211	765	202	234	86	676	498			7	381.714285714286
ENSG00000130787	HIP1R		455			992			305		3	584
ENSG00000130816	DNMT1			557							1	557
ENSG00000130822	PNCK				686	422	185	92	82		5	293.4
ENSG00000130826	DKC1				1087	1028					2	1057.5
ENSG00000130844	ZNF331					933					1	933
ENSG00000130856	ZNF236		302								1	302
ENSG00000130939	UBE4B						622				1	622
ENSG00000130985	UBA1			349			760				2	554.5
ENSG00000131016	AKAP12		731	576		971		288			4	641.5
ENSG00000131018	SYNE1				291						1	291
ENSG00000131023	LATS1							629			1	629
ENSG00000131067	GGT7						872				1	872
ENSG00000131095	GFAP	18	29	1	6	2	3	4	4	4	9	7.88888888888889
ENSG00000131100	ATP6V1E1			594						309	2	451.5
ENSG00000131115	ZNF227								172		1	172
ENSG00000131143	COX4I1						352	289			2	320.5
ENSG00000131148	EMC8				1159						1	1159
ENSG00000131171	SH3BGRL							182			1	182
ENSG00000131174	COX7B		686		304		111	168			4	317.25
ENSG00000131188	PRR7							250			1	250
ENSG00000131236	CAP1				1164						1	1164
ENSG00000131238	PPT1							655			1	655
ENSG00000131368	MRPS25						544				1	544
ENSG00000131375	CAPN7					1098					1	1098
ENSG00000131409	LRRC4B			479							1	479
ENSG00000131459	GFPT2		872								1	872
ENSG00000131467	PSME3								181		1	181
ENSG00000131469	RPL27		347		151	814	578			265	5	431
ENSG00000131475	VPS25						427				1	427
ENSG00000131495	NDUFA2							466			1	466
ENSG00000131507	NDFIP1			217	766	223					3	402
ENSG00000131508	UBE2D2				844						1	844
ENSG00000131652	THOC6								180		1	180
ENSG00000131711	MAP1B	36	357	399	836			37			5	333
ENSG00000131724	IL13RA1			326							1	326
ENSG00000131771	PPP1R1B						944				1	944
ENSG00000131788	PIAS3									164	1	164
ENSG00000131966	ACTR10						710				1	710
ENSG00000132002	DNAJB1		18								1	18
ENSG00000132164	SLC6A11		687			547	1064	425	278		5	600.2
ENSG00000132196	HSD17B7					927					1	927
ENSG00000132254	ARFIP2				285						1	285
ENSG00000132274	TRIM22						278				1	278
ENSG00000132294	EFR3A							241			1	241
ENSG00000132305	IMMT							530			1	530
ENSG00000132321	IQCA1		382								1	382
ENSG00000132323	ILKAP				518						1	518
ENSG00000132329	RAMP1		823								1	823
ENSG00000132330	SCLY	420									1	420
ENSG00000132341	RAN	91	828	530							3	483
ENSG00000132356	PRKAA1			738							1	738
ENSG00000132383	RPA1			464		721					2	592.5
ENSG00000132386	SERPINF1			378							1	378
ENSG00000132406	TMEM128		836								1	836
ENSG00000132423	COQ3		478								1	478
ENSG00000132424	PNISR				1046					176	2	611
ENSG00000132432	SEC61G			243	190	211					3	214.666666666667
ENSG00000132463	GRSF1				638						1	638
ENSG00000132475	H3F3B					793					1	793
ENSG00000132485	ZRANB2									274	1	274
ENSG00000132510	KDM6B					647					1	647
ENSG00000132522	GPS2			707							1	707
ENSG00000132563	REEP2						322				1	322
ENSG00000132581	SDF2		412								1	412
ENSG00000132591	ERAL1				1128					371	2	749.5
ENSG00000132604	TERF2			474		544					2	509
ENSG00000132639	SNAP25		110		1136	75	239				4	390
ENSG00000132646	PCNA				634						1	634
