Feature ID,Feature Name,Feature count topic 1,Feature log2 fold change topic 1,Feature count topic 2,Feature log2 fold change topic 2,Feature count topic 3to4,Feature log2 fold change topic 3to4,Feature count topic 5,Feature log2 fold change topic 5,Feature count topic 6to8,Feature log2 fold change topic 6to8,Feature count topic 9,Feature log2 fold change topic 9,Feature count topic 10,Feature log2 fold change topic 10,Feature count topic 11to12,Feature log2 fold change topic 11to12
ENSG00000048162,NOP16,22,0.04421,42,1.08334,20,-0.1579,27,0.32537,22,-0.0086,25,0.22216,16,-0.4721,12,-0.9767
ENSG00000146066,HIGD2A,144,0.29566,160,0.46252,152,0.42643,95,-0.3565,95,-0.4321,125,0.06821,97,-0.3164,112,-0.1029
ENSG00000175416,CLTB,126,-0.6984,287,0.59834,159,-0.3684,313,0.74048,224,0.24112,151,-0.4211,157,-0.3561,175,-0.2095
ENSG00000113194,FAF2,21,-0.9077,35,-0.1058,38,0.04323,74,1.10625,47,0.44420,28,-0.4457,39,0.07700,18,-1.2164
ENSG00000146083,RNF44,30,-0.5875,26,-0.8302,33,-0.5148,85,1.03343,54,0.38162,63,0.55462,39,-0.2009,32,-0.5421
ENSG00000169258,GPRIN1,17,-1.3442,55,0.45090,41,-0.0362,54,0.42153,62,0.83313,20,-1.1290,38,-0.1272,23,-0.9498
ENSG00000074317,SNCB,124,-1.0441,82,-1.6678,72,-1.9546,388,0.73771,429,1.21379,124,-1.0420,160,-0.6620,319,0.46731
ENSG00000048140,TSPAN17,23,0.35420,21,0.26240,27,0.69550,0,-4.3590,21,0.28046,23,0.38497,12,-0.5919,10,-0.8914
ENSG00000113763,UNC5A,1,-4.2169,35,0.65611,25,0.15911,14,-0.7669,28,0.40036,48,1.20742,6,-2.0101,19,-0.3522
ENSG00000113761,ZNF346,9,-0.8122,10,-0.6803,31,1.25001,19,0.29226,14,-0.2601,12,-0.4464,20,0.36483,8,-1.0247
ENSG00000165671,NSD1,16,-0.6750,29,0.20377,28,0.17312,18,-0.5540,36,0.69656,21,-0.3341,37,0.57343,11,-1.3688
ENSG00000169228,RAB24,13,-0.2164,28,1.03713,18,0.38063,0,-5.5984,21,0.68129,12,-0.3084,12,-0.2387,6,-1.3343
ENSG00000169230,PRELID1,79,-0.0180,90,0.18608,102,0.43672,57,-0.5198,98,0.40895,63,-0.3614,58,-0.5083,57,-0.5762
ENSG00000169223,LMAN2,49,-0.0772,91,0.90427,50,-0.0493,75,0.59445,53,0.03532,50,-0.0682,44,-0.2536,27,-1.0635
ENSG00000169220,RGS14,6,-2.3966,11,-1.4499,12,-1.4194,0,-7.1208,13,-1.3471,233,4.32563,4,-2.7524,19,-0.7589
ENSG00000198055,GRK6,27,0.07947,22,-0.2158,22,-0.2325,43,0.82481,35,0.61781,16,-0.7446,20,-0.3644,15,-0.8515
ENSG00000131188,PRR7,12,-1.6412,49,0.52527,29,-0.3379,27,-0.4328,35,-0.0463,103,1.79194,15,-1.3049,29,-0.3292
ENSG00000113758,DBN1,92,0.52053,100,0.65536,51,-0.4400,47,-0.5221,70,0.09684,126,1.03446,47,-0.5314,37,-0.9738
ENSG00000196923,PDLIM7,49,0.36277,71,0.97937,53,0.55824,12,-1.7009,33,-0.2740,45,0.23257,27,-0.5451,27,-0.5885
ENSG00000183258,DDX41,33,-0.3142,30,-0.4865,57,0.58111,32,-0.3821,55,0.59790,48,0.25168,18,-1.2247,26,-0.7696
ENSG00000146067,FAM193B,7,-1.5184,20,0.00910,22,0.21433,19,-0.0513,29,0.78298,9,-1.1701,29,0.61683,10,-1.0026
ENSG00000184840,TMED9,80,0.23003,70,0.01448,64,-0.1186,43,-0.7106,94,0.61200,67,-0.0451,78,0.18767,41,-0.8632
ENSG00000027847,B4GALT7,41,0.25475,64,0.95666,32,-0.1623,28,-0.3735,50,0.69164,13,-1.4819,19,-0.9130,23,-0.7324
ENSG00000204677,FAM153CP,12,-0.9828,24,0.10251,19,-0.3068,25,0.17550,22,-0.0697,27,0.30914,42,1.00499,18,-0.3182
ENSG00000145916,RMND5B,30,0.38917,34,0.63164,9,-1.4348,19,-0.2986,23,0.00651,32,0.49555,29,0.34189,23,-0.0208
ENSG00000145912,NHP2,176,0.17548,191,0.31317,141,-0.1888,141,-0.1683,161,0.04968,202,0.40174,118,-0.4458,146,-0.1249
ENSG00000197451,HNRNPAB,58,-0.4103,114,0.66266,72,-0.0812,86,0.21372,70,-0.1383,42,-0.8901,83,0.14477,84,0.18531
ENSG00000113240,CLK4,8,-1.5283,26,0.24276,35,0.80913,7,-1.7738,28,0.45886,18,-0.3188,19,-0.2454,18,-0.3754
ENSG00000176783,RUFY1,32,0.25408,26,-0.0854,38,0.59917,21,-0.3786,32,0.31680,22,-0.3305,21,-0.4331,16,-0.8239
ENSG00000169045,HNRNPH1,88,-0.5543,122,-0.0484,131,0.07453,80,-0.7050,131,0.08336,173,0.50664,138,0.14441,127,0.00795
ENSG00000127022,CANX,909,0.53225,653,0.00278,659,0.01833,859,0.44075,726,0.21108,291,-1.2304,646,-0.0145,484,-0.5018
ENSG00000161013,MGAT4B,24,-0.4998,23,-0.5600,40,0.36678,33,0.00981,37,0.24905,26,-0.3248,20,-0.7251,37,0.22156
ENSG00000161011,SQSTM1,270,0.26794,293,0.39596,225,-0.0249,236,0.05576,249,0.17323,137,-0.7816,257,0.18893,173,-0.4648
ENSG00000161010,MRNIP,20,-0.1966,36,0.73387,32,0.60035,18,-0.3753,29,0.47927,19,-0.2971,11,-1.1208,9,-1.3936
ENSG00000197226,TBC1D9B,82,0.10615,116,0.66391,73,-0.0874,60,-0.3678,91,0.34911,49,-0.6937,79,0.05462,56,-0.5091
ENSG00000113269,RNF130,61,-0.9600,113,-0.0166,124,0.14475,203,0.92845,104,-0.1742,92,-0.3383,159,0.51955,92,-0.3712
ENSG00000050748,MAPK9,75,-1.0354,148,0.00967,125,-0.2731,203,0.51541,198,0.59903,155,0.08001,80,-0.9298,130,-0.2037
ENSG00000113300,CNOT6,15,-0.2306,13,-0.4416,22,0.37225,3,-2.3492,21,0.32852,23,0.42611,15,-0.2139,17,-0.0112
ENSG00000131446,MGAT1,37,0.12269,33,-0.0598,22,-0.6989,36,0.08415,34,0.02156,31,-0.1158,57,0.84155,33,-0.0509
ENSG00000278970,HEIH,38,0.18501,58,0.86023,45,0.49054,9,-1.9834,42,0.40217,19,-0.9128,17,-1.0087,26,-0.4493
ENSG00000245060,LINC00847,15,-0.0695,44,1.66050,14,-0.2310,2,-2.6387,13,-0.3749,16,-0.0227,11,-0.5733,19,0.25678
ENSG00000250222,AC008443.5,6,-1.9652,22,-0.0521,20,-0.2209,17,-0.4411,20,-0.2259,42,0.98113,15,-0.5927,35,0.78747
ENSG00000146063,TRIM41,34,0.13557,38,0.32009,24,-0.4436,72,1.36364,23,-0.5764,30,-0.0576,30,-0.0741,27,-0.2152
ENSG00000204628,RACK1,400,0.38229,333,0.08911,333,0.09862,278,-0.1937,309,-0.0367,260,-0.3011,386,0.32124,264,-0.2981
ENSG00000183718,TRIM52,4,-2.1187,25,0.72200,16,0.01443,18,0.13613,23,0.70753,8,-1.0362,10,-0.7457,14,-0.2512
ENSG00000248275,TRIM52-AS1,15,-0.4231,24,0.28205,28,0.62764,34,0.85559,15,-0.5390,16,-0.2896,18,-0.1650,15,-0.4357
ENSG00000112679,DUSP22,38,0.44896,22,-0.4062,22,-0.4084,28,-0.0292,34,0.37449,21,-0.4674,39,0.49962,23,-0.3537
ENSG00000112685,EXOC2,38,0.44012,35,0.31183,38,0.48220,16,-0.8756,33,0.29037,23,-0.3376,23,-0.3293,17,-0.8633
ENSG00000112699,GMDS,31,0.49386,31,0.49297,17,-0.4151,20,-0.1530,19,-0.2619,41,0.95071,10,-1.1965,22,-0.0493
ENSG00000124535,WRNIP1,75,0.15517,82,0.31245,66,-0.0362,52,-0.3902,93,0.64586,51,-0.4439,36,-0.9570,52,-0.4409
ENSG00000021355,SERPINB1,30,0.75185,35,0.98052,25,0.47620,11,-0.8038,15,-0.4432,4,-2.1314,31,0.77314,11,-0.9084
ENSG00000124570,SERPINB6,140,1.24270,54,-0.2914,87,0.50502,71,0.11304,47,-0.6066,32,-1.0925,100,0.66923,38,-0.9060
ENSG00000124588,NQO2,36,0.04445,37,0.10418,36,0.08773,27,-0.3591,52,0.84593,13,-1.5028,27,-0.3606,23,-0.6661
ENSG00000137274,BPHL,14,-1.4974,85,1.25658,54,0.56035,21,-0.9453,41,0.07224,25,-0.6894,19,-1.1200,39,-0.0225
ENSG00000137267,TUBB2A,990,-0.2628,1136,-0.0493,1045,-0.1966,1210,0.05088,1743,0.82811,483,-1.3520,728,-0.7344,1098,-0.1117
ENSG00000137285,TUBB2B,192,-1.4761,529,0.07365,897,1.07045,416,-0.3046,395,-0.4572,236,-1.1663,556,0.15124,578,0.23665
ENSG00000180822,PSMG4,21,-0.8262,66,0.97000,30,-0.3273,17,-1.1674,47,0.51957,49,0.46410,25,-0.5401,28,-0.4196
ENSG00000137266,SLC22A23,4,-2.6095,15,-0.6105,10,-1.2899,12,-1.0027,37,1.00330,23,-0.0172,41,0.92947,25,0.12998
ENSG00000145945,FAM50B,18,-1.3137,50,0.20726,54,0.36149,25,-0.8358,54,0.41913,56,0.40330,27,-0.7350,39,-0.1870
ENSG00000112739,PRPF4B,48,-0.4776,49,-0.4214,52,-0.3753,76,0.23939,84,0.51404,75,0.22130,58,-0.1681,59,-0.1640
ENSG00000198721,ECI2,79,0.19163,94,0.47089,88,0.41654,57,-0.3110,46,-0.7641,96,0.51260,79,0.20459,59,-0.2806
ENSG00000153046,CDYL,3,-2.8854,18,-0.6364,23,-0.2945,52,1.05607,17,-0.8243,31,0.20553,30,0.15759,47,1.01649
ENSG00000214113,LYRM4,29,-0.6878,51,0.19174,46,0.03275,64,0.56225,43,-0.1078,25,-0.8820,49,0.12211,52,0.23973
ENSG00000124785,NRN1,58,1.07528,0,-6.0258,0,-5.8834,169,3.24298,33,0.17510,6,-2.3946,13,-1.2022,7,-2.1380
ENSG00000124783,SSR1,155,0.38894,125,0.04056,103,-0.2875,124,0.03526,139,0.27023,82,-0.6103,115,-0.0832,117,-0.0689
ENSG00000124784,RIOK1,23,0.07075,20,-0.1257,16,-0.5378,66,1.82066,22,-0.0076,15,-0.6423,3,-3.0105,21,-0.1074
ENSG00000239264,TXNDC5,25,-0.9176,50,0.17750,47,0.06417,40,-0.1972,65,0.76215,40,-0.1763,30,-0.6185,33,-0.5128
ENSG00000124802,EEF1E1,111,0.31436,146,0.76481,109,0.32059,90,-0.0154,111,0.39239,36,-1.3861,49,-0.9513,54,-0.8577
ENSG00000124786,SLC35B3,23,0.33667,13,-0.5387,28,0.67683,39,1.15906,10,-1.0811,18,-0.0768,11,-0.8138,18,-0.0439
ENSG00000111845,PAK1IP1,11,-0.8220,19,0.00604,26,0.54887,3,-2.6506,24,0.44418,23,0.28936,12,-0.6851,18,-0.0565
ENSG00000111843,TMEM14C,130,0.41901,106,0.10334,115,0.25376,119,0.28447,122,0.40678,40,-1.3777,92,-0.1246,56,-0.9608
ENSG00000137210,TMEM14B,75,-0.1524,100,0.30896,114,0.58546,37,-1.2114,89,0.14550,69,-0.2740,71,-0.2320,71,-0.2564
ENSG00000224531,SMIM13,84,-0.3489,66,-0.7235,84,-0.3740,257,1.48516,143,0.61839,65,-0.7477,50,-1.1437,73,-0.6184
ENSG00000205269,TMEM170B,46,-0.1391,46,-0.1496,54,0.12870,83,0.80393,46,-0.1632,43,-0.2526,44,-0.2250,48,-0.0795
ENSG00000112137,PHACTR1,54,-1.3976,60,-1.2480,50,-1.6077,102,-0.4354,63,-1.3503,693,3.01858,61,-1.2067,186,0.55831
ENSG00000145979,TBC1D7,33,0.93720,32,0.88345,13,-0.5436,30,0.76417,17,-0.1086,11,-0.7484,10,-0.8324,13,-0.5847
ENSG00000145990,GFOD1,23,-1.3109,43,-0.3670,41,-0.4659,53,-0.0458,82,0.84206,70,0.38730,22,-1.3485,58,0.10089
ENSG00000124523,SIRT5,9,-1.2050,28,0.52270,21,0.09971,6,-1.6676,24,0.35743,21,0.06833,23,0.19102,19,-0.0496
ENSG00000225921,NOL7,91,0.06278,124,0.54694,88,-0.0052,77,-0.2088,87,-0.0283,54,-0.7526,101,0.22387,86,-0.0337
ENSG00000010017,RANBP9,65,-0.2319,92,0.31013,46,-0.8395,109,0.57829,92,0.38288,43,-0.8524,49,-0.6719,92,0.33935
ENSG00000050393,MCUR1,89,0.76240,74,0.45660,67,0.32544,39,-0.5328,50,-0.1830,28,-1.0583,62,0.17381,44,-0.3681
ENSG00000180537,RNF182,0,-6.1747,23,-0.2883,64,1.65056,19,-0.5225,23,-0.3201,0,-4.9423,37,0.46148,26,-0.0779
ENSG00000112149,CD83,34,-1.1549,36,-1.0756,40,-0.9471,149,1.18430,127,1.23968,12,-2.6521,47,-0.6657,63,-0.2342
ENSG00000008083,JARID2,6,-1.5926,19,0.05941,22,0.28775,7,-1.3459,22,0.34034,25,0.45359,24,0.40905,15,-0.3181
ENSG00000047579,DTNBP1,16,-2.1912,63,-0.1266,44,-0.7058,135,1.12103,73,0.13538,70,0.04077,59,-0.2187,83,0.35168
ENSG00000137198,GMPR,27,-0.3758,11,-1.7029,65,1.16153,18,-0.9511,30,-0.2579,4,-3.0662,84,1.47150,25,-0.5081
ENSG00000124788,ATXN1,36,-0.2092,34,-0.2730,21,-1.0689,59,0.58907,35,-0.2748,75,0.98448,42,0.04475,48,0.28198
ENSG00000112183,RBM24,0,-7.0741,28,0.61065,22,0.26440,41,1.26075,15,-0.3850,24,0.41714,8,-1.2108,17,-0.1195
ENSG00000112186,CAP2,41,-1.5200,105,-0.1072,85,-0.4779,84,-0.4557,175,0.92556,203,0.95046,71,-0.7139,77,-0.6351
ENSG00000137414,FAM8A1,34,-0.8669,86,0.55971,69,0.23979,43,-0.5138,82,0.62154,47,-0.3779,59,-0.0439,35,-0.8796
ENSG00000124789,NUP153,15,-0.9298,38,0.44087,21,-0.5165,42,0.62356,42,0.79468,15,-0.9747,25,-0.2078,20,-0.6145
ENSG00000137177,KIF13A,3,-3.0873,16,-0.7696,30,0.22911,40,0.69738,30,0.31260,9,-1.6175,48,0.97312,23,-0.2099
ENSG00000137364,TPMT,18,-0.7292,19,-0.6831,39,0.47616,23,-0.3927,42,0.66646,32,0.11317,18,-0.7269,22,-0.4931
ENSG00000124795,DEK,8,-2.9400,45,-0.4544,101,0.95856,70,0.23236,48,-0.4178,38,-0.6994,96,0.75383,59,-0.0271
ENSG00000172201,ID4,131,-0.4256,124,-0.5060,371,1.48340,103,-0.7945,129,-0.5227,44,-2.0509,208,0.29850,163,-0.0958
ENSG00000124766,SOX4,19,-0.6829,12,-1.3892,39,0.45037,53,0.90690,46,0.85413,14,-1.2034,11,-1.5508,20,-0.7160
ENSG00000272168,CASC15,12,-1.3181,10,-1.5200,19,-0.6678,27,-0.0626,52,1.33412,17,-0.7381,23,-0.3576,29,0.01005
ENSG00000152954,NRSN1,153,-0.0018,161,0.07694,163,0.11301,161,0.08090,150,-0.0346,124,-0.3347,73,-1.1368,194,0.42141
ENSG00000124532,MRS2,32,0.38126,35,0.50186,14,-0.9517,18,-0.5159,35,0.61975,20,-0.3862,35,0.48329,17,-0.6930
ENSG00000112294,ALDH5A1,82,-0.6909,109,-0.2546,109,-0.2675,122,-0.0731,170,0.56942,128,0.00160,127,-0.0141,120,-0.1037
ENSG00000137261,KIAA0319,11,-1.5947,24,-0.3940,45,0.63786,13,-1.3484,39,0.45333,30,-0.0619,20,-0.6689,35,0.19881
ENSG00000111802,TDP2,38,-0.6550,84,0.59709,70,0.33258,50,-0.2436,71,0.38790,42,-0.5020,51,-0.2013,40,-0.6257
ENSG00000112304,ACOT13,39,-0.3670,55,0.15012,66,0.49239,25,-1.0439,38,-0.4883,32,-0.7056,58,0.24110,72,0.65023
ENSG00000112308,C6orf62,72,-0.8124,114,-0.0958,176,0.66014,67,-0.9155,109,-0.2155,97,-0.3558,162,0.45102,136,0.19557
ENSG00000112312,GMNN,8,-1.0092,15,-0.1254,21,0.42479,7,-1.2433,18,0.17133,14,-0.2214,12,-0.4081,22,0.51153
ENSG00000111913,RIPOR2,13,-1.5953,14,-1.4945,18,-1.1931,15,-1.3824,45,0.32442,101,1.63647,22,-0.8632,60,0.83518
ENSG00000079691,CARMIL1,18,0.13033,10,-0.6830,21,0.42714,2,-2.7500,11,-0.7585,17,0.11164,24,0.59188,25,0.78359
ENSG00000079689,SCGN,1611,3.58675,12,-4.4510,1,-8.0151,1358,3.11232,22,-3.9291,1,-8.0042,24,-3.5292,5,-5.9081
ENSG00000197061,HIST1H4C,5,-2.0672,1,-4.0356,18,-0.4099,42,0.97331,15,-0.7188,7,-1.7074,21,-0.1729,59,1.86126
ENSG00000180573,HIST1H2AC,30,1.14597,29,1.05649,16,0.11133,0,-6.1763,5,-1.8150,20,0.44295,39,1.56144,8,-1.0785
ENSG00000112763,BTN2A1,66,0.81447,45,0.17548,37,-0.1368,27,-0.5682,52,0.53346,16,-1.3993,10,-1.9790,42,0.09559
ENSG00000228223,HCG11,4,-2.9356,14,-1.0848,29,0.04886,59,1.18565,36,0.46176,14,-1.0805,21,-0.4919,32,0.20943
ENSG00000182952,HMGN4,39,-0.2140,28,-0.6961,34,-0.4379,54,0.30702,57,0.51161,25,-0.8563,38,-0.2469,54,0.35190
ENSG00000146109,ABT1,9,-0.6229,18,0.40018,11,-0.3642,11,-0.3656,17,0.35625,19,0.46300,18,0.34563,10,-0.5152
ENSG00000269293,ZSCAN16-AS1,118,0.29441,122,0.35381,106,0.13707,170,0.89628,60,-0.8634,116,0.27485,64,-0.6588,95,-0.0466
ENSG00000204713,TRIM27,47,-0.2741,70,0.33290,73,0.45274,92,0.77511,63,0.20516,21,-1.4573,39,-0.5603,37,-0.6930
ENSG00000204681,GABBR1,169,-1.1002,347,0.00287,426,0.36445,267,-0.4076,334,-0.0726,529,0.67953,219,-0.7124,388,0.19793
ENSG00000204655,MOG,1,-4.2214,13,-0.6917,6,-1.9298,3,-2.7152,15,-0.5346,22,0.15292,124,3.51340,11,-1.0137
ENSG00000206503,HLA-A,1070,1.56900,699,0.82569,590,0.61166,222,-0.9782,265,-0.8266,169,-1.3828,491,0.24904,204,-1.1777
ENSG00000204619,PPP1R11,101,0.46131,98,0.40081,96,0.41856,54,-0.5326,65,-0.2806,51,-0.6124,55,-0.5038,82,0.13275
ENSG00000234127,TRIM26,25,0.47014,12,-0.6109,23,0.33754,16,-0.2698,13,-0.6757,13,-0.5825,27,0.60753,23,0.39812
ENSG00000231074,HCG18,20,-0.4471,32,0.28056,20,-0.5063,39,0.57985,31,0.30415,32,0.29260,22,-0.3191,22,-0.3539
ENSG00000241370,RPP21,62,-0.0955,113,0.87669,73,0.18641,44,-0.6123,69,0.11010,55,-0.2668,45,-0.5820,57,-0.2386
ENSG00000204592,HLA-E,164,0.98696,13,-2.8134,105,0.28828,111,0.34811,29,-1.9021,58,-0.6638,312,2.17261,57,-0.7286
ENSG00000204590,GNL1,49,-0.9669,93,0.00543,118,0.42143,55,-0.8149,105,0.23444,111,0.27387,64,-0.5857,97,0.07195
ENSG00000204574,ABCF1,33,-0.0749,55,0.74023,28,-0.3670,19,-0.8858,30,-0.2404,49,0.55005,53,0.69101,29,-0.2725
ENSG00000204569,PPP1R10,37,0.45884,40,0.57996,26,-0.1207,4,-2.5956,30,0.17554,30,0.13417,34,0.33864,22,-0.3978
ENSG00000204568,MRPS18B,37,-0.4580,67,0.48489,45,-0.1583,57,0.22177,57,0.28554,51,0.06522,40,-0.3097,39,-0.3809
ENSG00000137343,ATAT1,27,-1.1760,38,-0.6729,68,0.24350,53,-0.1733,83,0.69699,47,-0.3374,45,-0.4050,56,-0.0794
ENSG00000204564,C6orf136,33,-0.8509,55,-0.0741,50,-0.2136,75,0.43144,82,0.74054,51,-0.1929,46,-0.3515,40,-0.5755
ENSG00000204560,DHX16,3,-2.6527,20,-0.0816,16,-0.4706,34,0.79393,28,0.59859,19,-0.1443,17,-0.3393,21,-0.0081
ENSG00000196230,TUBB,899,0.23357,1060,0.49941,728,-0.1083,1221,0.73214,943,0.39028,250,-1.7166,465,-0.7891,563,-0.5400
ENSG00000137312,FLOT1,137,0.02495,167,0.34227,162,0.32739,103,-0.4094,157,0.29774,85,-0.7116,114,-0.2556,108,-0.3786
ENSG00000204580,DDR1,66,-1.1399,76,-0.9266,195,0.61018,68,-1.0771,125,-0.1855,54,-1.4296,371,1.65521,131,-0.0959
ENSG00000137411,VARS2,6,-2.0167,24,-0.0123,24,-0.0030,26,0.12961,30,0.49396,27,0.19759,25,0.06325,20,-0.3223
ENSG00000204525,HLA-C,332,1.28659,212,0.53146,228,0.73188,61,-1.3833,103,-0.7084,53,-1.6015,230,0.66306,86,-0.9302
ENSG00000234745,HLA-B,469,1.24824,201,-0.1415,292,0.50763,141,-0.6846,106,-1.2807,104,-1.1385,530,1.46639,145,-0.6905
ENSG00000198563,DDX39B,79,-0.6651,151,0.35253,156,0.44500,147,0.30436,134,0.19914,97,-0.3369,98,-0.3271,84,-0.6168
ENSG00000213760,ATP6V1G2,232,0.18846,181,-0.2020,127,-0.7953,353,0.87449,263,0.49158,126,-0.7532,127,-0.7477,204,-0.0167
ENSG00000204498,NFKBIL1,3,-2.1230,20,0.60997,14,0.10404,5,-1.3953,16,0.31422,22,0.78667,17,0.42609,9,-0.6949
ENSG00000204472,AIF1,14,-0.5848,4,-2.3071,29,0.56839,15,-0.4817,5,-2.2303,23,0.16437,53,1.54233,34,0.86360
ENSG00000204469,PRRC2A,62,-0.5914,100,0.14360,120,0.47946,57,-0.7131,92,0.01600,93,0.02933,88,-0.0613,90,-0.0265
ENSG00000204463,BAG6,100,0.13571,100,0.13729,71,-0.4174,105,0.22552,91,-0.0134,112,0.32104,107,0.25151,79,-0.2487
ENSG00000204438,GPANK1,18,0.21599,18,0.22056,19,0.35836,1,-3.6222,16,0.00765,16,0.02647,31,1.13193,9,-0.9226
ENSG00000204435,CSNK2B,132,0.10910,146,0.26975,111,-0.1671,129,0.08066,135,0.18599,98,-0.3502,128,0.06714,107,-0.2430
ENSG00000204427,ABHD16A,75,0.32785,78,0.40143,39,-0.7073,40,-0.6285,86,0.71353,71,0.26114,37,-0.7656,45,-0.5080
ENSG00000213722,DDAH2,104,1.00411,92,0.79688,92,0.90570,22,-1.4131,35,-0.8494,16,-1.8422,99,0.91598,25,-1.2706
ENSG00000204394,VARS,49,0.12474,49,0.14447,49,0.15005,59,0.44439,47,0.07874,41,-0.1253,41,-0.1502,30,-0.6393
ENSG00000204392,LSM2,38,0.11460,43,0.31287,41,0.26667,54,0.67428,34,-0.0792,15,-1.2359,40,0.21523,24,-0.6103
ENSG00000204389,HSPA1A,114,0.01614,112,-0.0086,137,0.34456,144,0.39453,114,0.01548,82,-0.4880,164,0.60103,60,-1.0231
ENSG00000204388,HSPA1B,52,-1.1105,124,0.21121,115,0.09404,121,0.16353,171,0.95926,28,-2.0252,77,-0.5283,79,-0.5298
ENSG00000204387,SNHG32,75,-0.3940,124,0.38937,113,0.26816,67,-0.5766,84,-0.2766,118,0.30994,105,0.12994,99,0.03212
ENSG00000204386,NEU1,34,-0.2146,61,0.68862,24,-0.8426,26,-0.6124,60,0.87711,28,-0.5513,28,-0.5246,34,-0.2320
ENSG00000204371,EHMT2,20,-1.1683,41,-0.0773,25,-0.8776,27,-0.7048,56,0.48853,60,0.52095,40,-0.1124,57,0.48913
ENSG00000204356,NELFE,88,0.37862,73,0.07928,78,0.20056,38,-0.9178,60,-0.2735,68,-0.0395,86,0.33812,72,0.06884
ENSG00000204351,SKIV2L,11,-0.9934,27,0.40223,23,0.14963,33,0.75466,26,0.41685,24,0.25062,10,-1.1298,11,-1.0323
ENSG00000204348,DXO,11,-0.6982,36,1.21772,21,0.41180,3,-2.3301,28,1.08068,11,-0.6240,2,-2.8268,6,-1.5811
ENSG00000204344,STK19,30,0.73966,28,0.61068,30,0.85554,10,-0.8874,18,-0.0699,16,-0.2022,11,-0.7896,8,-1.4204
ENSG00000213676,ATF6B,32,1.31998,16,0.16985,11,-0.3721,5,-1.6245,17,0.32417,16,0.23163,10,-0.5668,9,-0.6790
ENSG00000204314,PRRT1,53,-1.0362,120,0.23736,70,-0.6427,90,-0.2236,147,0.72173,147,0.55745,58,-0.8943,97,-0.1178
ENSG00000204310,AGPAT1,86,-0.1909,94,-0.0646,116,0.29610,90,-0.1347,116,0.34298,73,-0.4457,86,-0.2048,82,-0.2993
ENSG00000204308,RNF5,36,-0.2500,25,-0.8137,39,-0.1307,23,-0.9374,38,-0.2119,72,0.85598,57,0.48150,51,0.34557
ENSG00000204287,HLA-DRA,43,-0.3287,50,-0.0989,84,0.84732,29,-0.9408,13,-2.3338,26,-1.0649,190,2.21574,46,-0.2512
ENSG00000196126,HLA-DRB1,33,-0.1067,27,-0.3979,64,1.09677,19,-0.9212,15,-1.4268,8,-2.1079,110,1.91808,27,-0.4784
ENSG00000179344,HLA-DQB1,21,0.41808,6,-1.3254,30,1.19200,5,-1.5951,16,-0.0287,0,-4.5890,36,1.32388,7,-1.2331
ENSG00000204267,TAP2,29,0.68380,32,0.86116,12,-0.7447,14,-0.4803,23,0.40236,6,-1.6114,17,-0.1576,17,-0.1473
ENSG00000204256,BRD2,62,-0.2202,56,-0.3828,98,0.55475,72,0.00034,53,-0.5707,41,-0.8667,61,-0.2469,108,0.73756
ENSG00000231389,HLA-DPA1,105,1.39510,33,-0.4670,74,0.91812,11,-2.1212,22,-1.2677,15,-1.5903,107,1.44145,27,-0.8214
ENSG00000223865,HLA-DPB1,43,0.80344,18,-0.5506,29,0.21346,11,-1.2981,21,-0.3360,21,-0.3364,50,1.06938,22,-0.2443
ENSG00000204231,RXRB,49,-0.1162,69,0.42719,26,-1.1772,78,0.62721,63,0.33824,60,0.18867,42,-0.3382,48,-0.1594
ENSG00000112473,SLC39A7,82,1.29485,43,0.21828,30,-0.3381,25,-0.5878,43,0.28927,19,-1.0431,37,0.00996,25,-0.6535
ENSG00000204227,RING1,66,0.00399,78,0.26029,82,0.38451,24,-1.4926,73,0.18795,72,0.13765,68,0.03516,51,-0.4386
ENSG00000223501,VPS52,17,-0.8370,32,0.12277,33,0.19025,7,-2.0699,26,-0.2178,30,0.05093,39,0.44849,42,0.62167
ENSG00000231500,RPS18,699,-0.3718,765,-0.2312,898,0.02151,1297,0.60886,656,-0.5559,766,-0.2287,1134,0.39030,1111,0.39900
ENSG00000227057,WDR46,23,-0.1463,31,0.30454,21,-0.3516,41,0.76738,30,0.29045,25,-0.0409,14,-0.8561,21,-0.3574
ENSG00000204220,PFDN6,65,0.20069,89,0.72091,62,0.16614,47,-0.2829,54,-0.0789,33,-0.8089,54,-0.0706,52,-0.1423
ENSG00000237441,RGL2,18,-0.6781,25,-0.1377,59,1.44513,18,-0.6144,22,-0.3895,23,-0.3024,29,0.09798,17,-0.8301
ENSG00000231925,TAPBP,89,0.29815,52,-0.5218,90,0.34704,66,-0.1735,58,-0.4322,104,0.54859,122,0.81377,48,-0.7051
ENSG00000204209,DAXX,0,-6.9431,21,0.31765,21,0.32446,8,-1.1430,21,0.37709,14,-0.2614,20,0.19977,20,0.23487
ENSG00000112511,PHF1,71,0.44091,76,0.55549,63,0.26323,64,0.27678,70,0.51221,25,-1.1872,34,-0.6838,21,-1.5165
ENSG00000112514,CUTA,341,0.32167,263,-0.0865,267,-0.0724,382,0.50708,259,-0.1341,369,0.45163,198,-0.5291,237,-0.2722
ENSG00000197283,SYNGAP1,5,-2.8515,20,-0.7925,22,-0.7150,6,-2.4629,39,0.29496,144,2.58306,22,-0.6401,23,-0.6241
