label	pval	fdr	signature	geneset	overlap	background	hits	spdomain_sex
SCZ	0.49	0.8	95	1621	14	11369	CACNA1C , CAMKK2 , GRAMD1B , KIAA1549 , MCHR1 , UBR2 , HYDIN , SNORC , EP300 , RBBP5 , RMND5A , IQCE , MAPK14 , KLF5	X12_MaleUp
ADHD	0.64	0.95	95	524	4	11369	ICA1L , ERGIC1 , NBAS , SNORC	X12_MaleUp
BIP	0.68	0.95	95	280	2	11369	CACNA1C , MCHR1	X12_MaleUp
AUD	0.79	0.98	95	182	1	11369	EP300	X12_MaleUp
BMI	0.82	0.98	95	3541	26	11369	ICA1L , EFR3B , PPM1F , ZFYVE1 , HTT , FGD4 , FAM117B , UBR2 , RASA2 , PDS5B , ZNF346 , CAMKK2 , EP300 , SOX11 , RASAL2 , CHST15 , BCR , HYDIN , MEG3 , ACIN1 , MTMR3 , NBAS , RMND5A , ERGIC1 , ENKD1 , ARL6	X12_MaleUp
OUD	1	1	95	149	0	11369		X12_MaleUp
Anorexia	1	1	95	72	0	11369		X12_MaleUp
OCD	1	1	95	231	0	11369		X12_MaleUp
ASD	0.006	0.11	5	610	3	6895	PBX1 , SLC22A15 , TANC2	X13_MaleUp
ADHD	0.019	0.17	5	317	2	6895	SLC22A15 , GKAP1	X13_MaleUp
AUD	0.085	0.51	5	121	1	6895	PBX1	X13_MaleUp
BMI	0.21	0.68	5	2293	3	6895	SLC22A15 , GKAP1 , PBX1	X13_MaleUp
AD	0.22	0.68	5	327	1	6895	ZFP90	X13_MaleUp
MDD	0.23	0.68	5	1257	2	6895	PBX1 , TANC2	X13_MaleUp
NDD	0.46	1	5	790	1	6895	TANC2	X13_MaleUp
OUD	1	1	5	100	0	6895		X13_MaleUp
CUD	1	1	5	20	0	6895		X13_MaleUp
PTSD	1	1	5	19	0	6895		X13_MaleUp
Anorexia	1	1	5	45	0	6895		X13_MaleUp
Lefthanded	1	1	5	17	0	6895		X13_MaleUp
BIP	1	1	5	170	0	6895		X13_MaleUp
OCD	1	1	5	157	0	6895		X13_MaleUp
GAD	1	1	5	28	0	6895		X13_MaleUp
SCZ	1	1	5	1043	0	6895		X13_MaleUp
Panic	1	1	5	32	0	6895		X13_MaleUp
TS	1	1	5	26	0	6895		X13_MaleUp
NDD	0.12	1	11	296	3	2649	MSL3 , ATP6V0A1 , OXR1	X14_MaleUp
AUD	0.19	1	11	49	1	2649	CAMK2N1	X14_MaleUp
BIP	0.22	1	11	58	1	2649	ATP6V0A1	X14_MaleUp
MDD	0.34	1	11	493	3	2649	OXR1 , CAMK2N1 , ETNK1	X14_MaleUp
BMI	0.34	1	11	938	5	2649	MSL3 , SEMA4D , MAP7 , ATP6V0A1 , RUNDC3A	X14_MaleUp
ADHD	0.4	1	11	119	1	2649	MAP7	X14_MaleUp
AD	0.46	1	11	144	1	2649	RUNDC3A	X14_MaleUp
ASD	0.64	1	11	233	1	2649	MSL3	X14_MaleUp
OUD	1	1	11	42	0	2649		X14_MaleUp
CUD	1	1	11	8	0	2649		X14_MaleUp
PTSD	1	1	11	8	0	2649		X14_MaleUp
Anorexia	1	1	11	26	0	2649		X14_MaleUp
Lefthanded	1	1	11	9	0	2649		X14_MaleUp
OCD	1	1	11	55	0	2649		X14_MaleUp
GAD	1	1	11	14	0	2649		X14_MaleUp
SCZ	1	1	11	405	0	2649		X14_MaleUp
Panic	1	1	11	16	0	2649		X14_MaleUp
TS	1	1	11	8	0	2649		X14_MaleUp
ASD	0.0074	0.13	120	634	18	7858	NSF , AHI1 , AP1S2 , APBB1 , CACNA1D , CSNK1E , DLG4 , DMXL2 , FOXP1 , GABRA4 , GBE1 , GNAI1 , MARK1 , NIPA1 , NSMCE3 , PHIP , ANGEL1 , CTSB	X15_MaleUp
PTSD	0.044	0.39	120	22	2	7858	NSF , GMPPB	X15_MaleUp
GAD	0.081	0.47	120	31	2	7858	NSF , PAM	X15_MaleUp
ADHD	0.13	0.47	120	381	9	7858	GMPPB , CCDC184 , FOXP1 , CD83 , GBE1 , RPRD2 , NIPA1 , NSF , CACNA1D	X15_MaleUp
OCD	0.13	0.47	120	175	5	7858	NIPA1 , TMEM33 , PAM , MAGED1 , FOXP1	X15_MaleUp
Anorexia	0.23	0.68	120	59	2	7858	GMPPB , FOXP1	X15_MaleUp
Lefthanded	0.29	0.72	120	22	1	7858	NSF	X15_MaleUp
TS	0.32	0.72	120	25	1	7858	PAM	X15_MaleUp
BIP	0.36	0.72	120	199	4	7858	NSF , GMPPB , TTC39A , CACNA1D	X15_MaleUp
SCZ	0.46	0.83	120	1194	19	7858	CNNM2 , FOXP1 , NSF , ZCCHC17 , CIAO1 , RPRD2 , ARNT , LRP8 , CACNA1D , GMPPB , DLG4 , AHI1 , CHL1 , CSNK1E , CLVS2 , SLC38A2 , PAG1 , A1BG , GABRA4	X15_MaleUp
MDD	0.55	0.89	120	1384	21	7858	AREL1 , GMPPB , TMEM33 , PDP1 , FAF1 , ABCA5 , DMXL2 , NME7 , FOXP1 , UBE2M , MLEC , KLHL18 , HIST1H2AC , TMEM151A , WDR7 , NSF , RPRD2 , KLC2 , DLG4 , PDE1B , LRP8	X15_MaleUp
NDD	0.59	0.89	120	878	13	7858	CACNA1D , AP1S2 , PC , P4HB , PHIP , FOXP1 , AHI1 , DLG4 , CNNM2 , CHL1 , ZBTB11 , PDE1B , NSF	X15_MaleUp
AD	0.71	0.98	120	387	5	7858	CTSB , AREL1 , VAC14 , PRPF19 , INSR	X15_MaleUp
OUD	0.85	1	120	123	1	7858	GMPPB	X15_MaleUp
AUD	0.87	1	120	130	1	7858	LRP8	X15_MaleUp
BMI	0.92	1	120	2605	33	7858	CD83 , CTSB , CIAO1 , CHID1 , ARL8A , HYOU1 , KLC2 , OTUD4 , PC , CNNM2 , DMXL2 , PAM , KLHL18 , FAM114A1 , LINC-PINT , WWP1 , RFK , MAP1S , GBE1 , TMEM151A , MAGED1 , CD164 , P4HB , NSF , ATP6AP1 , ZBTB44 , GMPPB , SDF2L1 , VAC14 , TM7SF2 , DLG4 , CACNA1D , SEC61A2	X15_MaleUp
CUD	1	1	120	18	0	7858		X15_MaleUp
Panic	1	1	120	33	0	7858		X15_MaleUp
AUD	0.14	1	7	32	1	1465	MBP	X1_FemUp
BMI	0.2	1	7	513	4	1465	EIF1 , MBP , PPDPF , SOX2-OT	X1_FemUp
SCZ	0.29	1	7	225	2	1465	SOX2-OT , MBP	X1_FemUp
AD	0.34	1	7	83	1	1465	PACS2	X1_FemUp
ASD	0.45	1	7	119	1	1465	PACS2	X1_FemUp
NDD	0.56	1	7	163	1	1465	PACS2	X1_FemUp
ADHD	1	1	7	63	0	1465		X1_FemUp
OUD	1	1	7	23	0	1465		X1_FemUp
CUD	1	1	7	8	0	1465		X1_FemUp
MDD	1	1	7	251	0	1465		X1_FemUp
PTSD	1	1	7	2	0	1465		X1_FemUp
Anorexia	1	1	7	11	0	1465		X1_FemUp
Lefthanded	1	1	7	5	0	1465		X1_FemUp
BIP	1	1	7	32	0	1465		X1_FemUp
OCD	1	1	7	28	0	1465		X1_FemUp
GAD	1	1	7	7	0	1465		X1_FemUp
Panic	1	1	7	8	0	1465		X1_FemUp
TS	1	1	7	2	0	1465		X1_FemUp
Panic	0.0033	0.059	13	16	2	2330	ANXA5 , COMT	X2_FemUp
CUD	0.044	0.33	13	8	1	2330	COMT	X2_FemUp
Lefthanded	0.055	0.33	13	10	1	2330	FLOT1	X2_FemUp
SCZ	0.13	0.58	13	361	4	2330	FLOT1 , HLA-DRB1 , COMT , ACTB	X2_FemUp
AUD	0.22	0.78	13	43	1	2330	COMT	X2_FemUp
ASD	0.27	0.82	13	183	2	2330	ACTB , HLA-DRB1	X2_FemUp
MDD	0.43	1	13	424	3	2330	COMT , HLA-DRB1 , FLOT1	X2_FemUp
ADHD	0.45	1	13	104	1	2330	COMT	X2_FemUp
AD	0.5	1	13	122	1	2330	HLA-DRB1	X2_FemUp
NDD	0.78	1	13	255	1	2330	ACTB	X2_FemUp
BMI	0.89	1	13	813	3	2330	FLOT1 , PSME1 , ANXA5	X2_FemUp
OUD	1	1	13	35	0	2330		X2_FemUp
PTSD	1	1	13	7	0	2330		X2_FemUp
Anorexia	1	1	13	19	0	2330		X2_FemUp
BIP	1	1	13	48	0	2330		X2_FemUp
OCD	1	1	13	49	0	2330		X2_FemUp
GAD	1	1	13	10	0	2330		X2_FemUp
TS	1	1	13	7	0	2330		X2_FemUp
BMI	0.051	0.81	74	3576	30	11540	TM6SF1 , MVP , RNF5 , NDUFB3 , SART1 , NDUFA4 , KDM6A , IFI27 , BLVRB , PRKAG2 , ANAPC11 , S100A11 , CORO1B , UBA1 , CA2 , RAF1 , HLA-F , REPIN1 , CREG1 , HYAL2 , GSDME , EMD , ANXA5 , FBXL6 , NDUFA6 , CLIC1 , EXT1 , TMEM59 , GNPTG , TAGLN	X3_FemUp
NDD	0.12	0.81	74	1155	11	11540	FLNA , SMPD1 , KDM6A , CA2 , GNPTG , RAF1 , HIBCH , KDM5C , NDUFA6 , GFER , ZNF335	X3_FemUp
Lefthanded	0.17	0.81	74	29	1	11540	HLA-F	X3_FemUp
Panic	0.25	0.81	74	44	1	11540	ANXA5	X3_FemUp
ADHD	0.26	0.81	74	536	5	11540	CA2 , GSDME , VWA1 , FBXL6 , MVP	X3_FemUp
BIP	0.27	0.81	74	282	3	11540	CLIC1 , GFER , FBXL6	X3_FemUp
OCD	0.45	1	74	236	2	11540	SMPD1 , RNF181	X3_FemUp
ASD	0.49	1	74	869	6	11540	EIF3G , EXT1 , GALNT2 , KDM5C , KDM6A , CA2	X3_FemUp
MDD	0.6	1	74	1939	12	11540	MVP , HYAL2 , TSR3 , GALNT2 , RNF181 , SART1 , NDUFA4L2 , NDUFA6 , FBXL6 , CLIC1 , SGCE , A2M	X3_FemUp
OUD	0.62	1	74	148	1	11540	HYAL2	X3_FemUp
AD	0.67	1	74	532	3	11540	CLIC1 , RNF5 , A2M	X3_FemUp
AUD	0.7	1	74	186	1	11540	SGCE	X3_FemUp
SCZ	0.96	1	74	1635	6	11540	CLIC1 , HLA-F , RNF5 , MVP , GSDME , GALNT2	X3_FemUp
CUD	1	1	74	31	0	11540		X3_FemUp
PTSD	1	1	74	31	0	11540		X3_FemUp
Anorexia	1	1	74	72	0	11540		X3_FemUp
GAD	1	1	74	48	0	11540		X3_FemUp
TS	1	1	74	35	0	11540		X3_FemUp
BIP	0.056	1	58	288	4	11579	NMB , CD47 , TARS2 , SMS	X4_FemUp
AUD	0.24	1	58	189	2	11579	SRD5A1 , RGS4	X4_FemUp
MDD	0.4	1	58	1974	11	11579	TMEM163 , ALG14 , OCEL1 , NMB , ARHGAP18 , DIMT1 , S100A10 , KCNK2 , ADCYAP1 , SLC17A6 , SRD5A1	X4_FemUp
ADHD	0.5	1	58	533	3	11579	MAN1A1 , CSTB , TARS2	X4_FemUp
OCD	0.7	1	58	235	1	11579	RGS4	X4_FemUp
SCZ	0.74	1	58	1647	7	11579	NMB , THOC7 , VPS37A , TARS2 , ADCYAP1 , SLC17A6 , ARHGAP18	X4_FemUp
AD	0.76	1	58	544	2	11579	BOLA2 , TBCEL	X4_FemUp
NDD	0.85	1	58	1163	4	11579	SMS , CSTB , SLC17A6 , ALG14	X4_FemUp
ASD	0.94	1	58	877	2	11579	SCP2 , TBCEL	X4_FemUp
BMI	0.94	1	58	3577	13	11579	SPTLC1 , BOLA2 , ACYP2 , DBI , ANAPC11 , DIMT1 , CORO1B , UNC45A , MAN1A1 , UBA52 , CD47 , SMIM15 , THOC7	X4_FemUp
OUD	1	1	58	152	0	11579		X4_FemUp
CUD	1	1	58	28	0	11579		X4_FemUp
PTSD	1	1	58	30	0	11579		X4_FemUp
Anorexia	1	1	58	73	0	11579		X4_FemUp
Lefthanded	1	1	58	28	0	11579		X4_FemUp
GAD	1	1	58	47	0	11579		X4_FemUp
Panic	1	1	58	43	0	11579		X4_FemUp
TS	1	1	58	35	0	11579		X4_FemUp
ADHD	0.28	1	253	587	14	12720	CCDC24 , DCHS1 , ABCC8 , CROCC , NME5 , GPR108 , CDC26 , TMEM50A , CLDN5 , VWF , MCRS1 , VWA1 , MVP , CIC	X5_FemUp
SCZ	0.31	1	253	1757	38	12720	NME5 , MUSTN1 , HLA-F , MRPL2 , VGF , GPT , TPRKB , MVP , NES , ABT1 , RGL2 , FAM221A , ACAD8 , IFT172 , ABCC8 , ALAS1 , SYNGAP1 , RRAS , DNPH1 , ASTN1 , TIMM10 , GTPBP2 , TULP3 , GALNT2 , RELN , ADCYAP1 , CLDN5 , MET , PLAT , B3GAT2 , SBNO2 , HRH1 , ASAH1 , MSRB1 , RGS5 , CFAP65 , GABRA4 , BLOC1S1	X5_FemUp
BMI	0.38	1	253	3843	79	12720	MUSTN1 , AXIN2 , TM6SF1 , NUDT12 , MVP , RRAS , CRIPT , DUSP14 , MRPL2 , GOLGA5 , EHBP1L1 , ACYP2 , FMC1 , MMRN2 , SIPA1L2 , PROS1 , RGL2 , GON7 , CCDC57 , KDM6A , NOL12 , CROCC , BLVRB , CYBC1 , UBXN11 , BLOC1S1 , OPLAH , NME5 , NPRL3 , MCRS1 , TNRC18 , RGS14 , CEBPD , S100A11 , HRH1 , CORO1B , ABHD17A , PLEKHH3 , IKZF4 , ABT1 , MED25 , EPHB6 , YBX1 , HMGN1 , HLA-F , MRI1 , CMTM6 , TPRKB , TANC1 , JPX , ARHGEF1 , SBNO2 , COL21A1 , PRKD2 , RPGR , FAM66D , FGFBP3 , SLC9A3R2 , CTHRC1 , ASTN1 , FXYD5 , RAMP2 , ZC3H7A , SYNGAP1 , VGF , LEF1 , FSCN1 , SMIM15 , MSRB1 , PKD2 , LTBR , GNPTG , EWSR1 , KLF9 , ALAS1 , TAGLN , IFNGR1 , BBS5 , HMGB2	X5_FemUp
Lefthanded	0.45	1	253	30	1	12720	HLA-F	X5_FemUp
Panic	0.63	1	253	49	1	12720	TMEM50A	X5_FemUp
NDD	0.69	1	253	1201	22	12720	IFT172 , ASAH1 , BBS5 , RELN , KDM6A , MCCC2 , RRAS , SAMHD1 , GNPTG , LAMB1 , DCHS1 , SYNGAP1 , ETHE1 , CIC , DDOST , RAB11B , PPT1 , OSGEP , GTPBP2 , EMC10 , PNOC , ASTN1	X5_FemUp
OCD	0.75	1	253	255	4	12720	MRPL39 , MFSD9 , TIMM10 , MUSTN1	X5_FemUp
AUD	0.76	1	253	200	3	12720	ASTN1 , FN1 , VWF	X5_FemUp
Anorexia	0.79	1	253	78	1	12720	IKZF4	X5_FemUp
OUD	0.84	1	253	162	2	12720	EP400 , TIMM10	X5_FemUp
BIP	0.87	1	253	310	4	12720	MUSTN1 , ALAS1 , ECI1 , GPT	X5_FemUp
ASD	0.92	1	253	914	13	12720	PTPRG-AS1 , CIC , EP400 , GABRA4 , GALNT14 , GALNT2 , HMGN1 , KDM6A , LAMB1 , MET , PRKD2 , RELN , SYNGAP1	X5_FemUp
AD	0.95	1	253	593	7	12720	ETHE1 , OPLAH , FAM241A , PLAT , LSM12 , POLR2G , RELN	X5_FemUp
MDD	0.99	1	253	2117	29	12720	TSPAN31 , MVP , TCTEX1D1 , NUDT7 , EXOSC8 , PPIL2 , BMP1 , SETD9 , FGFBP3 , POLR2G , UNC50 , TSR3 , ABT1 , MUSTN1 , CDK4 , GALNT2 , MCEE , ITGA6 , GTF3C6 , TIMM10 , FADS3 , EHBP1L1 , NDUFA4L2 , S100A10 , RELN , VGF , ADCYAP1 , PNOC , TLE1	X5_FemUp
CUD	1	1	253	30	0	12720		X5_FemUp
PTSD	1	1	253	34	0	12720		X5_FemUp
GAD	1	1	253	52	0	12720		X5_FemUp
TS	1	1	253	39	0	12720		X5_FemUp
AUD	0.012	0.21	29	179	3	10912	TRH , FN1 , GGH	X6_FemUp
Panic	0.1	0.57	29	41	1	10912	ANXA5	X6_FemUp
ADHD	0.15	0.57	29	504	3	10912	VWA1 , TARS2 , MVP	X6_FemUp
AD	0.15	0.57	29	513	3	10912	SPI1 , LGMN , HBEGF	X6_FemUp
BIP	0.16	0.57	29	268	2	10912	FEN1 , TARS2	X6_FemUp
MDD	0.22	0.65	29	1870	7	10912	FEN1 , MVP , GGH , SH3BP4 , SPI1 , S100A10 , TRH	X6_FemUp
OCD	0.45	1	29	225	1	10912	COL18A1	X6_FemUp
NDD	0.59	1	29	1134	3	10912	FTSJ1 , COL18A1 , TRH	X6_FemUp
BMI	0.73	1	29	3421	8	10912	MVP , SPI1 , S100A11 , HBEGF , COL18A1 , FXYD5 , ANXA5 , LGMN	X6_FemUp
SCZ	0.81	1	29	1586	3	10912	TARS2 , MVP , HBEGF	X6_FemUp
ASD	1	1	29	854	0	10912		X6_FemUp
OUD	1	1	29	147	0	10912		X6_FemUp
CUD	1	1	29	29	0	10912		X6_FemUp
PTSD	1	1	29	31	0	10912		X6_FemUp
Anorexia	1	1	29	69	0	10912		X6_FemUp
Lefthanded	1	1	29	28	0	10912		X6_FemUp
GAD	1	1	29	46	0	10912		X6_FemUp
TS	1	1	29	34	0	10912		X6_FemUp
AUD	0.46	1	31	78	1	4015	ALDH1A1	X7_FemUp
AD	0.48	1	31	205	2	4015	HLA-C , HIKESHI	X7_FemUp
OCD	0.51	1	31	91	1	4015	AIMP1	X7_FemUp
BIP	0.52	1	31	93	1	4015	TBC1D10B	X7_FemUp
SCZ	0.57	1	31	644	5	4015	HLA-C , COA8 , TBC1D10B , PSMB2 , ALDH1A1	X7_FemUp
NDD	0.69	1	31	446	3	4015	COA8 , AIMP1 , ATN1	X7_FemUp
ADHD	0.78	1	31	188	1	4015	TMBIM6	X7_FemUp
BMI	0.9	1	31	1398	8	4015	TMBIM6 , TBC1D10B , ALDH1A1 , PRR13 , COA8 , ATN1 , SPP1 , SRSF5	X7_FemUp
MDD	0.94	1	31	724	3	4015	ITPKB , TBC1D10B , HLA-C	X7_FemUp
ASD	1	1	31	330	0	4015		X7_FemUp
OUD	1	1	31	59	0	4015		X7_FemUp
CUD	1	1	31	14	0	4015		X7_FemUp
PTSD	1	1	31	11	0	4015		X7_FemUp
Anorexia	1	1	31	29	0	4015		X7_FemUp
Lefthanded	1	1	31	11	0	4015		X7_FemUp
GAD	1	1	31	15	0	4015		X7_FemUp
Panic	1	1	31	22	0	4015		X7_FemUp
TS	1	1	31	15	0	4015		X7_FemUp
ADHD	0.24	1	125	233	8	4929	CDK2AP1 , TCTA , GNAI2 , PLSCR4 , SLC39A1 , SPARCL1 , LMBRD1 , TMBIM6	X8_FemUp
Anorexia	0.26	1	125	39	2	4929	TCTA , CD63	X8_FemUp
CUD	0.3	1	125	14	1	4929	CLU	X8_FemUp
OCD	0.32	1	125	112	4	4929	AQP4 , SPARCL1 , SLC39A1 , ACO2	X8_FemUp
SCZ	0.41	1	125	776	21	4929	CLU , CXXC5 , SLC39A1 , SRA1 , CDK2AP1 , PSD2 , RNF5 , ALDH7A1 , ACO2 , AIF1 , FMN2 , PLXNB2 , S100B , PTPRZ1 , AQP4 , FSTL1 , ABCA1 , PSAT1 , LIFR , PLSCR4 , CP	X8_FemUp
Panic	0.42	1	125	21	1	4929	CYBRD1	X8_FemUp
AD	0.49	1	125	260	7	4929	ABCA1 , AIF1 , CLU , PLEC , RNF5 , TMBIM4 , SRA1	X8_FemUp
OUD	0.53	1	125	69	2	4929	TCTA , GNAI2	X8_FemUp
BIP	0.59	1	125	119	3	4929	ADD3 , PLEC , PSD2	X8_FemUp
AUD	0.63	1	125	84	2	4929	IL33 , CDH11	X8_FemUp
BMI	0.8	1	125	1733	40	4929	TMBIM6 , GNAI2 , ALDH6A1 , HOMER3 , RNF5 , CYBRD1 , TCTA , APLNR , DBI , DNER , PLXNB2 , AIF1 , CTSL , FAM167A , LRIG1 , CD63 , SRA1 , APPL2 , GALC , S100A11 , PTTG1IP , HDGF , JPX , EIF4EBP3 , WASHC3 , PSD2 , PRDX4 , CYSTM1 , TMCO1 , YAP1 , SERPINE2 , CXXC5 , WDR1 , SORBS1 , B2M , PDIA6 , ABCA1 , IFNGR1 , CPE , HADH	X8_FemUp
MDD	0.83	1	125	890	19	4929	SRA1 , ACO2 , PDIA6 , FSTL1 , CYSTM1 , SLC39A1 , CDK2AP1 , CTSA , TCTA , CYBRD1 , ITGA6 , GNAI2 , EIF4EBP3 , APLNR , PTTG1IP , S100A10 , S100B , AGT , AQP4	X8_FemUp
NDD	0.84	1	125	552	11	4929	YAP1 , FLNA , HADH , DDX3X , GALC , FMN2 , ACO2 , ALDH7A1 , TMCO1 , PSAT1 , FBXL3	X8_FemUp
ASD	0.91	1	125	414	7	4929	CDH11 , DDX3X , DNER , HNRNPF , SPARCL1 , PDIA6 , DOK5	X8_FemUp
PTSD	1	1	125	12	0	4929		X8_FemUp
Lefthanded	1	1	125	15	0	4929		X8_FemUp
GAD	1	1	125	19	0	4929		X8_FemUp
TS	1	1	125	18	0	4929		X8_FemUp
Anorexia	0.038	0.69	108	43	3	6204	QARS , NDUFAF3 , TCTA	X9_FemUp
OUD	0.19	1	108	87	3	6204	TCTA , QARS , NDUFAF3	X9_FemUp
MDD	0.25	1	108	1088	22	6204	RBX1 , VDAC2 , TSPAN31 , B3GAT1 , ITGAE , LZTS2 , UNC50 , TXNDC9 , SELENOP , EML3 , PPIL1 , TCTA , CDK4 , RNF181 , HSPE1 , NDUFAF3 , QARS , DIMT1 , DECR1 , CFL1 , STAT2 , CNP	X9_FemUp
TS	0.27	1	108	18	1	6204	SRSF7	X9_FemUp
BMI	0.43	1	108	2161	39	6204	SLC5A11 , CYB5R3 , ALDH6A1 , HOMER3 , TCTA , SHISA4 , LZTS2 , ALDH1A1 , URM1 , SEC22B , MYH9 , NDUFAF3 , HSPE1 , ADAM15 , MFSD14B , CFL1 , DIMT1 , POLR2I , VDAC2 , DDR1 , RPS29 , ABHD17A , RAF1 , BTF3 , CNPY2 , KBTBD7 , PLPP1 , B3GAT1 , SCAMP4 , PPIL1 , SLC2A1 , UBE2D2 , RBX1 , CD47 , PPDPF , GSN , PAIP1 , TMEM59 , MFSD8	X9_FemUp
OCD	0.44	1	108	139	3	6204	RNF181 , QARS , UBE2G1	X9_FemUp
AUD	0.5	1	108	95	2	6204	PAPSS1 , ALDH1A1	X9_FemUp
BIP	0.51	1	108	155	3	6204	CD47 , NDUFAF3 , ANKRD65	X9_FemUp
SCZ	0.54	1	108	917	16	6204	B3GAT1 , HSPE1 , UBE2D2 , DNAJC19 , DDR1 , KDELR1 , ADAM15 , CFL1 , SHISA4 , UBE2G1 , CNP , ACTB , ALDH1A1 , GSN , PSAT1 , KPNA1	X9_FemUp
ADHD	0.57	1	108	290	5	6204	TCTA , GPR108 , MFSD8 , ADAM9 , CNPY2	X9_FemUp
NDD	0.87	1	108	693	9	6204	SLC2A1 , ACTB , COASY , MFSD8 , RAF1 , CYB5R3 , PSAT1 , PPIL1 , PGM3	X9_FemUp
ASD	0.99	1	108	503	3	6204	ACTB , LZTS2 , MYH9	X9_FemUp
CUD	1	1	108	16	0	6204		X9_FemUp
PTSD	1	1	108	18	0	6204		X9_FemUp
AD	1	1	108	309	1	6204	FAM106A	X9_FemUp
Lefthanded	1	1	108	18	0	6204		X9_FemUp
GAD	1	1	108	23	0	6204		X9_FemUp
Panic	1	1	108	28	0	6204		X9_FemUp
TS	0.0054	0.097	34	10	2	2967	PCDH7 , PAM	X10_FemUp
SCZ	0.021	0.19	34	505	11	2967	GABBR2 , TUBB3 , C5orf63 , GNAS , SST , GFAP , SYP , NEFL , AQP4 , VSNL1 , CHGA	X10_FemUp
OCD	0.14	0.67	34	58	2	2967	AQP4 , PAM	X10_FemUp
GAD	0.15	0.67	34	14	1	2967	PAM	X10_FemUp
AD	0.23	0.7	34	144	3	2967	GFAP , GNAS , VSNL1	X10_FemUp
NDD	0.23	0.7	34	365	6	2967	TUBB2A , GNAS , GFAP , TUBB3 , GABBR2 , SYP	X10_FemUp
MDD	0.29	0.76	34	554	8	2967	UBE2QL1 , SULF2 , SST , GFAP , AQP4 , NEFL , GABBR2 , NEFM	X10_FemUp
AUD	0.49	1	34	58	1	2967	GFAP	X10_FemUp
ASD	0.68	1	34	297	3	2967	GABBR2 , GFAP , GNAS	X10_FemUp
BMI	0.77	1	34	1006	10	2967	TUBA1B , CALB2 , SULF2 , CHGA , PCDH7 , BASP1 , PAM , STMN2 , SERPINE2 , GNAS	X10_FemUp
ADHD	1	1	34	124	0	2967		X10_FemUp
OUD	1	1	34	46	0	2967		X10_FemUp
CUD	1	1	34	9	0	2967		X10_FemUp
PTSD	1	1	34	9	0	2967		X10_FemUp
Anorexia	1	1	34	26	0	2967		X10_FemUp
Lefthanded	1	1	34	10	0	2967		X10_FemUp
BIP	1	1	34	82	0	2967		X10_FemUp
Panic	1	1	34	15	0	2967		X10_FemUp
AUD	0.044	0.57	119	179	5	11032	COMT , TRH , TAC1 , FN1 , VWF	X11_FemUp
Panic	0.063	0.57	119	38	2	11032	TAC1 , COMT	X11_FemUp
BIP	0.18	0.89	119	276	5	11032	SPCS1 , NMB , ALAS1 , PLPBP , ANXA7	X11_FemUp
OUD	0.2	0.89	119	144	3	11032	PPTC7 , FAM216A , TRNAU1AP	X11_FemUp
CUD	0.25	0.89	119	26	1	11032	COMT	X11_FemUp
SCZ	0.35	1	119	1588	19	11032	FAM216A , IMMP2L , LPCAT4 , NMB , TRNAU1AP , BORCS7 , SPCS1 , ANXA7 , PPTC7 , HMGN4 , FABP3 , ALAS1 , GSDME , FNDC4 , ARHGAP17 , COMT , VSNL1 , TAC1 , BLOC1S1	X11_FemUp
AD	0.48	1	119	511	6	11032	ETHE1 , PSMC6 , PYDC1 , VSNL1 , PCDH11X , ENO1	X11_FemUp
BMI	0.55	1	119	3443	37	11032	HIGD1A , BOLA3 , ATXN2L , SPCS1 , NDUFB3 , PYDC1 , TRMT112 , DBI , FAM216A , UTP4 , COPE , MYL12A , TUBG2 , BLOC1S1 , PNMA1 , S100A11 , YAE1 , SMIM30 , SEC23B , ISCA1 , SF3B6 , GPS2 , TRAPPC8 , MMADHC , LGALS3 , JPX , PRDX2 , PPTC7 , DUSP28 , HMGN4 , GSDME , SELENOK , SPACA9 , GNPTG , ALAS1 , TAGLN , DPY30	X11_FemUp
ADHD	0.64	1	119	503	5	11032	GSDME , GPR108 , ANXA7 , VWF , COMT	X11_FemUp
MDD	0.69	1	119	1911	19	11032	HMGN4 , SNAPC5 , TRMT112 , HACE1 , ITGAE , TRNAU1AP , COMT , PPTC7 , LGALS3 , IMMP2L , NMB , ENO1 , TAF7 , NDUFA4L2 , ANXA7 , TAC1 , TRH , ADCY8 , NELL1	X11_FemUp
OCD	0.72	1	119	232	2	11032	COCH , SPCS1	X11_FemUp
NDD	0.87	1	119	1134	9	11032	MRPS22 , MMADHC , BOLA3 , UBR1 , GNPTG , ETHE1 , HACE1 , PLPBP , TRH	X11_FemUp
ASD	0.99	1	119	853	4	11032	IMMP2L , METTL26 , PCDH11X , UBR1	X11_FemUp
PTSD	1	1	119	30	0	11032		X11_FemUp
Anorexia	1	1	119	72	0	11032		X11_FemUp
Lefthanded	1	1	119	26	0	11032		X11_FemUp
GAD	1	1	119	45	0	11032		X11_FemUp
TS	1	1	119	35	0	11032		X11_FemUp
ADHD	0.043	0.77	56	524	6	11408	GSDME , GPR108 , FEZ2 , VWA1 , COMT , STS	X12_FemUp
CUD	0.12	1	56	27	1	11408	COMT	X12_FemUp
Panic	0.19	1	56	42	1	11408	COMT	X12_FemUp
AUD	0.22	1	56	182	2	11408	COMT , TRH	X12_FemUp
SCZ	0.4	1	56	1621	9	11408	HSPA9 , SPCS1 , EDEM2 , MAIP1 , GSDME , COMT , ADCYAP1 , UCP2 , SDF4	X12_FemUp
